Llanera;25931;3013;0;3013;25931;53467
Valdés;121484;3367;173;3367;121657;135999
Morcín;6726;699;0;699;6726;6849
Cangas de Onís;17255;2694;315;2694;17571;21072
Ribera de Arriba;5235;784;117;784;5352;5352
Santo Adriano;2448;737;1014;737;3462;4512
Siero;43882;12076;1343;12076;45225;91924
Cudillero;52949;1877;1137;1877;54086;54985
Ribadesella;22278;2850;46;2850;22324;37959
Yernes y Tameza;3022;720;0;720;3022;3022
Gijón/Xixón;12036;26873;1427;26873;13463;353756
Candamo;3710;383;0;383;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;332;0;332;11090;11615
Piloña;25184;2754;891;2754;26075;31767
Cangas del Narcea;132345;3144;717;3144;133063;142596
Mieres;43653;4831;160;4831;43813;69889
Ponga;6406;538;0;538;6406;7669
Navia;52760;2250;0;2250;52760;60387
Sobrescobio;11605;962;0;962;11605;11605
Lena;46471;4352;840;4352;47311;58001
Quirós;28512;4741;200;4741;28712;28712
Bimenes;5098;4324;0;4324;5098;5098
Tineo;87763;1865;0;1865;87763;91477
Peñamellera Alta;12375;537;0;537;12375;12375
Pravia;13153;934;0;934;13153;20291
Degaña;8807;206;0;206;8807;8807
Cabrales;15535;2504;0;2504;15535;16031
Villaviciosa;29029;3812;0;3812;29029;44386
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30109;1033;0;1033;30109;42873
Llangréu/Langreo;23934;13975;294;13975;24228;91988
Teverga;29172;774;271;774;29443;30125
Cabranes;7204;489;628;489;7832;7832
Vegadeo;18649;756;588;756;19237;24088
Coaña;20831;905;0;905;20831;20831
Taramundi;13859;1465;179;1465;14037;14953
Corvera de Asturias;15905;1355;0;1355;15905;38463
Castrillón;46454;3247;378;3247;46832;82009
Nava;21693;767;408;767;22101;27580
Ibias;38534;1256;162;1256;38696;38696
Salas;18923;1771;148;1771;19072;28060
Soto del Barco;15445;674;0;674;15445;25221
San Tirso de Abres;8205;216;55;216;8261;8321
Caso;19670;2247;115;2247;19785;23196
Riosa;3525;414;0;414;3525;5510
Colunga;28819;4701;540;4701;29360;42306
Sariego;8062;514;118;514;8181;8838
Villayón;18059;385;0;385;18059;18059
Ribadedeva;9240;666;292;666;9532;10045
Amieva;6709;391;495;391;7204;7204
Somiedo;33515;2127;28;2127;33543;34853
Parres;10318;855;504;855;10822;15990
Onís;8124;1904;0;1904;8124;8124
Carreño;12549;1961;140;1961;12689;29300
Grandas de Salime;20549;698;0;698;20549;23436
Castropol;35617;1160;0;1160;35617;46404
Proaza;16063;421;21;421;16084;16751
Aller;20791;3756;0;3756;20791;30969
Boal;9012;1253;0;1253;9012;10952
Grau/Grado;27201;2147;0;2147;27201;41209
San Martín de Oscos;12425;259;0;259;12425;12425
Illano;16616;573;0;573;16616;16616
El Franco;10082;587;0;587;10082;17375
Villanueva de Oscos;6916;329;0;329;6916;6916
Las Regueras;6013;657;0;657;6013;6013
Peñamellera Baja;11260;627;0;627;11260;11260
Samartín del Rei Aurelio;22711;2195;192;2195;22903;42453
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;8242;693;104;693;8346;10318
Allande;42411;1380;34;1380;42445;43894
Laviana;24189;2571;0;2571;24189;33765
Muros de Nalón;6506;1482;0;1482;6506;15536
Avilés;29412;6088;2191;6088;31603;105897
Oviedo;81125;23904;2788;23904;83913;241269
Caravia;4917;816;0;816;4917;4917
