La Victoria de Acentejo;1865;686;0;686;1865;24821
Gáldar;1557;2707;0;2707;1557;96835
San Cristóbal de La Laguna;57016;15973;674;15973;57691;385853
Tejeda;572;1770;0;1770;572;12101
Los Silos;897;7067;0;7067;897;20646
Los Llanos de Aridane;18958;4569;0;4569;18958;64826
Garafía;13526;3350;0;3350;13526;15345
Agüimes;3114;6406;541;6406;3654;129538
Los Realejos;31613;3183;0;3183;31613;96952
Antigua;4458;2958;0;2958;4458;101873
Yaiza;3969;10735;25083;10735;29052;183301
Puntallana;7151;1311;0;1311;7151;10938
Tijarafe;14408;2575;0;2575;14408;26444
La Guancha;6243;910;0;910;6243;24255
Tegueste;4561;1028;0;1028;4561;42806
Tinajo;733;1265;0;1265;733;50076
Ingenio;553;2193;78;2193;631;100931
Arucas;1472;2235;0;2235;1472;91247
El Rosario;5445;13634;89;13634;5534;58458
Tuineje;12363;4990;0;4990;12363;65756
Santiago del Teide;3199;9220;0;9220;3199;30832
Santa Cruz de Tenerife;27096;25555;25;25555;27121;359464
Telde;2623;5651;158;5651;2782;263628
Garachico;6790;5101;0;5101;6790;23779
Valsequillo de Gran Canaria;640;1080;0;1080;640;50402
Güímar;13851;4845;0;4845;13851;58724
Frontera;1821;5769;74;5769;1895;20494
Santa María de Guía de Gran Canaria;303;2174;0;2174;303;41002
Arona;50349;10306;395;10306;50744;208022
Valle Gran Rey;2377;2795;321;2795;2698;16622
Puntagorda;8082;1768;0;1768;8082;27636
Fuencaliente de la Palma;8112;1611;0;1611;8112;17458
Teguise;1692;9475;2186;9475;3877;172021
San Miguel de Abona;36513;2574;0;2574;36513;91597
Tazacorte;2658;2027;0;2027;2658;10581
Mogán;1965;5652;0;5652;1965;84888
Moya;117;1111;0;1111;117;30665
Vallehermoso;11324;2932;2745;2932;14070;18507
Breña Baja;7767;3923;367;3923;8134;30706
Haría;323;1947;0;1947;323;47135
Santa Lucía de Tirajana;5492;2649;0;2649;5492;127224
Artenara;348;1195;0;1195;348;6599
San Andrés y Sauces;7922;1065;0;1065;7922;18011
Hermigua;6361;1869;53;1869;6414;6986
Villa de Mazo;25740;2514;0;2514;25740;32290
Adeje;41932;11264;154;11264;42086;136512
Firgas;289;785;0;785;289;32831
Granadilla de Abona;32186;6928;6678;6928;38864;144698
El Pinar de El Hierro;7489;3075;0;3075;7489;18123
Pájara;3826;10239;702;10239;4528;66101
Buenavista del Norte;6888;9521;0;9521;6888;23268
Santa Úrsula;2165;5778;0;5778;2165;55527
El Paso;13578;2677;0;2677;13578;49181
Valverde;10044;9119;107;9119;10151;42768
Guía de Isora;9735;18973;0;18973;9735;62335
San Juan de la Rambla;7131;1315;0;1315;7131;21192
Betancuria;2195;1702;0;1702;2195;8474
Teror;234;1266;0;1266;234;35370
Breña Alta;19276;2071;0;2071;19276;45427
Icod de los Vinos;57364;3039;0;3039;57364;105401
Alajeró;11711;1446;614;1446;12325;16647
San Sebastián de la Gomera;16881;2813;1510;2813;18391;45323
Tacoronte;16898;1482;0;1482;16898;90626
Valleseco;191;779;0;779;191;18864
La Oliva;39489;7023;529;7023;40018;223001
Puerto de la Cruz;6680;4737;0;4737;6680;65941
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19183;19040;0;19040;19183;71630
El Tanque;4870;3946;0;3946;4870;17495
Arico;14808;4196;0;4196;14808;57993
El Sauzal;6937;1154;0;1154;6937;38280
Vilaflor;3114;1634;0;1634;3114;8585
Fasnia;3544;1102;0;1102;3544;13855
Barlovento;9698;1033;0;1033;9698;13710
Vega de San Mateo;1333;1592;0;1592;1333;26966
San Bartolomé;1101;2351;4524;2351;5624;70128
Las Palmas de Gran Canaria;19735;28639;559;28639;20295;532906
Arrecife;4605;2959;0;2959;4605;125827
Tías;3539;3808;2057;3808;5596;124477
Santa Cruz de la Palma;5736;1250;0;1250;5736;25982
San Bartolomé de Tirajana;7011;31397;472;31397;7483;191384
La Matanza de Acentejo;6666;914;0;914;6666;26586
Agulo;5674;855;397;855;6071;7293
La Orotava;57577;4678;0;4678;57577;149506
Santa Brígida;1031;1500;0;1500;1031;69432
Puerto del Rosario;92811;4136;0;4136;92811;183475
Agaete;1179;1781;1981;1781;3161;21133
San Nicolás de Tolentino;198;2039;0;2039;198;40115
