Santander;15543;21448;3855;21448;19399;272670
Camaleño;14046;1416;2094;1416;16140;17149
Arenas de Iguña;17437;1202;0;1202;17437;19830
Colindres;4149;634;0;634;4149;19691
Potes;214;1576;0;1576;214;7127
Castañeda;14633;334;117;334;14750;16578
Camargo;58390;2123;5667;2123;64058;111460
Corvera de Toranzo;19367;426;788;426;20155;22569
Entrambasaguas;614;3018;0;3018;614;24042
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;18445;2574;3193;2574;21638;133144
Penagos;7424;969;184;969;7608;13876
Liérganes;3957;1095;0;1095;3957;12251
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35157;1386;1930;1386;37087;45108
Alfoz de Lloredo;5437;667;376;667;5812;42234
Miera;1454;1165;0;1165;1454;5133
Tresviso;39;112;0;112;39;1078
Liendo;16010;271;1664;271;17674;17674
Selaya;2992;274;0;274;2992;7584
Los Tojos;3398;393;48;393;3446;3446
Vega de Pas;1194;654;0;654;1194;3064
Laredo;15307;3463;234;3463;15541;50400
Ampuero;4086;261;1543;261;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;635;0;635;8237;8533
Ruente;4350;813;0;813;4350;10089
Marina de Cudeyo;4000;1030;0;1030;4000;53412
Tudanca;4128;167;0;167;4128;4128
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;15480;741;13;741;15493;17771
Polanco;14888;608;3208;608;18096;24576
Meruelo;10969;318;225;318;11194;14371
Vega de Liébana;3367;909;0;909;3367;17487
Mazcuerras;18105;440;678;440;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7377;319;355;319;7732;12245
Rasines;1241;246;145;246;1387;1988
San Roque de Riomiera;85;1256;0;1256;85;85
Cieza;2157;186;0;186;2157;3245
Reocín;39502;1204;1470;1204;40972;49131
Bárcena de Cicero;14492;615;1868;615;16360;27219
Santa Cruz de Bezana;25782;1106;12052;1106;37834;65498
Puente Viesgo;16218;956;0;956;16218;26055
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4156;411;175;411;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;5919;567;753;567;6672;8258
Villacarriedo;9810;308;0;308;9810;13715
Hermandad de Campoo de Suso;12959;1907;0;1907;12959;26638
Limpias;2715;106;1193;106;3908;6112
Peñarrubia;6270;299;0;299;6270;7972
Bárcena de Pie de Concha;5288;197;0;197;5288;5288
Ramales de la Victoria;7756;410;141;410;7897;15485
Guriezo;10844;727;133;727;10977;12789
Valdeolea;5331;624;0;624;5331;18740
Val de San Vicente;15752;1125;393;1125;16145;25425
Arnuero;19868;640;5904;640;25772;33828
Hazas de Cesto;11534;247;69;247;11603;12117
Villaescusa;23154;801;427;801;23581;27955
Santillana del Mar;23464;1243;4575;1243;28039;33186
Santa María de Cayón;13071;1936;356;1936;13427;37704
Solórzano;4369;232;121;232;4490;4777
Escalante;2508;219;499;219;3007;4545
Suances;24079;1275;3497;1275;27577;61815
Campoo de Enmedio;11107;1043;460;1043;11567;30345
Los Corrales de Buelna;245;7461;0;7461;245;48400
Cillorigo de Liébana;8645;636;0;636;8645;9494
Santiurde de Toranzo;14769;272;60;272;14829;17056
Voto;13297;391;966;391;14263;18985
Santoña;4814;497;966;497;5780;26678
Pesaguero;2214;181;0;181;2214;4258
Polaciones;2465;246;0;246;2465;4036
Saro;1148;75;0;75;1148;1672
Valderredible;1307;1922;0;1922;1307;36074
Medio Cudeyo;2230;3413;84;3413;2314;34835
El Astillero;13762;849;1237;849;14999;31320
Rionansa;3901;658;0;658;3901;19395
Cabuérniga;10014;609;0;609;10014;17103
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;922;1837;3018;1837;3940;27171
Noja;5007;1049;450;1049;5457;30075
Reinosa;4768;948;1413;948;6180;32700
Ribamontán al Mar;21917;3641;55;3641;21972;45348
Villafufre;13349;142;0;142;13349;13958
San Felices de Buelna;20096;847;0;847;20096;20229
San Miguel de Aguayo;1771;183;0;183;1771;1771
Valdeprado del Río;4207;684;95;684;4301;7963
Cartes;12156;465;1014;465;13169;15449
Torrelavega;2735;17025;0;17025;2735;123044
Ruiloba;9498;292;1314;292;10812;15307
Argoños;7637;333;4046;333;11684;23929
Riotuerto;3142;2199;164;2199;3306;18093
Ribamontán al Monte;12459;525;452;525;12911;17021
