Gajates;6226;89;0;89;6226;6226
Burgo de Osma-Ciudad de Osma;12895;1054;0;1054;12895;44204
Montorio;1035;249;0;249;1035;4622
Entrala;1297;53;0;53;1297;1728
Ágreda;10164;550;133;550;10296;19141
Florida de Liébana;0;143;0;143;0;7372
Melgar de Arriba;2187;87;0;87;2187;3900
Valleruela de Pedraza;0;37;0;37;0;1865
Valdenebro;3588;55;0;55;3588;3588
Ahigal de Villarino;1639;33;0;33;1639;1978
Merindad de Sotoscueva;15847;1243;0;1243;15847;19676
Aldeanueva de la Serrezuela;1916;48;0;48;1916;2119
Prado de la Guzpeña;4248;68;0;68;4248;4248
Valdecasa;2326;47;0;47;2326;2326
Encinas;1773;20;0;20;1773;1773
Albornos;225;69;0;69;225;2788
Castro de Fuentidueña;2537;42;0;42;2537;2537
Priaranza del Bierzo;6758;285;61;285;6819;7992
Candín;12147;174;0;174;12147;13295
Bercianos del Páramo;12485;227;0;227;12485;12485
Monzón de Campos;989;403;0;403;989;7724
Donhierro;1295;20;0;20;1295;1295
Bernardos;31;135;0;135;31;7582
Villamejil;18703;357;0;357;18703;18703
Navaescurial;951;15;0;15;951;951
Villafruela;613;197;0;197;613;3887
Castilruiz;3252;62;0;62;3252;4749
Anaya de Alba;5417;121;0;121;5417;5417
Toreno;27003;526;0;526;27003;34377
Peñaparda;2596;199;0;199;2596;6986
Villaverde-Mogina;2389;96;0;96;2389;3260
Valdemora;1690;33;0;33;1690;1846
Sanchorreja;2007;130;0;130;2007;2007
Frumales;993;62;0;62;993;5175
Pedralba de la Pradería;7536;147;0;147;7536;8546
Corral de Ayllón;281;65;0;65;281;3078
La Maya;4329;121;0;121;4329;4329
Espejón;1433;46;0;46;1433;1678
Adalia;2648;20;0;20;2648;2648
Paradinas de San Juan;1058;70;0;70;1058;5700
Rojas;1911;53;0;53;1911;2024
Villamayor;0;2449;0;2449;0;42732
Bocigas;1825;58;0;58;1825;1825
San Pelayo de Guareña;925;65;0;65;925;2188
Puebla de Azaba;5142;63;0;63;5142;5142
Manganeses de la Lampreana;8545;225;0;225;8545;12489
Pomar de Valdivia;7666;543;625;543;8291;10795
Santa María de la Vega;3922;19;0;19;3922;3922
Peñalba de Ávila;5879;178;0;178;5879;5879
Bustillo del Páramo de Carrión;655;61;0;61;655;2617
Villanueva del Campillo;5658;88;0;88;5658;5658
Cillaperlata;374;105;0;105;374;1621
Mantinos;2558;51;0;51;2558;2558
Roales;1898;125;0;125;1898;6853
Alcañices;9168;249;0;249;9168;9902
Las Casas del Conde;347;40;0;40;347;1098
Gema;4797;54;0;54;4797;4797
Espeja;5018;78;0;78;5018;5915
Horcajo de Montemayor;0;93;0;93;0;3457
La Calzada de Béjar;0;74;0;74;0;2379
Pinedas;53;104;0;104;53;2912
Alcocero de Mola;496;69;0;69;496;1538
San Millán de Lara;2566;85;0;85;2566;3011
Torresmenudas;2313;31;0;31;2313;2313
Lucillo;15708;241;0;241;15708;15708
Cavia;404;177;44;177;447;3757
San Martín y Mudrián;3746;72;0;72;3746;3746
Guadramiro;0;129;0;129;0;4431
Fuentes de Año;2583;30;0;30;2583;2583
Pajares de Adaja;3352;200;0;200;3352;3453
Argujillo;4125;109;0;109;4125;4125
Barromán;3013;35;0;35;3013;3013
Itero del Castillo;1440;150;0;150;1440;2966
Carrias;525;30;0;30;525;1190
El Royo;3944;139;0;139;3944;5783
Arauzo de Salce;1047;34;0;34;1047;1047
Vallecillo;5292;84;0;84;5292;5292
Aldea del Obispo;4273;169;0;169;4273;7340
Villanueva de Azoague;5436;204;0;204;5436;5436
Zael;1836;107;0;107;1836;1836
Fresno de la Ribera;5206;90;0;90;5206;5411
Vadillo;1884;23;0;23;1884;1884
Mudá;2286;38;0;38;2286;2286
Vegalatrave;2034;20;0;20;2034;2034
Pedrosa de Duero;9230;243;0;243;9230;9230
Abajas;1553;83;0;83;1553;1981
