Villarejo de Fuentes;7920;591;0;591;7920;7920
Retamoso de la Jara;35;66;0;66;35;3626
Membrilla;1638;216;0;216;1638;37030
El Recuenco;2122;47;0;47;2122;2122
Sigüenza;19799;1976;2603;1976;22401;46182
Santa María del Val;0;37;0;37;0;1215
El Cubillo de Uceda;68;37;0;37;68;1014
Los Pozuelos de Calatrava;269;87;0;87;269;2808
Estriégana;579;54;0;54;579;625
Toledo;65401;8130;1600;8130;67001;250522
Medranda;1385;54;0;54;1385;2076
Corral de Almaguer;7483;563;0;563;7483;44269
Valdeolivas;1521;124;0;124;1521;4320
Hombrados;603;26;0;26;603;603
Tórtola de Henares;1443;123;0;123;1443;14377
Valdesotos;763;81;0;81;763;763
Almonacid de Zorita;5553;221;0;221;5553;12537
Guadalmez;0;92;0;92;0;7218
Paredes de Sigüenza;1882;49;0;49;1882;1882
Cabezarados;466;46;0;46;466;2234
Caspueñas;1381;31;0;31;1381;1381
Alcohujate;0;44;0;44;0;2799
Belmontejo;2711;93;0;93;2711;3819
Daimiel;10719;1617;69;1617;10788;72766
Villamiel de Toledo;553;97;0;97;553;10541
Navalcán;769;234;0;234;769;17027
Maqueda;1003;199;0;199;1003;6074
Mesegar de Tajo;882;58;0;58;882;4406
Pozorrubio;6304;158;0;158;6304;6304
Arroba de los Montes;376;50;0;50;376;3462
Orea;58;169;0;169;58;4380
Tartanedo;9002;260;0;260;9002;9002
Taragudo;1483;49;0;49;1483;1483
Escalonilla;389;291;0;291;389;11850
La Cierva;1837;94;0;94;1837;1837
Caleruela;0;29;0;29;0;2410
Atanzón;33;58;0;58;33;3076
Tejadillos;2778;21;0;21;2778;2778
Molinicos;15114;690;0;690;15114;21132
San Pedro Palmiches;176;82;0;82;176;2970
Peñas de San Pedro;7973;1126;0;1126;7973;19022
La Torre de Esteban Hambrán;2628;179;1557;179;4185;15243
Villatoya;1598;333;886;333;2484;4740
Porzuna;3458;364;0;364;3458;28762
Tendilla;230;293;2619;293;2848;4589
Caudete;10753;1614;0;1614;10753;51434
Puebla de Beleña;1030;187;0;187;1030;1233
Hortezuela de Océn;1176;41;177;41;1353;1353
Palomares del Campo;8111;149;0;149;8111;8111
Talayuelas;13893;270;0;270;13893;14800
Alovera;5432;1095;139;1095;5571;62172
Zarzuela de Jadraque;948;20;0;20;948;948
Montearagón;539;72;0;72;539;4048
Las Ventas con Peña Aguilera;14753;252;0;252;14753;15367
Solana del Pino;923;138;0;138;923;3904
Madrigueras;2746;503;0;503;2746;35313
Aldeanueva de Barbarroya;3281;188;0;188;3281;13740
Castillo de Garcimuñoz;1637;410;0;410;1637;4199
Cardiel de los Montes;2131;147;0;147;2131;12042
Luciana;94;80;0;80;94;5247
Malaguilla;2036;91;0;91;2036;2036
