Valdemorillo;12010;4518;1143;4518;13153;117006
Arganda del Rey;17241;3849;1263;3849;18504;145252
Villaviciosa de Odón;5841;2696;347;2696;6188;133494
Collado Mediano;6565;683;0;683;6565;45908
Batres;9294;286;0;286;9294;17227
Olmeda de las Fuentes;248;231;0;231;248;4822
Villalbilla;2258;2892;0;2892;2258;108023
Guadalix de la Sierra;1661;506;0;506;1661;36167
Alcalá de Henares;26867;16311;479;16311;27346;295724
Majadahonda;22387;4394;342;4394;22729;145648
Valdilecha;292;312;0;312;292;10445
Becerril de la Sierra;512;856;0;856;512;51069
Talamanca de Jarama;3139;241;0;241;3139;22049
Villamanta;15315;816;0;816;15315;15365
Lozoya;500;280;0;280;500;6457
Moraleja de Enmedio;369;646;0;646;369;19286
Torrejón de Ardoz;7411;9522;432;9522;7843;119663
El Berrueco;878;305;0;305;878;7103
Collado Villalba;3461;4642;44;4642;3505;116804
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13271;2125;0;2125;13271;94976
San Agustín del Guadalix;3351;800;1096;800;4447;40497
Algete;8332;1228;151;1228;8483;68082
Los Santos de la Humosa;387;515;0;515;387;16364
Horcajo de la Sierra-Aoslos;176;144;0;144;176;1803
Pinilla del Valle;439;129;0;129;439;4476
San Sebastián de los Reyes;11855;5959;1468;5959;13324;135784
Titulcia;5585;252;0;252;5585;8060
Patones;469;471;0;471;469;4254
Ciempozuelos;1918;1157;0;1157;1918;48773
Leganés;9994;17573;597;17573;10591;199442
Miraflores de la Sierra;4615;1118;0;1118;4615;54022
Morata de Tajuña;2458;1856;0;1856;2458;26979
Navacerrada;2642;1854;98;1854;2740;23716
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4752;2652;0;2652;4752;106166
Villavieja del Lozoya;2137;102;487;102;2624;6066
Tielmes;9042;211;18;211;9060;9060
Horcajuelo de la Sierra;680;171;0;171;680;1871
Moralzarzal;5028;1173;85;1173;5113;72758
Colmenar del Arroyo;1758;1060;0;1060;1758;15440
Piñuécar-Gandullas;2862;151;0;151;2862;7587
Quijorna;2887;371;0;371;2887;23463
Villar del Olmo;191;377;0;377;191;15978
Prádena del Rincón;74;61;0;61;74;1118
Sevilla la Nueva;347;6706;0;6706;347;37847
Fresnedillas de la Oliva;659;1156;0;1156;659;11084
Humanes de Madrid;1599;5092;0;5092;1599;28566
Belmonte de Tajo;9911;258;0;258;9911;11152
Valdemaqueda;11101;579;1770;579;12871;16878
Valverde de Alcalá;0;229;0;229;0;4421
Nuevo Baztán;454;538;0;538;454;77640
Anchuelo;122;187;0;187;122;8108
Ambite;14646;194;0;194;14646;17009
San Martín de la Vega;7691;13117;0;13117;7691;81112
Venturada;2106;228;0;228;2106;30302
Ajalvir;13;913;74;913;87;15957
Lozoyuela-Navas-Sieteiglesias;3191;533;0;533;3191;15785
Aranjuez;3863;10952;429;10952;4291;140699
Fresno de Torote;1070;294;0;294;1070;26126
Zarzalejo;1861;4542;0;4542;1861;15436
Cubas de la Sagra;667;305;0;305;667;24687
Cenicientos;7272;442;0;442;7272;18363
Móstoles;13311;10067;4228;10067;17540;188990
Tres Cantos;1663;2779;680;2779;2342;121934
Villamantilla;1323;401;0;401;1323;12990
La Serna del Monte;1439;88;0;88;1439;2575
Santa María de la Alameda;6240;1018;0;1018;6240;29527
Arroyomolinos;1436;1478;0;1478;1436;70758
Torremocha de Jarama;840;184;0;184;840;9748
El Boalo;17630;1004;101;1004;17731;56526
El Vellón;688;216;0;216;688;9706
Guadarrama;6617;4146;0;4146;6617;85997
Cabanillas de la Sierra;596;203;0;203;596;10895
San Martín de Valdeiglesias;2441;1901;0;1901;2441;65147
Galapagar;1181;6119;0;6119;1181;161282
Madarcos;291;26;0;26;291;1452
Villanueva de la Cañada;1583;1480;0;1480;1583;93464
Manzanares el Real;12286;1511;190;1511;12477;59023
Valdemanco;1269;210;0;210;1269;9036
Casarrubuelos;1756;285;0;285;1756;15404
San Lorenzo de El Escorial;6061;2300;55;2300;6117;60019
Cervera de Buitrago;264;58;0;58;264;2222
Villa del Prado;22367;1520;0;1520;22367;69826
Navarredonda y San Mamés;718;111;0;111;718;3267
Orusco de Tajuña;2568;157;0;157;2568;9727
Ribatejada;1759;172;0;172;1759;12787
El Álamo;3907;465;0;465;3907;53642
Pozuelo del Rey;388;169;0;169;388;7690
Pedrezuela;2712;440;196;440;2907;34256
El Escorial;8233;2472;134;2472;8368;89277
Rascafría;2293;1327;0;1327;2293;18538
La Acebeda;240;95;0;95;240;864
Colmenar de Oreja;44126;1122;0;1122;44126;81841
Rozas de Puerto Real;3694;394;0;394;3694;7860
Getafe;28991;11144;54;11144;29045;257779
Estremera;10284;311;0;311;10284;17104
Coslada;2738;11724;88;11724;2826;83634
Alcobendas;18322;6878;15479;6878;33802;181872
Santorcaz;456;274;0;274;456;12177
La Hiruela;269;116;0;116;269;1530
Mejorada del Campo;5384;2249;307;2249;5690;64004
Gargantilla del Lozoya y Pinilla de Buitrago;1305;231;0;231;1305;8943
Buitrago del Lozoya;472;368;0;368;472;11731
Navalagamella;1340;1225;0;1225;1340;12508
Colmenarejo;1674;1217;33;1217;1707;48512
Pozuelo de Alarcón;20260;14791;2605;14791;22865;257668
Somosierra;101;126;0;126;101;2160
Alpedrete;4825;1675;618;1675;5444;68257
Torres de la Alameda;2643;1315;0;1315;2643;39216
Meco;4479;2042;0;2042;4479;64529
Navas del Rey;8603;768;0;768;8603;25790
Serranillos del Valle;289;291;0;291;289;24611
