Lezo;8531;1189;54;1189;8585;17207
Barrundia;6771;3068;0;3068;6771;24252
Gipuzkoa eta Arabako Partzuergo Orokorra;0;458;0;458;0;0
Ibarra;2369;615;0;615;2369;5473
Ibarrangelu;1420;795;0;795;1420;1420
Itsasondo;0;458;0;458;0;985
Basauri;9043;1687;66;1687;9109;42034
Leza;2346;279;0;279;2346;2346
Sestao;760;1698;264;1698;1023;21291
Lekeitio;5385;765;175;765;5560;12684
Arraia-Maeztu;11336;2909;1391;2909;12726;14827
Bidania-Goiatz;550;394;0;394;550;1872
Zizurkil;2142;711;174;711;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9124;2886;295;2886;9419;42907
Kortezubi;300;549;285;549;585;585
Zegama;234;1399;98;1399;332;3288
Peñacerrada-Urizaharra;5626;866;0;866;5626;5834
Zarautz;8497;2165;0;2165;8497;33315
Aulesti;1064;519;0;519;1064;1822
Mendexa;171;232;0;232;171;782
Gatika;909;944;0;944;909;3408
Arakaldo;3472;213;0;213;3472;3472
Deba;2626;1656;0;1656;2626;7994
Arratzua-Ubarrundia;3801;2247;0;2247;3801;14069
Gamiz-Fika;3755;1229;0;1229;3755;4621
San Millán / Donemiliaga;4181;2518;56;2518;4237;23503
Erandio;7096;2877;475;2877;7571;32449
Zigoitia;5649;4292;0;4292;5649;31988
Olaberria;796;563;0;563;796;1613
Ortuella;1919;1770;21;1770;1940;19515
Andoain;4140;2439;734;2439;4874;17501
Baliarrain;364;100;0;100;364;550
Berriz;8346;1012;0;1012;8346;11398
Valle de Arana/Harana;1064;747;0;747;1064;6090
Campezo / Kanpezu;5887;1382;104;1382;5991;8318
Irun;15279;8988;1073;8988;16352;95105
Iruña Oka/Iruña de Oca;5142;3292;0;3292;5142;34530
Laguardia;7771;1964;175;1964;7946;12525
Hondarribia/Fontarrabie;16903;4209;589;4209;17491;40587
Azkoitia;5584;1459;74;1459;5658;16867
Lizartza;840;185;0;185;840;1320
Laukiz;4419;424;239;424;4658;4658
Samaniego;1946;281;0;281;1946;2129
Urduña / Orduña;12040;1190;1270;1190;13310;16795
Villabuena de Álava/Eskuernaga;2816;314;0;314;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7518;309;1857;309;9374;9899
Larraul;0;253;33;253;33;829
Bergara;4434;2245;0;2245;4434;21842
Bermeo;5482;3522;1034;3522;6516;18747
Aia;2038;1745;161;1745;2199;5193
Lantarón;4121;1694;386;1694;4507;19608
Mañaria;196;438;177;438;374;1324
Okondo;871;936;487;936;1357;2330
Munitibar-Arbatzegi Gerrikaitz;1050;556;324;556;1375;2133
Zaldibia;0;896;0;896;0;1443
Gaztelu;0;220;0;220;0;0
Garai;542;177;0;177;542;542
Mutriku;1317;1424;48;1424;1366;7955
Beasain;2960;1264;0;1264;2960;16386
Ordizia;1231;689;0;689;1231;13369
Igorre;4529;1445;0;1445;4529;8671
Labastida/Bastida;12125;1427;151;1427;12275;14639
Sondika;6638;1304;0;1304;6638;17606
Karrantza Harana / Valle de Carranza;2409;1901;2018;1901;4427;11226
Oyón/Oion;3287;1217;364;1217;3651;13606
Pasaia;3292;1101;2203;1101;5494;13191
Ubide;1813;182;48;182;1861;1861
Errenteria;10284;3397;85;3397;10369;37215
Gorliz;8774;1763;0;1763;8774;18275
Ataun;63;1399;236;1399;299;915
Enirio-Aralarko Mankomunitatea;0;1467;0;1467;0;0
Portugalete;2198;2554;783;2554;2981;35625
Elgoibar;4948;2130;0;2130;4948;18142
Lemoa;8074;705;761;705;8835;8835
Alonsotegi;538;828;136;828;674;5533
Villabona-Amasa;668;1027;0;1027;668;3336
Legutio;3421;2396;0;2396;3421;16733
Nabarniz;1269;417;0;417;1269;1269
Elciego/Eltziego;5647;601;0;601;5647;7908
Yécora/Iekora;2550;234;0;234;2550;2550
Plentzia;3469;955;78;955;3547;12740
Morga;956;656;0;656;956;956
Moreda de Álava;387;361;499;361;886;1828
Ribera Alta;15517;2335;374;2335;15891;18587
Urnieta;4185;1501;0;1501;4185;10445
Kuartango/Cuartango;13461;1129;468;1129;13930;13930
Aramaio;2293;2226;234;2226;2526;2996
Orozko;2543;1953;2106;1953;4649;10328
Larrabetzu;770;961;26;961;796;5297
Alkiza;0;408;0;408;0;1054
Sukarrieta;192;251;0;251;192;1448
Trucios-Turtzioz;2325;337;1006;337;3330;3718
Maruri-Jatabe;3039;846;0;846;3039;3039
Lasarte-Oria;7290;1158;916;1158;8206;21760
Muskiz;7897;2373;470;2373;8368;19312
Amurrio;28724;4047;208;4047;28932;34484
Parzonería de Badaya/Badaiako partzuergoa;0;110;0;110;0;0
Galdakao;19643;3236;520;3236;20163;48800
Leaburu;300;216;0;216;300;535
Galdames;1656;890;0;890;1656;9054
Murueta;863;318;0;318;863;863
Gabiria;46;510;108;510;154;1418
Zamudio;13767;2003;0;2003;13767;22266
Orexa;458;156;0;156;458;965
Ziortza-Bolibar;727;301;0;301;727;727
Artzentales;580;829;305;829;884;975
Usurbil;12148;1499;82;1499;12230;23354
Forua;1305;528;0;528;1305;2683
Orio;4284;698;498;698;4783;11155
Zuya/Zuia;3805;2863;0;2863;3805;34992
Elburgo/Burgelu;839;1056;0;1056;839;8916
Agurain/Salvatierra;1469;1621;134;1621;1603;17091
Ermua;3311;553;412;553;3723;10855
Arrankudiaga;5796;806;281;806;6077;6243
Balmaseda;2307;806;443;806;2750;10899
Fruiz;1831;433;0;433;1831;1831
Urduliz;2209;673;0;673;2209;9254
Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;0;29;0;29;0;0
Azpeitia;8570;3172;214;3172;8785;19827
Barrika;1926;597;0;597;1926;7087
Irura;5656;359;0;359;5656;6843
Eskoriatza;2008;1551;0;1551;2008;6953
Ea;609;690;0;690;609;1817
Artziniega / Arceniega;5203;1008;1570;1008;6773;6997
Comunidad de Laño, Pipaón y Peñacerrada;0;31;0;31;0;0
Arrigorriaga;3423;1282;0;1282;3423;11816
Berriatua;2264;297;49;297;2313;3436
Iurreta;9589;725;205;725;9795;11377
Alegia;577;471;0;471;577;2864
Belauntza;797;253;0;253;797;1124
Elvillar/Bilar;8628;336;0;336;8628;8628
Añana;994;443;0;443;994;3508
Vitoria-Gasteiz;64037;33775;4148;33775;68185;336728
Zalla;8826;2710;1249;2710;10074;20789
Kripan;1796;223;0;223;1796;1796
Berantevilla;6991;883;0;883;6991;8823
Bedia;2238;445;147;445;2385;2385
Elantxobe;54;174;25;174;79;668
Lanciego/Lantziego;3742;601;1017;601;4760;5648
Gernika-Lumo;10534;2032;208;2032;10742;26795
Idiazabal;3442;895;0;895;3442;4991
Markina-Xemein;2312;806;0;806;2312;7061
Urkabustaiz;20188;1453;0;1453;20188;33355
Arrasate / Mondragón;8666;2501;19;2501;8685;36091
Zerain;0;480;0;480;0;0
Zumaia;11085;1083;0;1083;11085;24900
