Sant Llorenç des Cardassar;11028;3211;87;3211;11115;74337
Sencelles;525;413;0;413;525;6933
Binissalem;1144;550;0;550;1144;22659
Llubí;5503;402;0;402;5503;13984
Es Mercadal;46309;4075;0;4075;46309;60467
Escorca;4499;1324;0;1324;4499;5989
Alaior;6224;3766;0;3766;6224;49910
Esporles;18458;1446;0;1446;18458;33388
Algaida;3311;1510;409;1510;3720;23363
Sóller;3886;7619;0;7619;3886;42011
Artà;6225;2012;0;2012;6225;52883
Deià;1105;1256;0;1256;1105;5227
Andratx;6840;5532;0;5532;6840;84386
Ses Salines;8197;1889;14;1889;8211;40500
Es Migjorn Gran;2795;1249;0;1249;2795;10264
Llucmajor;11381;5104;0;5104;11381;165132
Santa Eugènia;2861;348;0;348;2861;6888
Lloret de Vistalegre;612;221;0;221;612;4093
Valldemossa;11046;2322;117;2322;11163;19698
Maó;13336;22815;466;22815;13802;92320
Marratxí;30505;4667;83;4667;30589;187257
Cabrera;0;200;0;200;0;0
Sant Antoni de Portmany;127131;8732;66;8732;127197;170361
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2830;820;2830;32159;51314
Petra;999;914;0;914;999;14399
Ciutadella;39625;11678;65;11678;39690;136364
Santanyí;26976;19545;465;19545;27441;128680
Campos;7001;2223;0;2223;7001;70428
Palma;120204;20949;753;20949;120957;698319
Son Servera;9002;1955;185;1955;9187;48600
Ariany;575;263;0;263;575;9416
Alcúdia;13518;4165;113;4165;13631;95322
Santa Margalida;7214;2570;0;2570;7214;75763
Selva;4995;957;0;957;4995;16729
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;16039;15379;630;15379;16669;264218
Manacor;34747;18128;0;18128;34747;202373
Sant Lluís;2420;17185;0;17185;2420;70214
Capdepera;6819;4036;0;4036;6819;94863
Santa María del Camí;128;8643;0;8643;128;17671
Campanet;1665;506;0;506;1665;9614
Maria de la Salut;1445;390;0;390;1445;13230
Costitx;2436;227;0;227;2436;5141
Alaró;715;5142;0;5142;715;16239
Pollença;16169;13559;1365;13559;17534;82408
Sant Joan;2362;565;0;565;2362;11943
Puigpunyent;3940;518;0;518;3940;14333
Mancor de la Vall;980;212;0;212;980;6140
Lloseta;3586;323;0;323;3586;14943
Estellencs;1894;212;0;212;1894;3949
Sa Pobla;9254;1277;0;1277;9254;51769
Búger;236;175;0;175;236;4891
Montuïri;4706;676;0;676;4706;12210
Inca;7874;1723;0;1723;7874;64285
Santa Eulalia del Río;243471;6771;0;6771;243471;321585
Muro;4088;2242;0;2242;4088;41009
Sineu;4363;705;80;705;4443;19453
Banyalbufar;0;915;0;915;0;6287
Bunyola;4237;1708;0;1708;4237;40506
Ferreries;6541;2100;0;2100;6541;17148
Eivissa;16218;4231;28;4231;16246;78098
Porreres;1792;931;163;931;1956;15653
Sant Josep de sa Talaia;132674;8922;632;8922;133306;230110
Es Castell;61;7306;0;7306;61;28859
Consell;1441;362;0;362;1441;10735
