La Unión;20767;1709;108;1709;20875;76277
Ricote;535;280;0;280;535;7372
Librilla;6871;1359;0;1359;6871;25784
Cartagena;162746;37789;4187;37789;166934;761034
Blanca;758;601;73;601;831;14827
Cehegín;36692;1122;681;1122;37374;88012
Las Torres de Cotillas;22183;1545;579;1545;22762;123495
Puerto Lumbreras;5911;1652;261;1652;6172;57446
Totana;42771;1641;86;1641;42857;93257
Beniel;10873;592;0;592;10873;25486
Abarán;8455;765;0;765;8455;33039
Molina de Segura;140203;3883;418;3883;140621;342774
Alcantarilla;37013;1465;0;1465;37013;77023
Mula;12044;1420;186;1420;12231;61151
Yecla;67713;2860;0;2860;67713;103974
Ceutí;2407;1093;24;1093;2431;62503
Santomera;16253;738;0;738;16253;35570
Albudeite;764;268;127;268;891;9478
Los Alcázares;24239;2121;220;2121;24459;152113
Abanilla;21832;1002;38;1002;21870;49525
Fuente Álamo de Murcia;106175;2561;0;2561;106175;156457
Fortuna;25319;1211;0;1211;25319;65828
Ojós;228;620;0;620;228;2878
Caravaca de la Cruz;65151;1295;8;1295;65159;82716
Águilas;56210;4232;0;4232;56210;136370
Murcia;670739;31521;4287;31521;675025;1390470
Torre Pacheco;93255;17658;3029;17658;96284;284920
Alhama de Murcia;49778;2819;399;2819;50177;126119
Mazarrón;72579;3339;0;3339;72579;158862
Alguazas;10698;441;0;441;10698;29809
Pliego;1374;515;0;515;1374;20565
Bullas;14497;628;151;628;14648;59748
Jumilla;25616;2214;2063;2214;27680;65602
Campos del Río;507;212;0;212;507;9031
Villanueva del Río Segura;1818;259;0;259;1818;13746
Lorca;84487;17467;977;17467;85464;208464
Lorquí;15886;812;108;812;15994;70410
San Pedro del Pinatar;26645;2241;883;2241;27528;148967
Ulea;365;328;0;328;365;4668
Calasparra;19972;954;100;954;20072;66698
Moratalla;25509;6388;0;6388;25509;45232
Cieza;8862;1429;428;1429;9290;41400
Archena;6351;1089;2103;1089;8454;68630
Aledo;2514;292;0;292;2514;11252
