Sant Llorenç des Cardassar;11028;3212;87;3212;11115;74337
Sencelles;525;413;0;413;525;6933
Binissalem;1144;550;0;550;1144;22659
Llubí;5503;402;0;402;5503;13984
Es Mercadal;46309;4075;0;4075;46309;60467
Escorca;4499;1328;0;1328;4499;5989
Alaior;6226;3766;0;3766;6226;49913
Esporles;18458;1448;0;1448;18458;33388
Algaida;3311;1514;409;1514;3720;23363
Sóller;3886;7622;0;7622;3886;42011
Artà;6225;2011;0;2011;6225;52883
Deià;1105;1258;0;1258;1105;5227
Andratx;6840;5532;0;5532;6840;84386
Ses Salines;8197;1889;14;1889;8211;40500
Es Migjorn Gran;2795;1249;0;1249;2795;10264
Llucmajor;11436;5332;0;5332;11436;165185
Santa Eugènia;2858;358;0;358;2858;6886
Lloret de Vistalegre;612;221;0;221;612;4093
Valldemossa;11046;2323;117;2323;11163;19698
Maó;13336;24727;466;24727;13802;92346
Marratxí;30505;4673;83;4673;30589;187267
Cabrera;0;200;0;200;0;0
Sant Antoni de Portmany;127131;8732;66;8732;127197;170361
Sant Joan de Labritja;83434;2893;0;2893;83434;99687
Formentera;31339;2830;820;2830;32159;51314
Petra;999;917;0;917;999;14399
Ciutadella;39625;11678;65;11678;39690;136364
Santanyí;27784;20414;465;20414;28249;130913
Campos;6398;2851;0;2851;6398;69826
Palma;120207;20962;753;20962;120960;698349
Son Servera;9002;1955;185;1955;9187;48600
Ariany;575;263;0;263;575;9416
Alcúdia;13445;4397;113;4397;13558;95323
Santa Margalida;7214;2570;0;2570;7214;75763
Selva;4995;957;0;957;4995;16729
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;16039;15426;630;15426;16669;264781
Manacor;34747;18134;0;18134;34747;202373
Sant Lluís;2420;17185;0;17185;2420;70214
Capdepera;6820;4039;0;4039;6820;94865
Santa María del Camí;128;8643;0;8643;128;17671
Campanet;1665;506;0;506;1665;9614
Maria de la Salut;1445;390;0;390;1445;13230
Costitx;2436;227;0;227;2436;5141
Alaró;715;5142;0;5142;715;16239
Pollença;16169;13559;1365;13559;17534;82408
Sant Joan;2362;566;0;566;2362;11943
Puigpunyent;3940;522;0;522;3940;14571
Mancor de la Vall;980;212;0;212;980;6140
Lloseta;3586;323;0;323;3586;14943
Estellencs;2324;218;0;218;2324;4379
Sa Pobla;9254;1278;0;1278;9254;51769
Búger;236;175;0;175;236;4891
Montuïri;4360;678;0;678;4360;12210
Inca;7874;1726;0;1726;7874;64364
Santa Eulalia del Río;243926;6758;0;6758;243926;321585
Muro;4088;2260;0;2260;4088;41369
Sineu;4363;705;80;705;4443;19453
Banyalbufar;0;916;0;916;0;6287
Bunyola;4237;1724;0;1724;4237;40506
Ferreries;6541;2100;0;2100;6541;17148
Eivissa;16218;4226;28;4226;16246;78098
Porreres;1792;931;163;931;1956;15653
Sant Josep de sa Talaia;132674;8922;632;8922;133306;230110
Es Castell;61;7306;0;7306;61;28859
Consell;1441;362;0;362;1441;10735
