La Victoria de Acentejo;1865;686;0;686;1865;24821
Gáldar;1557;2707;0;2707;1557;96835
San Cristóbal de La Laguna;57250;16028;674;16028;57924;386113
Tejeda;572;1780;0;1780;572;12101
Los Silos;897;7073;0;7073;897;20628
Los Llanos de Aridane;18597;4611;0;4611;18597;63851
Garafía;13526;3350;0;3350;13526;15345
Agüimes;3114;6921;541;6921;3654;129540
Los Realejos;31613;3229;0;3229;31613;96952
Antigua;4458;2958;0;2958;4458;101873
Yaiza;3969;10746;25083;10746;29052;183321
Puntallana;7141;1379;0;1379;7141;10941
Tijarafe;14408;2575;0;2575;14408;26444
La Guancha;6243;909;0;909;6243;24255
Tegueste;4561;1032;0;1032;4561;42806
Tinajo;733;1293;0;1293;733;50076
Ingenio;553;2193;78;2193;631;100931
Arucas;1472;2235;0;2235;1472;91247
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4993;0;4993;12363;65756
Santiago del Teide;3069;9220;0;9220;3069;30832
Santa Cruz de Tenerife;25946;25790;25;25790;25971;359471
Telde;2623;5651;158;5651;2782;263628
Garachico;6790;5101;0;5101;6790;23779
Valsequillo de Gran Canaria;640;1080;0;1080;640;50402
Güímar;13851;4846;0;4846;13851;58724
Frontera;1821;5769;74;5769;1895;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50349;10308;395;10308;50744;208022
Valle Gran Rey;2377;2795;321;2795;2698;16622
Puntagorda;7536;1768;0;1768;7536;27090
Fuencaliente de la Palma;8112;1612;0;1612;8112;17458
Teguise;1692;9487;2186;9487;3877;172021
San Miguel de Abona;36801;3096;0;3096;36801;91877
Tazacorte;2657;2036;0;2036;2657;10579
Mogán;1965;5654;0;5654;1965;84888
Moya;117;1116;0;1116;117;30665
Vallehermoso;11324;2932;2745;2932;14070;18507
Breña Baja;7767;3929;367;3929;8134;30719
Haría;323;1976;0;1976;323;47135
Santa Lucía de Tirajana;5492;2652;0;2652;5492;127224
Artenara;348;1195;0;1195;348;6599
San Andrés y Sauces;6636;1104;0;1104;6636;17698
Hermigua;6361;1869;53;1869;6414;6986
Villa de Mazo;25735;2533;0;2533;25735;32285
Adeje;41932;11268;154;11268;42086;136512
Firgas;289;785;0;785;289;32831
Granadilla de Abona;32365;7752;6678;7752;39043;147168
El Pinar de El Hierro;7489;3075;0;3075;7489;18123
Pájara;3826;10238;702;10238;4528;66101
Buenavista del Norte;6888;9521;0;9521;6888;23268
Santa Úrsula;2165;5778;0;5778;2165;55527
El Paso;13578;2740;0;2740;13578;49182
Valverde;10044;9122;107;9122;10151;42768
Guía de Isora;9735;18973;0;18973;9735;62335
San Juan de la Rambla;7131;1317;0;1317;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1266;0;1266;234;35370
Breña Alta;19844;2086;0;2086;19844;45996
Icod de los Vinos;57364;3041;0;3041;57364;105401
Alajeró;11711;1446;614;1446;12325;16647
San Sebastián de la Gomera;16881;2808;1510;2808;18391;32744
Tacoronte;16898;1487;0;1487;16898;90625
Valleseco;191;779;0;779;191;18864
La Oliva;39489;7023;529;7023;40018;223001
Puerto de la Cruz;6680;4735;0;4735;6680;65942
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19183;19040;0;19040;19183;71630
El Tanque;4870;3946;0;3946;4870;17495
Arico;14223;4247;0;4247;14223;58037
El Sauzal;6937;1154;0;1154;6937;38280
Vilaflor;3114;1634;0;1634;3114;8585
Fasnia;3544;1105;0;1105;3544;13853
Barlovento;9698;1040;0;1040;9698;13710
Vega de San Mateo;1333;1598;0;1598;1333;26966
San Bartolomé;1101;2352;4524;2352;5624;70128
Las Palmas de Gran Canaria;19801;29185;559;29185;20360;532808
Arrecife;4605;2959;0;2959;4605;125827
Tías;3516;3807;2057;3807;5573;124295
Santa Cruz de la Palma;5739;1453;0;1453;5739;25999
San Bartolomé de Tirajana;7011;31442;472;31442;7483;191385
La Matanza de Acentejo;6666;914;0;914;6666;26586
Agulo;5674;855;397;855;6071;7293
La Orotava;57577;4679;0;4679;57577;149510
Santa Brígida;1031;1500;0;1500;1031;69432
Puerto del Rosario;92811;4136;0;4136;92811;183475
Agaete;1179;1781;1981;1781;3161;21133
San Nicolás de Tolentino;198;2039;0;2039;198;40115
