El Maíllo;0;200;0;200;0;4368
Florida de Liébana;0;143;0;143;0;7372
Gajates;6226;89;0;89;6226;6226
Mozárbez;303;181;0;181;303;6752
Tamames;0;558;0;558;0;8784
Ahigal de Villarino;1639;33;0;33;1639;1978
Monsagro;0;169;0;169;0;2270
Agallas;122;158;0;158;122;4854
Negrilla de Palencia;0;40;0;40;0;2626
Brincones;95;50;2321;50;2417;2417
Peralejos de Abajo;0;147;0;147;0;5823
Machacón;420;190;0;190;420;6837
Villaflores;5011;131;0;131;5011;5011
Morasverdes;0;129;0;129;0;5472
La Atalaya;3884;119;0;119;3884;3884
Anaya de Alba;136;141;0;141;136;5899
Peñaparda;0;242;0;242;0;6915
Topas;0;312;0;312;0;5477
Sepulcro-Hilario;4846;80;0;80;4846;4846
La Maya;0;124;0;124;0;3981
Aldeaseca de Alba;0;67;0;67;0;3158
Juzbado;0;153;0;153;0;2730
Paradinas de San Juan;462;70;0;70;462;5191
Cerezal de Peñahorcada;900;391;0;391;900;3259
Puerto Seguro;2544;50;0;50;2544;2544
Villamayor;0;2449;0;2449;0;42732
Montejo;0;216;0;216;0;4804
San Pelayo de Guareña;925;65;0;65;925;2188
Puebla de Azaba;5142;71;0;71;5142;5142
Dios le Guarde;0;80;0;80;0;2725
Pedraza de Alba;5389;67;0;67;5389;5389
Éjeme;0;109;0;109;0;2942
Las Casas del Conde;347;40;0;40;347;1098
Rágama;3192;56;0;56;3192;3192
Espeja;5018;82;0;82;5018;5915
Horcajo de Montemayor;0;93;0;93;0;3457
Pinedas;0;104;0;104;0;2912
Villar de Peralonso;0;1012;0;1012;0;5247
Torresmenudas;2313;31;0;31;2313;2313
La Hoya;890;27;0;27;890;890
Monterrubio de la Sierra;2444;42;0;42;2444;2444
Guadramiro;0;129;0;129;0;4431
Monleón;1639;70;0;70;1639;1764
Almenara de Tormes;2114;160;0;160;2114;3648
Pozos de Hinojo;0;69;0;69;0;2271
Macotera;11535;223;0;223;11535;14301
Berrocal de Huebra;2056;48;0;48;2056;2056
Espino de la Orbada;0;74;0;74;0;4296
Aldea del Obispo;4273;169;0;169;4273;7340
Galisancho;0;141;0;141;0;6892
Navales;105;79;0;79;105;4754
Linares de Riofrío;8157;210;0;210;8157;8409
Bañobárez;0;155;0;155;0;6707
Casillas de Flores;0;148;0;148;0;4271
Parada de Arriba;0;134;0;134;0;3280
Barbadillo;229;237;0;237;229;4895
Saelices el Chico;3836;76;0;76;3836;3836
Encinasola de los Comendadores;0;164;0;164;0;5794
La Cabeza de Béjar;0;348;0;348;0;3072
El Cubo de Don Sancho;0;153;0;153;0;6856
Retortillo;2993;60;0;60;2993;2993
La Sagrada;0;75;0;75;0;3710
San Martín del Castañar;0;731;0;731;0;3038
Villavieja de Yeltes;11560;150;0;150;11560;11740
Castillejo de Martín Viejo;4234;103;0;103;4234;4499
Garcihernández;339;309;0;309;339;8622
Pelayos;0;62;0;62;0;3040
El Pedroso de la Armuña;3002;94;0;94;3002;3002
Valdehijaderos;0;40;0;40;0;1865
Monleras;5821;104;0;104;5821;5821
El Sahúgo;0;191;0;191;0;3969
Salvatierra de Tormes;1037;52;0;52;1037;3047
La Calzada de Béjar;0;74;0;74;0;2379
Las Veguillas;4370;83;0;83;4370;4370
Saldeana;1238;294;0;294;1238;3213
La Bastida;1087;34;0;34;1087;1087
Pereña de la Ribera;3805;161;0;161;3805;4160
Valdemierque;1792;33;0;33;1792;1792
Gejuelo del Barro;0;33;0;33;0;1319
Tabera de Abajo;0;47;0;47;0;825
Barceo;2733;46;0;46;2733;2733
Calvarrasa de Arriba;66;159;0;159;66;8466
Madroñal;0;239;0;239;0;875
Navacarros;888;49;0;49;888;1130
Cepeda;0;746;0;746;0;4345
Valero;3124;79;0;79;3124;3124
Valderrodrigo;0;91;0;91;0;3228
Babilafuente;1710;324;0;324;1710;11443
El Cerro;0;232;0;232;0;5962
Aldeanueva de la Sierra;0;73;0;73;0;2275
El Arco;0;22;0;22;0;892
Palaciosrubios;5319;84;0;84;5319;5319
Santibáñez de Béjar;6949;140;0;140;6949;7300
Navasfrías;0;229;0;229;0;6861
Sardón de los Frailes;2128;46;0;46;2128;2128
Endrinal;2472;81;0;81;2472;2472
La Bouza;2411;34;0;34;2411;2489
Carpio de Azaba;1839;74;0;74;1839;1839
Cabezabellosa de la Calzada;0;477;0;477;0;2120
Tremedal de Tormes;0;53;0;53;0;2248
Garcibuey;1444;77;0;77;1444;1444
