Palau-sator;0;497;0;497;0;3252
Riner;1541;447;0;447;1541;2112
el Prat de Llobregat;362;9851;0;9851;362;69722
Sant Esteve de Palautordera;349;239;0;239;349;16136
Verdú;3036;687;0;687;3036;6559
Vilafant;120;1151;0;1151;120;28136
Regencós;0;91;0;91;0;1840
Massanes;1072;198;0;198;1072;10647
Sant Miquel de Campmajor;0;664;0;664;0;1101
Fígols i Alinyà;1171;397;823;397;1994;3468
Olesa de Bonesvalls;122;320;76;320;198;26920
Navàs;28;1055;0;1055;28;21987
Gavà;593;1984;0;1984;593;70853
Lleida;2763;9992;0;9992;2763;229630
Vilaür;0;279;0;279;0;1993
Banyoles;471;4829;575;4829;1046;65429
Campelles;552;117;0;117;552;2084
el Brull;376;342;0;342;376;1441
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;112;0;112;27;7788
Riu de Cerdanya;676;151;0;151;676;1946
Naut Aran;8323;3003;599;3003;8922;25287
Torrent;0;262;0;262;0;2557
Montagut i Oix;657;804;0;804;657;5026
Preixana;1226;210;0;210;1226;4166
Das;2716;245;0;245;2716;7382
Torrelavit;75;313;0;313;75;6163
Santa Bàrbara;0;234;0;234;0;32288
Capellades;92;220;0;220;92;14925
Alpens;603;121;863;121;1466;3388
Sant Pere de Torelló;1654;856;0;856;1654;13571
Alfarràs;3729;1195;0;1195;3729;11606
Solsona;3737;2722;0;2722;3737;34584
Nalec;316;142;0;142;316;1762
Tordera;6049;2169;131;2169;6181;98397
Cubelles;324;1319;0;1319;324;75340
Lluçà;0;364;0;364;0;1057
Pontons;0;329;0;329;0;6910
Vilanova i la Geltrú;240;18683;0;18683;240;150128
Santa Oliva;29;390;0;390;29;23915
Matadepera;571;2138;629;2138;1200;87982
Granollers;3973;8880;30;8880;4003;94039
Sant Quirze del Vallès;6001;1734;2944;1734;8945;90494
Alella;1206;641;1318;641;2523;55528
Salomó;0;108;0;108;0;4753
Sant Feliu de Guíxols;2297;10379;325;10379;2622;86876
Fontanals de Cerdanya;1570;478;150;478;1720;14292
Salt;0;1300;0;1300;0;31198
Valls;3191;1393;0;1393;3191;84676
Montferri;327;184;0;184;327;3618
Vilabertran;0;53;0;53;0;3128
Sant Ferriol;0;282;0;282;0;193
la Pobla de Massaluca;391;144;0;144;391;2409
Castell-Platja d'Aro;1915;6067;0;6067;1915;108944
