La Unión;20486;1709;108;1709;20594;76012
Ricote;535;280;0;280;535;7372
Librilla;6871;1359;0;1359;6871;25784
Cartagena;162098;37840;4187;37840;166285;760955
Blanca;758;601;73;601;831;14827
Cehegín;36302;1134;681;1134;36983;87635
Las Torres de Cotillas;22423;1546;579;1546;23002;123735
Puerto Lumbreras;5911;1652;261;1652;6172;57446
Totana;42771;1641;86;1641;42857;93257
Beniel;10873;597;0;597;10873;26964
Abarán;8455;765;0;765;8455;33039
Molina de Segura;140162;3892;418;3892;140580;342610
Alcantarilla;37014;1465;0;1465;37014;77022
Mula;12071;1458;186;1458;12258;61178
Yecla;60848;2992;790;2992;61638;106638
Ceutí;2407;1093;24;1093;2431;62503
Santomera;16253;738;0;738;16253;35570
Albudeite;764;275;127;275;891;9645
Los Alcázares;24162;2138;220;2138;24382;152115
Abanilla;21832;1002;38;1002;21870;49525
Fuente Álamo de Murcia;106175;2561;0;2561;106175;156457
Fortuna;25319;1211;0;1211;25319;65828
Ojós;228;620;0;620;228;2878
Caravaca de la Cruz;61088;1299;8;1299;61096;78677
Águilas;56210;4234;0;4234;56210;136370
Murcia;670744;31591;4287;31591;675030;1393750
Torre Pacheco;93255;17658;3029;17658;96284;284920
Alhama de Murcia;49778;2819;399;2819;50177;126119
Mazarrón;74645;3385;0;3385;74645;160928
Alguazas;9983;470;0;470;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;14340;663;151;663;14490;60278
Jumilla;29325;2437;2063;2437;31388;70299
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;259;0;259;1818;13746
Lorca;84487;17467;977;17467;85464;208464
Lorquí;15886;812;108;812;15994;70410
San Pedro del Pinatar;26586;2242;883;2242;27469;148908
Ulea;365;328;0;328;365;4668
Calasparra;20716;964;100;964;20816;67442
Moratalla;25510;6391;0;6391;25510;45232
Cieza;8862;1465;428;1465;9290;41400
Archena;6351;1089;2103;1089;8454;68630
Aledo;2514;292;0;292;2514;11252
