Algorfa;12576;757;0;757;12576;40892
Vilanova d'Alcolea;0;406;0;406;0;4906
Llíria;95912;2960;546;2960;96458;135190
el Camp de Mirra / Campo de Mirra;2073;142;0;142;2073;5432
l'Alfàs del Pi;86577;1546;0;1546;86577;114946
Bolulla;3865;314;0;314;3865;3865
Benicarló;38423;1042;5277;1042;43700;75482
Geldo;170;56;0;56;170;3569
Sot de Ferrer;1813;197;0;197;1813;6201
Carrícola;107;177;0;177;107;613
Argelita;280;101;21;101;300;1839
Almoines;2132;99;0;99;2132;6522
Algímia d'Alfara;7304;155;0;155;7304;7304
Almenara;5203;788;0;788;5203;39853
la Torre de les Maçanes / Torremanzanas;1769;197;0;197;1769;7893
Castellfort;375;60;0;60;375;2397
Cortes de Pallás;4546;1560;773;1560;5319;7919
Loriguilla;15385;193;0;193;15385;26426
Chelva;2651;4050;66;4050;2717;10609
Petrés;2732;77;261;77;2993;5878
Zarra;0;99;0;99;0;3467
Xeraco;4318;1293;115;1293;4434;29470
Massalfassar;1778;987;0;987;1778;8828
l'Alqueria d'Asnar;3134;29;0;29;3134;3134
Bejís;106;146;0;146;106;3889
Canet d'en Berenguer;1744;631;0;631;1744;23605
Xodos / Chodos;0;271;4;271;4;2395
Llanera de Ranes;598;109;0;109;598;7526
Sollana;5504;644;48;644;5552;23837
Castielfabib;3006;880;0;880;3006;7747
Beniarbeig;1778;1228;0;1228;1778;12558
Aielo de Rugat;142;259;0;259;142;1108
Pilar de la Horadada;60268;5942;4230;5942;64498;211876
Matet;0;113;106;113;106;2241
Castelló de Rugat;4333;555;0;555;4333;9655
Sueca;11454;1785;0;1785;11454;83819
Godella;9552;711;1181;711;10733;45487
Olocau;21537;367;917;367;22455;33737
Guadasséquies;2664;215;0;215;2664;4573
Mutxamel;17064;1819;3037;1819;20101;116958
Titaguas;5975;185;0;185;5975;6970
Orxeta;6901;115;0;115;6901;9029
Alginet;21454;598;0;598;21454;48318
Beniardá;370;331;0;331;370;1503
la Serratella;0;66;0;66;0;1576
Alcàntera de Xúquer;175;83;0;83;175;5579
Alboraia / Alboraya;2299;1117;0;1117;2299;34578
Navajas;388;1087;0;1087;388;8291
Orpesa / Oropesa del Mar;12440;1949;1664;1949;14104;98523
Salem;2508;262;0;262;2508;2508
l'Olleria;16730;332;0;332;16730;19102
Benimodo;705;119;0;119;705;10176
Bufali;1112;78;0;78;1112;1981
Sumacàrcer;1085;194;0;194;1085;8598
Xirivella;3571;1508;0;1508;3571;31638
Xixona / Jijona;8082;1127;0;1127;8082;19382
Jérica;3215;568;0;568;3215;10631
Museros;5038;472;0;472;5038;16760
Chiva;80616;6190;0;6190;80616;137920
Benagéber;219;306;553;306;772;2401
Pinet;495;216;0;216;495;1192
Higueras;581;175;0;175;581;2271
Eslida;0;296;0;296;0;6668
Massalavés;348;138;0;138;348;8420
Favara;740;244;0;244;740;10502
l'Alqueria de la Comtessa;8005;150;0;150;8005;9255
Benlloc;0;3555;0;3555;0;5969
el Ràfol d'Almúnia;679;511;3892;511;4571;7912
Cofrentes;1086;930;0;930;1086;6936
Catí;786;272;501;272;1287;5491
Caudete de las Fuentes;1586;325;0;325;1586;10623
Algueña;11244;107;0;107;11244;13615
la Romana;2961;362;0;362;2961;19039
Xàtiva;33702;2102;263;2102;33965;86468
la Pobla de Vallbona;72455;1401;0;1401;72455;141490
Zucaina;1542;385;0;385;1542;4742
Quartell;8344;121;0;121;8344;12213
