Llanera;25928;3017;0;3017;25928;53464
Valdés;119145;3456;173;3456;119318;133850
Morcín;6726;699;0;699;6726;6849
Cangas de Onís;17255;2746;315;2746;17571;21072
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2448;737;1014;737;3462;4512
Siero;43882;12094;1343;12094;45225;91903
Ribadesella;22278;2852;46;2852;22324;37958
Yernes y Tameza;3022;720;0;720;3022;3022
Gijón/Xixón;12371;27067;1427;27067;13798;354098
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;333;0;333;11090;11615
Piloña;25184;2754;891;2754;26075;31767
Cangas del Narcea;132334;3172;717;3172;133052;142585
Mieres;43653;4848;160;4848;43813;69889
Ponga;6646;604;0;604;6646;7910
Navia;52760;2250;0;2250;52760;60387
Sobrescobio;11605;962;0;962;11605;11605
Lena;46446;4885;840;4885;47286;57976
Quirós;28512;4741;200;4741;28712;28712
Bimenes;5439;4330;0;4330;5439;5439
Tineo;87789;1944;0;1944;87789;91503
Peñamellera Alta;12375;609;0;609;12375;12375
Pravia;13153;940;0;940;13153;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;15849;3149;0;3149;15849;16345
Villaviciosa;29029;3812;0;3812;29029;44386
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30109;1040;0;1040;30109;42873
Llangréu/Langreo;23934;13980;294;13980;24228;91988
Teverga;29172;779;271;779;29443;30125
Cabranes;7204;489;628;489;7832;7832
Vegadeo;18649;756;588;756;19237;24088
Coaña;20831;905;0;905;20831;20831
Taramundi;13859;1465;179;1465;14037;14953
Corvera de Asturias;15905;1355;0;1355;15905;38463
Castrillón;46454;3247;378;3247;46832;82009
Nava;21693;768;408;768;22101;27580
Ibias;38534;1279;162;1279;38696;38696
Salas;18923;1793;148;1793;19072;28060
Soto del Barco;15445;674;0;674;15445;25221
San Tirso de Abres;8205;216;55;216;8261;8321
Caso;19670;2247;115;2247;19785;23196
Riosa;3525;421;0;421;3525;5510
Colunga;28819;4701;540;4701;29360;42306
Sariego;7113;514;0;514;7113;8720
Villayón;18059;385;0;385;18059;18059
Ribadedeva;9240;702;435;702;9674;10188
Amieva;6709;479;495;479;7204;7204
Somiedo;33550;2147;28;2147;33578;34888
Parres;10318;855;504;855;10822;15990
Onís;8124;1904;0;1904;8124;8124
Carreño;12549;1985;140;1985;12689;29200
Grandas de Salime;20549;698;0;698;20549;23436
Castropol;35606;1177;0;1177;35606;46393
Proaza;16137;422;21;422;16158;16825
Aller;20875;3784;0;3784;20875;31035
Boal;9012;1253;0;1253;9012;10952
Grau/Grado;27201;2149;0;2149;27201;41209
San Martín de Oscos;12425;259;0;259;12425;12425
Illano;16616;573;0;573;16616;16616
El Franco;10082;587;0;587;10082;17375
Villanueva de Oscos;6916;329;0;329;6916;6916
Las Regueras;6013;657;0;657;6013;6013
Peñamellera Baja;11260;627;0;627;11260;11260
Samartín del Rei Aurelio;22711;2195;192;2195;22903;42453
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;9424;725;335;725;9759;11733
Allande;42411;1380;34;1380;42445;43894
Laviana;24189;2571;0;2571;24189;33765
Muros de Nalón;6615;1509;0;1509;6615;15644
Avilés;29461;6092;2191;6092;31653;105947
Oviedo;81375;24013;2847;24013;84222;241699
Caravia;4917;816;0;816;4917;4917
