Sant Llorenç des Cardassar;10804;3216;87;3216;10890;74399
Sencelles;525;436;0;436;525;6933
Binissalem;1144;551;0;551;1144;22659
Llubí;5503;403;0;403;5503;13984
Es Mercadal;46309;4075;0;4075;46309;60467
Escorca;4499;1338;0;1338;4499;5989
Alaior;6226;3766;0;3766;6226;49913
Esporles;18458;1461;0;1461;18458;33389
Algaida;3311;1513;409;1513;3720;23363
Sóller;3886;7627;0;7627;3886;42072
Artà;6225;2026;0;2026;6225;52893
Deià;1105;1258;0;1258;1105;5227
Andratx;6840;5539;0;5539;6840;84664
Ses Salines;8197;1894;14;1894;8211;40499
Es Migjorn Gran;2795;1249;0;1249;2795;10264
Llucmajor;11436;6413;0;6413;11436;165299
Santa Eugènia;2858;358;0;358;2858;6886
Lloret de Vistalegre;612;221;0;221;612;4093
Valldemossa;11046;2331;117;2331;11163;19698
Maó;13336;26837;466;26837;13802;92340
Marratxí;30505;4686;83;4686;30588;187272
Cabrera;0;200;0;200;0;0
Sant Antoni de Portmany;127131;8732;66;8732;127197;170361
Sant Joan de Labritja;83434;2893;0;2893;83434;99687
Formentera;31339;2830;820;2830;32159;51314
Petra;999;921;0;921;999;14399
Ciutadella;30080;11685;19;11685;30099;135582
Santanyí;27784;20415;465;20415;28249;130913
Campos;6398;2961;0;2961;6398;69826
Palma;117116;21097;730;21097;117847;698885
Son Servera;8942;1958;185;1958;9128;48600
Ariany;410;313;0;313;410;9383
Alcúdia;13575;4438;113;4438;13688;95453
Santa Margalida;7214;2570;0;2570;7214;75763
Selva;4995;958;0;958;4995;16729
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;16039;15446;630;15446;16669;264770
Manacor;34671;18147;0;18147;34671;202373
Sant Lluís;2420;17185;0;17185;2420;70214
Capdepera;6527;4049;0;4049;6527;94573
Santa María del Camí;128;8643;0;8643;128;17671
Campanet;1665;506;0;506;1665;9614
Maria de la Salut;1445;393;0;393;1445;13230
Costitx;2436;230;0;230;2436;5141
Alaró;715;5172;0;5172;715;16239
Pollença;16169;13563;1365;13563;17534;82408
Sant Joan;2362;566;0;566;2362;11943
Puigpunyent;3867;666;0;666;3867;14557
Mancor de la Vall;980;218;0;218;980;6140
Lloseta;3586;328;0;328;3586;14943
Estellencs;2324;218;0;218;2324;4379
Sa Pobla;9254;1278;0;1278;9254;51769
Búger;236;175;0;175;236;4891
Montuïri;4360;679;0;679;4360;12210
Inca;7874;1748;0;1748;7874;64391
Santa Eulalia del Río;243926;6758;0;6758;243926;321585
Muro;4088;2261;0;2261;4088;41061
Sineu;4363;710;80;710;4443;19453
Banyalbufar;0;916;0;916;0;6287
Bunyola;4237;1723;0;1723;4237;40506
Ferreries;6541;2100;0;2100;6541;17148
Eivissa;16218;4226;28;4226;16246;78098
Porreres;1792;932;163;932;1956;15653
Sant Josep de sa Talaia;132674;8922;632;8922;133306;230110
Es Castell;61;7306;0;7306;61;28859
Consell;1441;362;0;362;1441;10735
