La Victoria de Acentejo;1865;686;0;686;1865;24821
Gáldar;1557;2724;89;2724;1646;96924
San Cristóbal de La Laguna;56887;16153;674;16153;57561;387373
Tejeda;572;1843;0;1843;572;12099
Los Silos;852;7075;0;7075;852;20628
Los Llanos de Aridane;18685;4620;0;4620;18685;63521
Garafía;13526;3459;0;3459;13526;15345
Agüimes;3114;6923;541;6923;3654;129540
Los Realejos;31626;3473;0;3473;31626;97016
Antigua;4431;2972;0;2972;4431;101845
Yaiza;3969;10762;25083;10762;29052;183321
Puntallana;7141;1382;0;1382;7141;10941
Tijarafe;14278;2576;0;2576;14278;26307
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1035;0;1035;4561;42806
Tinajo;733;1436;0;1436;733;49436
Ingenio;553;2245;78;2245;631;100931
Arucas;1472;2460;0;2460;1472;91247
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4993;0;4993;12363;65756
Santiago del Teide;3069;9253;0;9253;3069;30832
Santa Cruz de Tenerife;26255;25800;25;25800;26280;359539
Telde;2623;5718;158;5718;2782;263616
Garachico;6790;5106;0;5106;6790;23833
Valsequillo de Gran Canaria;640;1094;0;1094;640;50402
Güímar;13851;4846;0;4846;13851;58724
Frontera;1821;5784;74;5784;1895;20494
Santa María de Guía de Gran Canaria;303;2172;0;2172;303;41002
Arona;50349;10325;395;10325;50744;208020
Valle Gran Rey;2377;2795;321;2795;2698;16622
Puntagorda;7603;1858;0;1858;7603;27144
Fuencaliente de la Palma;8461;1648;0;1648;8461;17802
Teguise;1692;9599;2186;9599;3877;172021
San Miguel de Abona;36801;3102;0;3102;36801;91877
Tazacorte;2657;2036;0;2036;2657;10579
Mogán;1965;5708;0;5708;1965;84896
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2960;2745;2960;14070;18507
Breña Baja;7767;3931;367;3931;8134;30719
Haría;323;2084;0;2084;323;47298
Santa Lucía de Tirajana;5492;2652;0;2652;5492;127224
Artenara;348;1195;0;1195;348;6599
San Andrés y Sauces;6986;1232;0;1232;6986;18049
Hermigua;6361;1869;53;1869;6414;6986
Villa de Mazo;25152;2573;0;2573;25152;32221
Adeje;41963;11291;154;11291;42116;136588
Firgas;289;807;0;807;289;32837
Granadilla de Abona;32587;7932;6678;7932;39265;147393
El Pinar de El Hierro;7489;3075;0;3075;7489;18123
Pájara;3826;10282;702;10282;4528;66101
Buenavista del Norte;6632;9535;0;9535;6632;23362
Santa Úrsula;2165;5779;0;5779;2165;55528
El Paso;13578;2741;0;2741;13578;49182
Valverde;10044;9123;107;9123;10151;42768
Guía de Isora;9735;18987;0;18987;9735;62335
San Juan de la Rambla;7131;1316;0;1316;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1266;0;1266;234;35370
Breña Alta;18655;2094;0;2094;18655;44808
Icod de los Vinos;57364;3042;0;3042;57364;105401
Alajeró;11711;1445;614;1445;12325;16647
San Sebastián de la Gomera;16881;2808;1510;2808;18391;32744
Tacoronte;16898;1505;0;1505;16898;90625
Valleseco;191;848;0;848;191;18864
La Oliva;39489;7111;529;7111;40018;223001
Puerto de la Cruz;6680;4738;0;4738;6680;65942
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19184;19042;0;19042;19184;71621
El Tanque;4870;3946;0;3946;4870;17495
Arico;14223;4256;0;4256;14223;58037
El Sauzal;6937;1170;0;1170;6937;38280
Vilaflor;3114;1797;0;1797;3114;8583
Fasnia;3544;1105;0;1105;3544;13853
Barlovento;9717;1170;0;1170;9717;13729
Vega de San Mateo;1333;1600;0;1600;1333;26966
San Bartolomé;1101;2365;4524;2365;5624;70124
Las Palmas de Gran Canaria;19591;29249;559;29249;20150;530606
Arrecife;4605;3007;0;3007;4605;125827
Tías;3516;3845;2057;3845;5573;124295
Santa Cruz de la Palma;5735;1452;0;1452;5735;25995
San Bartolomé de Tirajana;7011;31464;472;31464;7483;191296
La Matanza de Acentejo;6666;921;0;921;6666;26587
Agulo;5674;855;397;855;6071;7293
La Orotava;57577;4681;0;4681;57577;149510
Santa Brígida;1031;1504;0;1504;1031;69432
Puerto del Rosario;92811;4137;0;4137;92811;183475
Agaete;906;1805;1981;1805;2887;21133
San Nicolás de Tolentino;198;2040;0;2040;198;40115
