Santander;15560;21478;3855;21478;19415;272969
Camaleño;14046;1416;2094;1416;16140;17149
Arenas de Iguña;17437;1202;0;1202;17437;19830
Valdeprado del Río;4207;684;95;684;4301;7963
Colindres;4149;634;0;634;4149;19691
Valdáliga;15421;1749;138;1749;15559;23054
Potes;214;1576;0;1576;214;7127
Castañeda;14456;334;117;334;14573;16402
Camargo;58391;2160;5667;2160;64058;111460
Corvera de Toranzo;19367;426;788;426;20155;22569
Entrambasaguas;542;3022;0;3022;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;0;2619;3164;2619;3164;130379
Penagos;7424;971;184;971;7608;13876
Liérganes;3957;1102;0;1102;3957;12251
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35168;1389;1930;1389;37098;45116
Alfoz de Lloredo;5371;677;376;677;5747;42323
Miera;1454;1165;0;1165;1454;5133
Tresviso;39;112;0;112;39;1078
Liendo;16010;270;1664;270;17674;17674
Selaya;2992;277;0;277;2992;7584
Los Tojos;3398;395;48;395;3446;3446
Castro-Urdiales;18495;8803;3388;8803;21883;92352
Vega de Pas;1194;732;0;732;1194;3064
Laredo;15307;3464;234;3464;15541;50400
Ampuero;4086;267;1543;267;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;635;0;635;8237;8533
Ruente;4350;813;0;813;4350;10089
Marina de Cudeyo;3328;1031;0;1031;3328;52743
Tudanca;4128;173;0;173;4128;4128
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;15480;740;13;740;15493;17771
Polanco;14888;608;3208;608;18096;24576
Meruelo;10969;317;225;317;11194;14371
San Vicente de la Barquera;7322;886;613;886;7935;16126
Vega de Liébana;3367;910;0;910;3367;17487
Mazcuerras;18105;440;678;440;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7377;319;355;319;7732;12245
Rasines;1241;247;145;247;1387;1988
San Roque de Riomiera;85;1258;0;1258;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;39679;1243;1608;1243;41287;49446
Bárcena de Cicero;14492;615;1868;615;16360;27219
Santa Cruz de Bezana;25952;1120;12052;1120;38004;65687
Puente Viesgo;16218;958;0;958;16218;26055
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4156;411;175;411;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;5919;576;753;576;6672;8258
Villacarriedo;9810;308;0;308;9810;13715
Hermandad de Campoo de Suso;12959;1909;0;1909;12959;26638
Limpias;2715;106;1193;106;3908;6112
Peñarrubia;6270;296;0;296;6270;7972
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7752;434;141;434;7893;15483
Guriezo;10843;730;133;730;10976;12788
Valdeolea;5331;624;0;624;5331;18740
Val de San Vicente;18513;1168;393;1168;18906;28539
Arnuero;19868;640;5904;640;25772;33828
Hazas de Cesto;11534;248;69;248;11603;12117
Villaescusa;23160;808;427;808;23587;27961
Comillas;16989;802;1395;802;18384;26590
Santillana del Mar;23506;1247;4575;1247;28081;33234
Santa María de Cayón;13071;1963;444;1963;13515;37586
Solórzano;4369;232;121;232;4490;4777
Escalante;2508;220;499;220;3007;4545
Suances;24054;1285;3497;1285;27551;61650
Campoo de Enmedio;10999;1046;460;1046;11458;30345
Los Corrales de Buelna;0;8108;0;8108;0;47712
Cillorigo de Liébana;8315;671;0;671;8315;9499
Santiurde de Toranzo;14772;277;60;277;14832;17186
Voto;13297;430;966;430;14263;18985
Santoña;4814;499;966;499;5780;26678
Pesaguero;2214;181;0;181;2214;4258
Polaciones;2465;248;0;248;2465;4036
Saro;1148;75;0;75;1148;1672
Valderredible;1307;1923;0;1923;1307;36074
Medio Cudeyo;2230;3419;84;3419;2314;34835
El Astillero;13762;861;1237;861;14999;31320
Rionansa;3901;659;0;659;3901;19395
Cabuérniga;10218;616;0;616;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1904;0;1904;1252;24769
Noja;5038;1127;576;1127;5613;30098
Reinosa;4768;964;1413;964;6180;32700
Ribamontán al Mar;22792;3647;55;3647;22847;46223
Villafufre;13659;163;0;163;13659;14268
San Felices de Buelna;20115;859;0;859;20115;20248
San Miguel de Aguayo;1771;183;0;183;1771;1771
Miengo;21870;720;2327;720;24197;26475
Cartes;12156;465;1014;465;13169;15449
Torrelavega;2567;17946;0;17946;2567;123044
Ruiloba;9498;293;1314;293;10812;14405
Argoños;7637;333;4046;333;11684;23929
Riotuerto;3142;2199;164;2199;3306;18093
Ribamontán al Monte;12459;526;452;526;12911;17021
