Montorio;1035;257;0;257;1035;4630
Villambistia;722;57;0;57;722;1751
Pedrosa de Río Úrbel;4037;275;0;275;4037;4724
Ibrillos;881;25;0;25;881;881
Merindad de Sotoscueva;8014;1358;0;1358;8014;20560
Pedrosa de Duero;9230;243;0;243;9230;9230
Las Hormazas;2664;200;0;200;2664;2964
Sarracín;427;197;78;197;506;3011
Cascajares de la Sierra;1717;70;0;70;1717;1717
Cabezón de la Sierra;940;50;0;50;940;2026
Mahamud;644;209;17;209;661;3699
Villafruela;613;197;0;197;613;3887
Quintanilla del Coco;1409;45;0;45;1409;1409
Quintanaélez;1928;104;0;104;1928;1997
Villaverde-Mogina;2223;99;0;99;2223;3259
Retuerta;0;69;0;69;0;1471
Medina de Pomar;2913;9140;501;9140;3414;96684
Barbadillo del Pez;1923;119;0;119;1923;1923
Barrios de Colina;378;136;0;136;378;787
Rojas;1911;53;0;53;1911;2024
Coruña del Conde;272;118;0;118;272;2725
Villangómez;5563;186;0;186;5563;5764
Regumiel de la Sierra;4400;150;0;150;4400;6048
Torresandino;7877;362;0;362;7877;7877
Barbadillo de Herreros;802;456;0;456;802;3127
Cillaperlata;356;119;0;119;356;1668
Cayuela;527;109;0;109;527;3369
Torrelara;1449;51;0;51;1449;1505
Villanueva de Carazo;1192;34;0;34;1192;1192
Villahoz;2779;665;0;665;2779;7115
Alcocero de Mola;496;69;0;69;496;1538
Castrillo del Val;2267;892;293;892;2560;13110
Cavia;403;181;44;181;446;3756
Solarana;897;74;0;74;897;3439
Itero del Castillo;1440;152;0;152;1440;2966
Carrias;525;30;0;30;525;1190
Arauzo de Salce;1047;34;0;34;1047;1047
Arlanzón;4789;710;13;710;4802;9952
Padilla de Arriba;503;84;0;84;503;1849
Valdorros;1731;258;41;258;1772;9433
Santo Domingo de Silos;2768;723;27;723;2795;7757
Zael;1836;107;0;107;1836;1836
Tamarón;971;118;0;118;971;1561
Valle de Tobalina;3044;1270;401;1270;3445;30307
Abajas;898;133;0;133;898;2504
Fresnillo de las Dueñas;6671;475;0;475;6671;6671
Castrillo de la Vega;4143;290;0;290;4143;7442
Estépar;13588;1146;0;1146;13588;18883
Quintanapalla;454;151;0;151;454;2547
Hornillos del Camino;784;81;33;81;817;1481
Zuñeda;1539;52;0;52;1539;1539
Moradillo de Roa;445;71;0;71;445;3199
Madrigalejo del Monte;3268;270;0;270;3268;5084
Los Ausines;1311;243;0;243;1311;3770
Valles de Palenzuela;2004;106;0;106;2004;2004
Quintana del Pidio;3108;132;0;132;3108;3108
Villanueva de Teba;1650;21;0;21;1650;1650
Santa Olalla de Bureba;539;100;0;100;539;1723
Sargentes de la Lora;4483;274;0;274;4483;4679
La Horra;3093;269;0;269;3093;5603
Gumiel de Izán;9947;491;0;491;9947;10036
Partido de la Sierra en Tobalina;223;81;0;81;223;1870
Monasterio de Rodilla;392;319;177;319;569;3224
Ibeas de Juarros;3618;1387;0;1387;3618;18984
Barrio de Muñó;893;45;0;45;893;893
Jaramillo Quemado;1264;79;0;79;1264;2075
Berzosa de Bureba;1331;26;0;26;1331;1331
Monasterio de la Sierra;571;28;0;28;571;1018
Vizcaínos;944;100;0;100;944;944
Valle de Zamanzas;3073;87;0;87;3073;3428
Valle de Valdelucio;8477;925;0;925;8477;9095
Grijalba;2412;133;0;133;2412;2412
Arauzo de Torre;1787;264;0;264;1787;1787
Vileña;273;22;0;22;273;823
Valdezate;3187;68;0;68;3187;3187
Las Quintanillas;715;548;57;548;771;5021
Peral de Arlanza;1070;776;0;776;1070;3247
Valle de Sedano;7049;1226;186;1226;7235;16359
Orbaneja Riopico;653;245;24;245;677;3235
Villamayor de Treviño;849;110;0;110;849;2051
Navas de Bureba;2104;22;0;22;2104;2104
Revilla Vallejera;5655;202;0;202;5655;6662
Milagros;3693;179;0;179;3693;6989
Villagalijo;1528;47;0;47;1528;1528
Arija;0;637;0;637;0;8052
San Vicente del Valle;1196;36;0;36;1196;1425
Junta de Traslaloma;9512;336;0;336;9512;11317
Rábanos;1163;110;0;110;1163;2213
Valle de Losa;11501;1313;0;1313;11501;44306
Belorado;5618;623;500;623;6118;15361
Redecilla del Campo;3347;77;0;77;3347;3426
Zazuar;394;2185;0;2185;394;5057
Palazuelos de la Sierra;1834;67;0;67;1834;2297
Berberana;3166;205;0;205;3166;3467
Madrigal del Monte;2199;337;0;337;2199;3435
Villamayor de los Montes;2958;249;0;249;2958;4707
Fresno de Rodilla;487;102;0;102;487;1435
Frandovínez;314;160;0;160;314;2973
Pinilla de los Barruecos;2043;224;0;224;2043;2087
La Vid y Barrios;3499;318;0;318;3499;5685
Santibáñez de Esgueva;2552;122;0;122;2552;2552
Manciles;971;34;0;34;971;1101
Pineda de la Sierra;2373;183;0;183;2373;2418
Cantabrana;826;20;0;20;826;1033
Merindad de Valdivielso;14873;899;0;899;14873;17002
Barbadillo del Mercado;2690;172;0;172;2690;5172
Monterrubio de la Demanda;1974;82;0;82;1974;2486
Vadocondes;1569;188;0;188;1569;3436
Rubena;330;205;0;205;330;2166
Burgos;12849;43143;2335;43143;15183;300179
Huerta de Arriba;1873;129;0;129;1873;2583
Villafranca Montes de Oca;2252;466;75;466;2326;3924
Santa Cruz de la Salceda;1166;89;0;89;1166;3049
Alfoz de Bricia;8625;309;0;309;8625;8695
Moncalvillo;3046;34;0;34;3046;3046
Pedrosa del Príncipe;478;184;0;184;478;3094
Belbimbre;1250;85;0;85;1250;1531
Hontangas;1336;62;0;62;1336;2758
Llano de Bureba;1287;28;0;28;1287;1360
La Revilla y Ahedo;2339;113;0;113;2339;4853
Villadiego;30203;2151;98;2151;30301;41044
Pineda Trasmonte;2403;46;0;46;2403;2403
Fuentebureba;523;159;0;159;523;2056
Tosantos;1328;57;0;57;1328;2222
Villaverde del Monte;3786;203;0;203;3786;5481
Campillo de Aranda;380;70;0;70;380;2376
Villanueva de Argaño;743;128;0;128;743;2278
Villalbilla de Gumiel;2569;49;0;49;2569;2569
Reinoso;786;42;0;42;786;786
Santa Gadea del Cid;2023;104;0;104;2023;3538
Fresneña;4979;91;0;91;4979;5954
Castrillo de la Reina;1620;135;44;135;1664;5052
Villatuelda;742;291;24;291;766;2331
Alfoz de Santa Gadea;4345;190;0;190;4345;6210
Celada del Camino;1116;139;0;139;1116;3216
Pardilla;1317;379;0;379;1317;2294
Pinilla de los Moros;1478;47;0;47;1478;1478
Merindad de Montija;2991;1482;80;1482;3071;29799
Fontioso;2091;89;0;89;2091;2091
Anguix;2813;70;0;70;2813;2813
Aguas Cándidas;1722;113;0;113;1722;2096
Cardeñajimeno;2323;749;37;749;2360;15312
Oquillas;1279;83;0;83;1279;1279
Arcos;2306;315;152;315;2457;12279
Arandilla;2693;114;0;114;2693;2693
Sotresgudo;11072;1038;0;1038;11072;16936
Galbarros;1261;25;0;25;1261;1261
Jurisdicción de Lara;3084;116;0;116;3084;3084
Villaquirán de los Infantes;2660;198;0;198;2660;3404
Villegas;592;155;0;155;592;2928
Jaramillo de la Fuente;1859;73;0;73;1859;2037
Tejada;975;58;0;58;975;975
Arenillas de Riopisuerga;276;225;0;225;276;3912
Ciadoncha;3271;92;0;92;3271;3271
Valluércanes;2692;46;0;46;2692;2692
Pancorbo;5283;455;115;455;5398;9595
Valmala;1142;49;0;49;1142;1742
Valle de Manzanedo;5512;313;0;313;5512;5512
Villaquirán de la Puebla;574;74;0;74;574;1394
Quintanar de la Sierra;8845;539;100;539;8945;18483
Padilla de Abajo;1351;134;0;134;1351;2855
Revillarruz;2691;500;27;500;2719;10323
Merindad de Cuesta-Urria;9567;1384;77;1384;9644;14751
Campolara;2080;86;0;86;2080;2608
Villazopeque;719;124;0;124;719;1664
