Pedraza de Campos;225;65;0;65;225;2694
Osorno la Mayor;4471;826;0;826;4471;17933
Santa Cecilia del Alcor;698;88;0;88;698;1743
Boadilla del Camino;1032;150;0;150;1032;3477
Fuentes de Nava;1808;336;0;336;1808;6356
Venta de Baños;14803;385;0;385;14803;36428
Villalcón;7;61;0;61;7;2186
Piña de Campos;906;160;0;160;906;5566
Frechilla;486;127;0;127;486;5918
Fuentes de Valdepero;761;308;0;308;761;6420
Revenga de Campos;2912;48;0;48;2912;3049
Valle del Retortillo;2692;253;0;253;2692;7147
Cordovilla la Real;601;69;0;69;601;3274
Baquerín de Campos;37;65;0;65;37;1769
Boada de Campos;90;40;0;40;90;1499
Saldaña;15131;691;0;691;15131;29508
La Pernía;10709;701;113;701;10822;11147
Báscones de Ojeda;3013;107;0;107;3013;3892
Melgar de Yuso;1370;127;0;127;1370;5349
Abarca de Campos;287;44;0;44;287;1264
Valdeolmillos;583;54;0;54;583;2410
Monzón de Campos;989;403;0;403;989;7724
Paredes de Nava;3122;804;0;804;3122;12845
Marcilla de Campos;1595;79;0;79;1595;1595
Osornillo;2285;35;0;35;2285;2285
Ampudia;2665;487;0;487;2665;9984
Cobos de Cerrato;2106;64;0;64;2106;2511
Villarrabé;4980;137;0;137;4980;4980
Villarmentero de Campos;416;35;0;35;416;1414
Respenda de la Peña;4417;165;0;165;4417;4558
Dehesa de Romanos;1269;84;0;84;1269;1269
Riberos de la Cueza;0;35;0;35;0;1692
Manquillos;0;61;0;61;0;1032
Mazuecos de Valdeginate;520;61;0;61;520;2871
Calzada de los Molinos;188;86;0;86;188;6018
Villaviudas;4504;155;0;155;4504;4504
Itero de la Vega;1523;150;0;150;1523;3742
Congosto de Valdavia;5840;120;0;120;5840;5840
La Puebla de Valdavia;2072;55;0;55;2072;2072
Páramo de Boedo;3644;127;0;127;3644;3644
Lomas;472;65;0;65;472;1813
Buenavista de Valdavia;4703;106;0;106;4703;6386
Ribas de Campos;137;171;0;171;137;3073
Pomar de Valdivia;7666;543;625;543;8291;10795
Hornillos de Cerrato;505;88;0;88;505;2968
Nogal de las Huertas;57;48;0;48;57;1928
Bustillo del Páramo de Carrión;655;61;0;61;655;2617
