Lezo;8531;1189;54;1189;8585;17207
Barrundia;6771;3070;0;3070;6771;24252
Gipuzkoa eta Arabako Partzuergo Orokorra;0;458;0;458;0;0
Ibarra;2369;615;0;615;2369;5473
Ibarrangelu;1421;860;0;860;1421;1421
Itsasondo;0;458;0;458;0;985
Basauri;7320;1695;66;1695;7386;42046
Leza;2346;307;0;307;2346;2346
Sestao;760;1698;264;1698;1023;21291
Lekeitio;5385;765;175;765;5560;12684
Arraia-Maeztu;11336;2925;1391;2925;12726;14827
Bidania-Goiatz;550;398;0;398;550;1872
Zizurkil;2142;711;174;711;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9037;2917;295;2917;9333;42588
Kortezubi;300;690;285;690;585;585
Zegama;234;1399;98;1399;332;3288
Peñacerrada-Urizaharra;5626;866;0;866;5626;5834
Zarautz;8497;2165;0;2165;8497;33315
Aulesti;1064;530;0;530;1064;1822
Mendexa;171;235;0;235;171;782
Gatika;909;944;0;944;909;3408
Arakaldo;3472;213;0;213;3472;3472
Deba;2626;1664;0;1664;2626;7994
Arratzua-Ubarrundia;3803;2259;0;2259;3803;14071
Gamiz-Fika;3755;1286;0;1286;3755;4621
San Millán / Donemiliaga;4181;2518;56;2518;4237;23503
Erandio;7092;2897;475;2897;7567;32450
Zigoitia;5648;4355;0;4355;5648;31979
Olaberria;796;563;0;563;796;1613
Ortuella;1919;1772;21;1772;1940;19515
Andoain;4140;2447;734;2447;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1060;0;1060;8688;11740
Valle de Arana/Harana;1064;747;0;747;1064;6090
Campezo / Kanpezu;5887;1386;104;1386;5991;8318
Irun;12249;8990;1073;8990;13322;71984
Iruña Oka/Iruña de Oca;5142;3332;0;3332;5142;34529
Laguardia;6096;2078;172;2078;6268;10847
Hondarribia/Fontarrabie;16411;4215;628;4215;17039;40119
Azkoitia;5584;1498;74;1498;5658;16861
Lizartza;840;185;0;185;840;1320
Laukiz;4419;424;239;424;4658;4658
Samaniego;1946;281;0;281;1946;2129
Urduña / Orduña;12040;1191;1270;1191;13310;16795
Villabuena de Álava/Eskuernaga;2816;313;0;313;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7518;309;1857;309;9374;9899
Larraul;0;253;33;253;33;829
Bergara;4441;2244;0;2244;4441;21849
Bermeo;5722;3623;1034;3623;6756;19011
Aia;2038;1746;161;1746;2199;5193
Lantarón;4121;1694;386;1694;4507;19608
Mañaria;196;443;177;443;374;1324
Okondo;871;937;487;937;1357;2330
Munitibar-Arbatzegi Gerrikaitz;1050;564;324;564;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;220;0;220;0;0
Garai;542;183;0;183;542;542
Mutriku;1318;1436;48;1436;1367;7955
Beasain;2960;1265;0;1265;2960;16386
Ordizia;1231;689;0;689;1231;13369
Igorre;4529;1445;0;1445;4529;8671
Labastida/Bastida;11940;1431;151;1431;12091;14454
Sondika;6618;1350;0;1350;6618;17592
Karrantza Harana / Valle de Carranza;2409;1921;2018;1921;4427;11226
Oyón/Oion;3287;1217;364;1217;3651;13606
Pasaia;3292;1102;2203;1102;5494;13191
Ubide;1813;187;48;187;1861;1861
Errenteria;10265;3410;85;3410;10350;37195
Gorliz;8774;1763;0;1763;8774;18275
Ataun;63;1400;236;1400;299;915
Enirio-Aralarko Mankomunitatea;0;1467;0;1467;0;0
Portugalete;2198;2554;783;2554;2981;35625
Elgoibar;4955;2130;0;2130;4955;18148
Lemoa;8074;705;761;705;8835;8835
Alonsotegi;538;855;136;855;674;5533
Villabona-Amasa;668;1027;0;1027;668;3336
Legutio;3421;2404;0;2404;3421;16733
Nabarniz;1269;497;0;497;1269;1269
Yécora/Iekora;2550;235;0;235;2550;2550
Plentzia;3469;955;78;955;3547;12740
Morga;956;720;507;720;1463;1463
Moreda de Álava;387;362;499;362;886;1828
Ribera Alta;15382;2342;374;2342;15756;18582
Urnieta;4185;1513;0;1513;4185;10445
Kuartango/Cuartango;13461;1129;468;1129;13930;13930
Aramaio;2293;2236;234;2236;2526;2996
Orozko;2543;2081;2105;2081;4648;10327
Larrabetzu;822;1017;0;1017;822;5310
Alkiza;0;408;0;408;0;1054
Sukarrieta;192;251;0;251;192;1449
Trucios-Turtzioz;2325;369;1006;369;3330;3718
Maruri-Jatabe;3039;850;0;850;3039;3039
Lasarte-Oria;7290;1159;916;1159;8206;21760
Muskiz;7897;2373;470;2373;8368;19312
Amurrio;28723;4085;208;4085;28931;34483
Parzonería de Badaya/Badaiako partzuergoa;0;110;0;110;0;0
Galdakao;19844;3251;520;3251;20364;49027
Leaburu;300;216;0;216;300;535
Galdames;1656;898;0;898;1656;9054
Murueta;863;324;0;324;863;863
Gabiria;46;510;108;510;154;1418
Zamudio;13764;2024;0;2024;13764;22264
Orexa;458;156;0;156;458;965
Ziortza-Bolibar;727;334;0;334;727;727
Artzentales;580;829;305;829;884;975
Usurbil;12148;1499;82;1499;12230;23354
Forua;1174;573;0;573;1174;2552
Orio;4284;699;498;699;4783;11155
Zuya/Zuia;4086;3078;0;3078;4086;34878
Elburgo/Burgelu;839;1056;0;1056;839;8916
Agurain/Salvatierra;1469;1621;134;1621;1603;17091
Ermua;3311;557;412;557;3723;10855
Arrankudiaga;5796;806;281;806;6077;6243
Balmaseda;2307;821;443;821;2750;10899
Fruiz;1757;495;74;495;1831;1831
Urduliz;2209;673;0;673;2209;9254
Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;0;29;0;29;0;0
Azpeitia;8570;3172;214;3172;8785;19827
Barrika;1926;597;0;597;1926;7087
Irura;5656;359;0;359;5656;6843
Eskoriatza;2008;1552;0;1552;2008;6953
Ea;727;753;0;753;727;1936
Artziniega / Arceniega;5203;1008;1570;1008;6773;6997
Comunidad de Laño, Pipaón y Peñacerrada;0;31;0;31;0;0
Arrigorriaga;3445;1336;0;1336;3445;11864
Berriatua;2264;302;49;302;2313;3436
Iurreta;9589;730;205;730;9795;11377
Alegia;577;471;0;471;577;2864
Belauntza;797;253;0;253;797;1124
Elvillar/Bilar;4199;339;0;339;4199;4199
Añana;994;443;0;443;994;3508
Vitoria-Gasteiz;65915;34053;4148;34053;70063;339425
Zalla;8826;2714;1249;2714;10075;20789
Kripan;1796;223;0;223;1796;1796
Berantevilla;6991;883;0;883;6991;8823
Bedia;2238;446;147;446;2385;2385
Elantxobe;54;199;25;199;79;667
Lanciego/Lantziego;3741;620;1017;620;4758;5646
Gernika-Lumo;10534;2033;208;2033;10742;26795
Idiazabal;3442;895;0;895;3442;4991
Markina-Xemein;2312;884;0;884;2312;7061
Urkabustaiz;19935;1480;0;1480;19935;33361
Arrasate / Mondragón;8666;2501;19;2501;8685;36091
Zerain;0;492;0;492;0;0
Zumaia;11085;1083;0;1083;11085;24900
Amezketa;595;716;0;716;595;1040
Dima;1813;1811;2426;1811;4239;4976
Mendata;893;693;478;693;1371;1371
Laudio/Llodio;8505;2892;54;2892;8559;34519
Barakaldo;7138;6646;1892;6646;9030;84728
Parzonería General de Encía;0;401;0;401;0;0
Elgeta;3650;712;231;712;3881;5597
Zaratamo;3421;494;688;494;4108;4120
Urretxu;3086;984;0;984;3086;6500
Berastegi;2184;1066;0;1066;2184;4885
Lagrán;3693;680;0;680;3693;4983
Legorreta;0;697;0;697;0;2653
Zeberio;901;858;538;858;1439;1439
Muxika;2196;2084;119;2084;2314;2314
Donostia/San Sebastián;39597;15404;671;15404;40268;230722
Mungia;19347;5139;2161;5139;21508;49132
Segura;420;566;220;566;641;4433
Otxandio;2227;1025;229;1025;2456;4827
Ajangiz;1156;452;62;452;1218;1218
Sopuerta;6362;1147;194;1147;6556;7352
Anoeta;1546;432;0;432;1546;2719
Bilbao;14696;13405;1775;13405;16471;242329
Getxo;3449;5713;1097;5713;4547;75419
Busturia;5958;1562;1302;1562;7261;8825
Altzo;288;472;0;472;288;455
Lanestosa;260;221;0;221;260;2462
Asparrena;6246;2476;235;2476;6482;19670
Elciego;5647;601;0;601;5647;7908
Lazkao;3840;858;0;858;3840;11217
Gizaburuaga;122;98;0;98;122;122
Izurtza;517;166;332;166;849;849
Armiñón;180;518;0;518;180;4059
Loiu;6730;1166;0;1166;6730;11245
Mundaka;602;889;0;889;602;4951
Zumarraga;6140;1636;280;1636;6420;12981
Bernedo;10153;1776;0;1776;10153;10861
Oñati;7510;3641;416;3641;7926;18008
Lemoiz;3758;917;55;917;3813;5324
Mallabia;6061;386;276;386;6337;6548
Hernialde;1111;204;0;204;1111;4233
Navaridas;2035;235;0;235;2035;2035
Abaltzisketa;0;246;0;246;0;0
Lapuebla de Labarca;5793;481;0;481;5793;6908
Ereño;217;352;0;352;217;217
Amoroto;1088;249;0;249;1088;1088
Berrobi;1205;243;0;243;1205;2799
Berango;3936;1154;242;1154;4178;17063
Areatza;829;197;0;197;829;829
Eibar;6276;2305;0;2305;6276;30479
Valle de Trápaga-Trapagaran;1501;3100;775;3100;2276;24661
Etxebarria;2602;267;0;267;2602;2602
Ugao-Miraballes;2310;403;0;403;2310;4349
Soraluze-Placencia de las Armas;953;456;30;456;982;6705
Arantzazu;576;228;0;228;576;702
Durango;8291;1217;164;1217;8455;35819
Meñaka;827;801;614;801;1441;1441
Zaldibar;5506;637;0;637;5506;6133
Arama;23;223;0;223;23;846
Hernani;18711;3025;550;3025;19261;32439
Ikaztegieta;821;201;173;201;995;995
Güeñes;13866;1928;422;1928;14288;15972
Etxebarri;2669;1385;0;1385;2669;17086
Iruraiz-Gauna;9633;1307;0;1307;9633;9633
Mutiloa;0;363;0;363;0;550
Zambrana;6215;1072;0;1072;6215;6215
Legazpi;4318;1957;306;1957;4624;17177
Ayala / Aiara;11758;3501;5362;3501;17120;17856
Asteasu;561;922;0;922;561;5241
Beizama;0;236;139;236;139;330
Sopelana;5997;2676;4522;2676;10520;35854
Aduna;795;344;65;344;860;1110
Mendaro;4903;504;0;504;4903;8509
Aizarnazabal;1715;231;0;231;1715;2157
Alegría-Dulantzi;452;1033;0;1033;452;12625
Ezkio;851;501;0;501;851;3668
Zierbena;3325;994;0;994;3325;6589
Ispaster;2172;443;0;443;2172;2172
Zestoa;4725;1475;357;1475;5082;11237
Derio;7035;1736;0;1736;7035;22249
Atxondo;492;574;0;574;492;2486
Elorrio;7377;1424;1567;1424;8944;14717
Ondarroa;751;434;0;434;751;8201
Valdegovía/Gaubea;6506;3195;33;3195;6538;31810
Errezil;620;759;0;759;620;1076
Orendain;455;134;0;134;455;582
Zalduondo;0;416;0;416;0;3804
Gaintza;0;115;0;115;0;0
Itsaso;0;422;0;422;0;533
Baños de Ebro/Mañueta;2962;331;738;331;3700;4166
Abanto y Ciérvana-Abanto Zierbena;8937;1913;0;1913;8937;21136
Artea;1351;322;0;322;1351;2809
Leintz Gatzaga;111;458;0;458;111;516
Getaria;2872;772;1327;772;4199;6812
Gautegiz Arteaga;5782;964;0;964;5782;5782
Errigoiti;1298;818;0;818;1298;1298
Amorebieta-Etxano;19847;2631;0;2631;19847;35386
Astigarraga;8562;1287;0;1287;8562;12199
Zeanuri;2352;1611;700;1611;3052;3052
Aretxabaleta;6735;1204;0;1204;6735;12118
Arrieta;1120;824;0;824;1120;1120
Oiartzun;10401;4830;1342;4830;11743;28424
Santurtzi;2170;1724;151;1724;2320;22993
Elduain;2337;302;0;302;2337;2710
Tolosa;17754;2963;207;2963;17961;32201
Bakio;8822;1537;456;1537;9278;10725
Antzuola;2508;922;0;922;2508;4346
Arratzu;0;568;1164;568;1164;1164
Ribera Baja/Erribera Beitia;2695;1417;0;1417;2695;14494
Abadiño;9669;1650;935;1650;10605;19252
Lezama;6558;1102;0;1102;6558;8297
Albiztur;0;446;126;446;126;963
