Palas de Rei;48057;1956;518;1956;48574;50647
O Vicedo;9200;1386;0;1386;9200;11616
Redondela;95431;2554;550;2554;95981;131052
Pontecesures;13737;241;131;241;13868;18986
Dumbría;21111;1100;1109;1100;22220;22220
Mondariz;72903;2683;13343;2683;86246;89197
Vilanova de Arousa;49885;928;5696;928;55581;61958
Guntín;24104;492;359;492;24463;25744
O Barco de Valdeorras;26099;3179;434;3179;26533;57674
Monterrei;29779;577;0;577;29779;32575
Santiago de Compostela;70111;19662;6548;19662;76658;269994
O Páramo;20001;415;122;415;20123;20123
Negueira de Muñiz;4606;107;0;107;4606;4606
O Grove;34718;1169;676;1169;35393;49814
O Porriño;54503;5549;965;5549;55468;78713
A Mezquita;12305;527;221;527;12526;16481
Frades;8243;2430;79;2430;8322;20018
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;52978;1404;1600;1404;54578;60504
Barro;26768;556;113;556;26881;26881
Baltar;18730;473;0;473;18730;20854
Sada;27235;8312;4419;8312;31653;73547
Boimorto;7374;644;0;644;7374;7374
O Incio;36004;695;0;695;36004;36862
Castroverde;52442;907;0;907;52442;54335
Paradela;31647;627;85;627;31732;31893
Begonte;18245;899;91;899;18336;20490
Irixoa;5645;1268;568;1268;6213;6675
A Guarda;25701;1962;0;1962;25701;46485
A Gudiña;14158;856;0;856;14158;20411
A Teixeira;7588;136;0;136;7588;8683
Fisterra;13871;1317;6802;1317;20673;28832
Entrimo;19388;364;0;364;19388;19449
Vilar de Barrio;20035;403;102;403;20137;22953
Alfoz;12015;548;155;548;12170;12170
Oroso;11726;1553;481;1553;12207;20848
Ribas de Sil;14389;427;456;427;14845;16155
Laza;28384;785;653;785;29038;32907
Trazo;8497;1085;433;1085;8930;9758
Riós;35013;798;39;798;35052;35052
Bande;29068;570;0;570;29068;30430
Pol;41187;915;29;915;41216;42011
Montederramo;19385;568;0;568;19385;19449
Triacastela;13429;288;0;288;13429;13429
Viveiro;25808;7649;992;7649;26800;39267
As Pontes de García Rodríguez;15039;3765;170;3765;15209;44587
Coles;36072;576;0;576;36072;36316
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;6907;313;181;313;7088;7761
A Pobra do Brollón;32430;830;0;830;32430;34084
Toques;12085;431;0;431;12085;12085
Beade;5681;45;0;45;5681;5681
Piñor;17496;473;0;473;17496;17496
Carballo;65590;2943;972;2943;66562;121654
Vigo;137079;14335;28952;14335;166031;549690
Carballedo;48654;825;0;825;48654;48654
A Pobra de Trives;27033;598;608;598;27641;33386
Gondomar;39119;1022;5351;1022;44470;47193
Cangas;44689;2087;20129;2087;64818;103012
Sarria;70215;2743;125;2743;70340;94143
Cerceda;2859;2621;194;2621;3053;16877
Valga;32393;616;0;616;32393;32393
Xunqueira de Ambía;18692;544;0;544;18692;20187
Vilar de Santos;13350;181;0;181;13350;14274
Teo;14854;6594;3127;6594;17980;31529
Cabanas;19168;2326;945;2326;20113;23995
San Cibrao das Viñas;32968;1664;73;1664;33041;35107
Muras;1695;693;0;693;1695;2099
A Pontenova;47264;880;0;880;47264;47264
Monfero;17985;1119;0;1119;17985;17985
Verea;26691;345;0;345;26691;26691
Rubiá;20735;606;0;606;20735;24771
A Pastoriza;73357;1300;0;1300;73357;76782
Miño;16494;5164;1404;5164;17898;38425
Coirós;6316;1765;7747;1765;14064;14888
Ribadumia;53986;802;5953;802;59938;60350
Navia de Suarna;46853;759;2122;759;48975;50620
Porqueira;18359;290;0;290;18359;19768
Pontevedra;137348;4081;4339;4081;141686;214680
San Xoán de Río;16591;330;0;330;16591;16942
Laxe;21522;1196;1337;1196;22859;31302
Sanxenxo;80716;1996;570;1996;81287;87240
Sobrado;22131;868;1462;868;23593;23593
Melón;21413;486;180;486;21593;21593
Samos;21735;1066;0;1066;21735;22277
Foz;16388;1698;0;1698;16388;36656
Fornelos de Montes;19410;574;0;574;19410;19822
A Coruña;33541;20567;3377;20567;36917;272982
Lobios;29560;972;954;972;30514;30514
Verín;46878;1256;974;1256;47853;72847
Ares;402;7300;0;7300;402;37506
As Somozas;3501;1562;0;1562;3501;3501
Vilariño de Conso;13302;342;0;342;13302;15164
Castro de Rei;57432;1527;0;1527;57432;58943
Meira;17494;334;0;334;17494;20474
Culleredo;14561;7455;15107;7455;29668;83666
Lugo;156945;23640;376;23640;157321;340042
Cabana de Bergantiños;51957;1013;1079;1013;53037;53523
Paderne de Allariz;23381;516;95;516;23476;23476
Allariz;18736;13196;1283;13196;20019;30151
A Illa de Arousa;2270;348;431;348;2700;12008
Betanzos;16025;4560;520;4560;16545;35816
Boqueixón;8768;1000;399;1000;9167;9167
Gomesende;17616;238;0;238;17616;17616
Arzúa;16601;2756;0;2756;16601;24912
Cortegada;21273;319;0;319;21273;24303
Moaña;44794;886;31749;886;76543;85476
Val do Dubra;19761;1241;409;1241;20169;23167
Lobeira;18821;303;0;303;18821;19566
Brión;19427;1610;911;1610;20338;25110
Lourenzá;22223;674;0;674;22223;25207
Tui;49105;3670;1670;3670;50775;65304
Esgos;16471;384;0;384;16471;16471
Dozón;16049;339;0;339;16049;16049
Poio;30776;3508;0;3508;30776;102801
Paderne;15154;2003;1588;2003;16742;22581
Baiona;20749;1165;1071;1165;21820;56137
Moeche;1973;2019;161;2019;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;134051;5816;1621;5816;135672;152349
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;9236;16795;4748;16795;13985;92351
Soutomaior;17395;446;1185;446;18580;26018
Rianxo;57949;1709;0;1709;57949;64247
Castro Caldelas;20804;596;38;596;20842;28651
Bueu;22525;5445;29777;5445;52302;65196
O Saviñao;61638;1088;0;1088;61638;68120
Vedra;30163;2443;4563;2443;34726;35677
Vilardevós;35502;584;103;584;35605;37569
Petín;7169;231;739;231;7908;12882
Cervantes;43549;1267;385;1267;43934;44205
Vimianzo;62952;1733;1103;1733;64055;69203
Sandiás;15143;412;0;412;15143;15329
Láncara;40454;835;195;835;40649;45194
Monforte de Lemos;61665;3060;467;3060;62132;91533
Cotobade;50831;1290;3519;1290;54350;54841
Catoira;20007;527;573;527;20580;20580
Santa Comba;40643;1561;0;1561;40643;47494
Bergondo;8743;6223;2886;6223;11628;88810
Punxín;15181;199;0;199;15181;15181
Crecente;54395;676;580;676;54975;54975
Vilaboa;23401;688;15546;688;38947;38947
Mondoñedo;36283;1671;90;1671;36373;43455
Boiro;29707;1627;2428;1627;32135;42502
Touro;16373;1099;24;1099;16397;17418
Padrón;27810;1190;452;1190;28261;31171
Guitiriz;53740;2599;0;2599;53740;67273
Amoeiro;36080;431;211;431;36290;36290
Carballeda de Valdeorras;23436;501;136;501;23572;25311
Baños de Molgas;26613;1674;233;1674;26846;27395
O Rosal;7780;1388;0;1388;7780;79256
Friol;11870;14970;0;14970;11870;14116
Baleira;30430;607;70;607;30500;31477
Sober;51159;1498;68;1498;51227;51503
Valdoviño;30663;6188;2375;6188;33038;33669
Ponte Caldelas;21114;1195;0;1195;21114;27400
O Corgo;59360;1572;167;1572;59527;62508
Mugardos;5630;5952;310;5952;5940;30542
Dodro;17268;899;2126;899;19393;19863
Melide;31716;1699;0;1699;31716;49075
Caldas de Reis;40841;1055;772;1055;41613;46417
Portas;16289;277;215;277;16504;16504
Outes;10800;2575;706;2575;11507;15545
A Laracha;43797;2457;2246;2457;46043;62709
Covelo;67665;1782;8238;1782;75903;76791
Celanova;43106;1090;167;1090;43273;49521
Marín;57711;784;19325;784;77036;84821
Vilarmaior;1232;1178;0;1178;1232;1232
Vilalba;127600;4834;0;4834;127600;146290
Xove;13383;1348;0;1348;13383;15797
Os Blancos;15507;254;0;254;15507;15507
Baralla;44431;707;0;707;44431;50049
Tomiño;122539;1996;3037;1996;125576;129343
Vila de Cruces;55585;2075;856;2075;56441;59361
Ribeira;26933;2616;4107;2616;31040;75401
Cerdido;1154;1190;0;1190;1154;1154
Avión;32407;419;578;419;32985;32985
O Irixo;32721;577;0;577;32721;32721
Manzaneda;17343;446;605;446;17948;20070
Toén;34534;550;46;550;34579;34579
Carral;8055;3338;3464;3338;11520;23396
Oímbra;18728;308;0;308;18728;18813
Cee;31503;1080;4715;1080;36218;45249
Moraña;36043;427;0;427;36043;36312
A Pobra do Caramiñal;14784;1008;637;1008;15420;32628
Oleiros;14964;16644;4041;16644;19005;200614
Mañón;13192;1861;445;1861;13638;18045
Castrelo de Miño;27222;393;0;393;27222;28730
Mazaricos;54465;2127;1584;2127;56049;56524
Cerdedo;21012;459;2174;459;23186;25038
Taboada;10532;569;77;569;10610;17556
Nigrán;44738;1533;2202;1533;46940;64461
Ferrol;37577;19079;12417;19079;49994;154973
Maceda;28472;837;359;837;28831;34217
Forcarei;36960;1010;23;1010;36984;39692
Lousame;24119;782;1536;782;25656;25656
Ames;40190;2484;6348;2484;46538;71073
Porto do Son;24813;1709;1929;1709;26742;31050
Vilagarcía de Arousa;36216;2140;1355;2140;37570;111164
Outeiro de Rei;37730;1523;78;1523;37809;39806
Parada de Sil;14814;552;0;552;14814;14936
Mesía;7195;2698;228;2698;7422;7422
Trasmiras;19971;451;165;451;20136;21396
Pontedeume;9967;3236;949;3236;10916;22073
San Amaro;12301;262;0;262;12301;12301
Oia;29850;816;1742;816;31592;32344
Cambados;63057;1204;6536;1204;69593;81032
Riotorto;22484;388;0;388;22484;22484
O Pino;18981;2610;204;2610;19185;24310
Maside;34247;707;0;707;34247;34862
Leiro;21741;353;1654;353;23395;23684
Camariñas;23198;2040;4107;2040;27305;45075
Ourense;154108;10420;1271;10420;155379;253809
A Baña;15797;1070;1102;1070;16898;17384
Becerreá;39850;971;0;971;39850;49036
Rairiz de Veiga;22532;354;0;354;22532;22532
Muíños;25635;559;349;559;25984;27482
Ribeira de Piquín;18398;249;0;249;18398;18398
Ribadavia;22510;612;0;612;22510;25402
Quintela de Leirado;10906;145;0;145;10906;10906
Cuntis;23356;1048;0;1048;23356;24366
San Cristovo de Cea;41283;823;114;823;41397;41460
O Carballiño;55220;1040;0;1040;55220;69266
Cedeira;24757;2939;556;2939;25313;38373
Burela;12688;555;90;555;12778;41007
Mondariz-Balneario;2727;290;1149;290;3876;5186
Rábade;2875;307;0;307;2875;12698
Negreira;23467;2459;1762;2459;25229;29916
Santiso;4601;1385;0;1385;4601;4601
Barbadás;29171;1243;1750;1243;30921;49555
Muxía;35814;1857;10446;1857;46260;51244
Trabada;19207;713;0;713;19207;20266
Coristanco;19704;1923;0;1923;19704;25897
A Capela;5754;627;0;627;5754;5754
Beariz;12133;223;109;223;12243;12243
O Valadouro;5047;659;0;659;5047;7332
Abegondo;30069;5142;3372;5142;33441;33624
A Bola;16845;260;0;260;16845;16845
Fene;5737;5539;1014;5539;6751;42602
Salvaterra de Miño;62318;2751;4738;2751;67056;71307
Castrelo do Val;21364;2340;188;2340;21552;23979
Calvos de Randín;23021;655;0;655;23021;23021
Boborás;38956;601;33;601;38989;39387
Ponteceso;62903;2377;1443;2377;64346;73882
Noia;14081;2971;604;2971;14685;30067
Agolada;37932;1311;0;1311;37932;39325
Cospeito;18888;858;0;858;18888;24336
Cenlle;20540;299;0;299;20540;20780
Sarreaus;20519;569;0;569;20519;20519
A Arnoia;13944;256;437;256;14381;14381
Mos;44192;1893;8240;1893;52432;60516
Pedrafita do Cebreiro;22320;580;232;580;22552;24367
Quiroga;44689;1516;1083;1516;45772;50951
Silleda;70033;1972;0;1972;70033;77044
Bóveda;17142;671;50;671;17193;19870
Chantada;77608;2005;469;2005;78076;86073
Vilamartín de Valdeorras;15951;543;0;543;15951;18003
Curtis;14613;3657;603;3657;15217;29001
Pantón;38905;1006;0;1006;38905;41453
Vilasantar;11681;1605;235;1605;11917;12723
Ourol;2903;1043;297;1043;3200;3200
As Nogais;23301;1028;0;1028;23301;24681
Carballeda de Avia;20923;488;1004;488;21927;22258
A Merca;34306;1009;64;1009;34370;35139
Portomarín;22052;945;0;945;22052;24924
Muros;38474;1585;5467;1585;43940;47014
Arteixo;29692;8073;17318;8073;47010;110933
Antas de Ulla;35116;609;0;609;35116;38888
Ramirás;31741;415;146;415;31888;31888
Meis;51750;1411;6209;1411;57958;57958
Tordoia;7458;720;1018;720;8476;8476
Neda;7741;2342;339;2342;8081;15967
Folgoso do Courel;28407;1369;406;1369;28812;28812
Oza-Cesuras;12999;5849;3637;5849;16636;16808
Cualedro;26174;753;0;753;26174;27052
Taboadela;7382;192;0;192;7382;7382
A Rúa;8462;550;0;550;8462;29093
Xermade;7747;1087;205;1087;7951;8027
Abadín;6383;862;0;862;6383;6383
Aranga;8754;2333;1377;2333;10131;10131
As Neves;69028;1712;2674;1712;71702;72888
Cambre;40119;6677;13017;6677;53136;70120
Cervo;11585;1201;0;1201;11585;19707
San Sadurniño;739;1820;136;1820;875;1744
