Valdemorillo;11649;7282;1092;7282;12742;115585
Arganda del Rey;17241;5710;1263;5710;18504;145217
Villaviciosa de Odón;5841;2701;347;2701;6188;133494
Collado Mediano;6565;699;0;699;6565;45908
Batres;9294;286;0;286;9294;17227
Olmeda de las Fuentes;248;235;0;235;248;4822
Villalbilla;2258;2900;0;2900;2258;108023
Guadalix de la Sierra;1661;509;0;509;1661;36167
Alcalá de Henares;26714;16754;479;16754;27193;297136
Majadahonda;26330;4442;342;4442;26672;149895
Valdilecha;292;312;0;312;292;10445
Becerril de la Sierra;512;868;0;868;512;51069
Talamanca de Jarama;3139;241;0;241;3139;22049
Villamanta;15315;816;0;816;15315;15365
Lozoya;500;283;0;283;500;6457
Moraleja de Enmedio;369;647;0;647;369;19286
Torrejón de Ardoz;7412;9717;432;9717;7844;119651
El Berrueco;878;306;0;306;878;7103
Collado Villalba;3461;4669;44;4669;3505;116804
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13271;2125;0;2125;13271;94976
San Agustín del Guadalix;3351;800;1096;800;4447;40497
Algete;8342;1313;151;1313;8493;68087
Los Santos de la Humosa;387;518;0;518;387;16422
Horcajo de la Sierra-Aoslos;176;144;0;144;176;1803
Pinilla del Valle;439;131;0;131;439;4476
San Sebastián de los Reyes;12107;6250;1933;6250;14040;136488
Titulcia;5585;252;0;252;5585;8060
Patones;469;471;0;471;469;4254
Ciempozuelos;1918;1160;0;1160;1918;48773
Leganés;10129;17857;597;17857;10727;197988
Miraflores de la Sierra;4615;1126;0;1126;4615;54022
Morata de Tajuña;2458;1879;0;1879;2458;27031
Navacerrada;2642;1857;98;1857;2740;23716
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4752;2786;0;2786;4752;106166
Villavieja del Lozoya;2137;102;487;102;2624;6066
Tielmes;9042;211;18;211;9060;9060
Horcajuelo de la Sierra;680;171;0;171;680;1871
Moralzarzal;5028;1176;85;1176;5113;72758
Colmenar del Arroyo;1758;1060;0;1060;1758;15440
Piñuécar-Gandullas;2862;151;0;151;2862;7587
Quijorna;2888;390;0;390;2888;23464
Villar del Olmo;191;377;0;377;191;15978
Prádena del Rincón;74;61;0;61;74;1118
Sevilla la Nueva;347;6715;0;6715;347;37848
Fresnedillas de la Oliva;659;1260;0;1260;659;11084
Humanes de Madrid;1743;5104;0;5104;1743;28709
Belmonte de Tajo;9911;258;0;258;9911;11152
Valdemaqueda;11101;580;1770;580;12871;16878
Valverde de Alcalá;0;229;0;229;0;4421
Nuevo Baztán;454;543;0;543;454;77640
Anchuelo;122;187;0;187;122;8108
Ambite;14646;194;0;194;14646;17009
San Martín de la Vega;7691;13117;0;13117;7691;81112
Venturada;2106;228;0;228;2106;30302
Ajalvir;13;915;74;915;87;15957
Lozoyuela-Navas-Sieteiglesias;3191;533;0;533;3191;15785
Aranjuez;4084;10956;429;10956;4513;139344
Fresno de Torote;1070;294;0;294;1070;26126
Zarzalejo;1861;4544;0;4544;1861;15436
Cubas de la Sagra;667;305;0;305;667;24687
Cenicientos;7272;442;0;442;7272;18363
Móstoles;13311;10082;4228;10082;17540;188990
Tres Cantos;1663;2781;680;2781;2342;121934
Villamantilla;1323;401;0;401;1323;12990
La Serna del Monte;1439;88;0;88;1439;2575
Santa María de la Alameda;6240;1018;0;1018;6240;29527
Arroyomolinos;1386;1482;0;1482;1386;70758
Torremocha de Jarama;840;184;0;184;840;9748
El Boalo;17630;1004;101;1004;17731;56526
El Vellón;688;216;0;216;688;9706
Guadarrama;6617;4237;57;4237;6674;86054
Cabanillas de la Sierra;596;203;0;203;596;10895
San Martín de Valdeiglesias;2441;1920;0;1920;2441;65147
Galapagar;1064;7663;0;7663;1064;161327
Madarcos;291;26;0;26;291;1452
Villanueva de la Cañada;1583;1481;0;1481;1583;93143
Manzanares el Real;12286;1532;190;1532;12477;59023
Valdemanco;1369;218;0;218;1369;9140
Casarrubuelos;1756;285;0;285;1756;15404
San Lorenzo de El Escorial;6061;2347;55;2347;6117;59996
Cervera de Buitrago;264;58;0;58;264;2222
Villa del Prado;22367;1520;0;1520;22367;69826
Navarredonda y San Mamés;718;111;0;111;718;3267
Orusco de Tajuña;2568;157;0;157;2568;9727
Ribatejada;1759;172;0;172;1759;12787
El Álamo;3907;465;0;465;3907;53642
Pozuelo del Rey;388;178;0;178;388;7689
Pedrezuela;2712;442;196;442;2907;34256
El Escorial;8233;2505;134;2505;8368;89277
Rascafría;2293;1346;0;1346;2293;18538
La Acebeda;240;95;0;95;240;864
Colmenar de Oreja;44126;1136;0;1136;44126;81884
Rozas de Puerto Real;3694;394;0;394;3694;7860
Getafe;30964;11256;54;11256;31018;259752
Estremera;10284;312;0;312;10284;17104
Coslada;2738;11731;88;11731;2826;83634
Alcobendas;18347;7339;15479;7339;33826;182014
Santorcaz;456;274;0;274;456;12177
La Hiruela;269;116;0;116;269;1530
Mejorada del Campo;5384;2263;307;2263;5690;64004
Gargantilla del Lozoya y Pinilla de Buitrago;1305;231;0;231;1305;8943
Buitrago del Lozoya;472;368;0;368;472;11731
Navalagamella;1340;1260;0;1260;1340;12508
Colmenarejo;1674;1217;33;1217;1707;48512
Pozuelo de Alarcón;19368;15008;2605;15008;21973;257977
Somosierra;101;126;0;126;101;2160
Alpedrete;4652;1706;618;1706;5270;68257
Torres de la Alameda;2643;1316;0;1316;2643;39216
Meco;4583;2104;0;2104;4583;64601
Navas del Rey;8603;768;0;768;8603;25790
Serranillos del Valle;289;291;0;291;289;24611
Cobeña;1523;7610;0;7610;1523;26179
Valdepiélagos;2351;108;0;108;2351;5685
Torrejón de la Calzada;6500;635;0;635;6500;32558
Brea de Tajo;1026;256;0;256;1026;6447
Rivas-Vaciamadrid;9572;11588;0;11588;9572;161943
Valdetorres de Jarama;8258;337;0;337;8258;45614
El Molar;4054;606;0;606;4054;29092
Robregordo;532;76;0;76;532;3755
Fuentidueña de Tajo;10674;326;0;326;10674;20333
Valdelaguna;9379;271;0;271;9379;11548
Pelayos de la Presa;2143;848;109;848;2252;33931
Villanueva de Perales;717;451;0;451;717;7796
Colmenar Viejo;13136;4741;2919;4741;16054;154047
Torrelaguna;631;3097;0;3097;631;25923
Berzosa del Lozoya;333;269;33;269;366;4578
Los Molinos;7057;528;0;528;7057;45901
Garganta de los Montes;2181;359;29;359;2209;9334
Torrelodones;888;7273;0;7273;888;116223
Madrid;110660;228439;10187;228439;120847;2716787
Boadilla del Monte;25663;5742;6597;5742;32260;230029
Pinto;11122;2453;0;2453;11122;58272
Griñón;22948;977;0;977;22948;52301
Loeches;7285;1344;52;1344;7337;42764
Villanueva del Pardillo;3713;857;0;857;3713;49619
La Cabrera;1832;601;0;601;1832;23450
Alcorcón;5763;11207;56;11207;5819;173761
Chinchón;14766;1450;0;1450;14766;39405
Soto del Real;7338;1838;0;1838;7338;66425
Gascones;703;117;0;117;703;2669
Velilla de San Antonio;1244;1527;0;1527;1244;29717
Redueña;190;721;0;721;190;3056
Canencia;216;232;0;232;216;6735
Navalafuente;1799;150;0;150;1799;16655
Perales de Tajuña;1633;525;0;525;1633;9790
Valdemoro;31266;3818;248;3818;31515;144990
Las Rozas de Madrid;10499;6488;895;6488;11394;256532
Carabaña;896;286;231;286;1126;12309
Valdeavero;414;262;0;262;414;17000
Parla;7455;4061;25;4061;7480;127009
Campo Real;2937;680;0;680;2937;22581
Villarejo de Salvanés;2128;815;4434;815;6562;35380
Montejo de la Sierra;199;183;0;183;199;1874
Villaconejos;2207;411;0;411;2207;17120
Valdaracete;7990;153;0;153;7990;9505
Alameda del Valle;302;123;277;123;579;5350
Camarma de Esteruelas;2958;600;0;600;2958;39609
Torrejón de Velasco;504;598;0;598;504;16322
Bustarviejo;2491;525;475;525;2966;24750
Puebla de la Sierra;766;327;0;327;766;2720
Cadalso de los Vidrios;11530;1056;0;1056;11530;31179
Brunete;4478;749;0;749;4478;34813
Robledo de Chavela;11088;1782;0;1782;11088;65505
Fuenlabrada;5476;11475;210;11475;5686;109049
Chapinería;4499;712;0;712;4499;23135
Robledillo de la Jara;290;129;0;129;290;3349
Hoyo de Manzanares;5880;1753;679;1753;6559;53345
El Atazar;105;215;0;215;105;2252
Valdeolmos-Alalpardo;1598;348;0;348;1598;17692
Daganzo de Arriba;2462;1024;143;1024;2605;36577
Fuente el Saz de Jarama;1513;418;0;418;1513;26423
Aldea del Fresno;10308;1558;0;1558;10308;31443
Cercedilla;5332;1458;0;1458;5332;48474
Puentes Viejas;3517;376;2340;376;5856;14856
Braojos;321;137;0;137;321;2976
Corpa;313;178;294;178;607;5738
San Fernando de Henares;14648;11896;0;11896;14648;64539
