La Unión;20142;1709;108;1709;20249;75667
Ricote;535;279;0;279;535;7372
Librilla;6871;1359;0;1359;6871;25784
Cartagena;161175;37965;4119;37965;165294;760937
Blanca;758;601;73;601;831;14827
Cehegín;36302;1134;681;1134;36983;87635
Las Torres de Cotillas;22423;1546;579;1546;23002;123735
Puerto Lumbreras;5911;1765;261;1765;6172;57446
Totana;42771;1640;86;1640;42857;93257
Beniel;10873;597;0;597;10873;26964
Abarán;8455;767;0;767;8455;33039
Molina de Segura;133689;3907;418;3907;134107;342815
Alcantarilla;37014;1466;0;1466;37014;77022
Mula;12071;1458;186;1458;12258;61178
Yecla;60824;3021;790;3021;61613;106638
Ceutí;2222;1097;24;1097;2246;62430
Santomera;11586;765;0;765;11586;36027
Albudeite;764;276;127;276;891;9645
Los Alcázares;20846;2142;220;2142;21066;152165
Abanilla;21832;1002;38;1002;21870;49525
Fuente Álamo de Murcia;106175;2579;0;2579;106175;156457
Fortuna;25319;1211;0;1211;25319;65828
Ojós;228;620;0;620;228;2878
Caravaca de la Cruz;61088;1299;8;1299;61096;78677
Águilas;56718;4242;0;4242;56718;138589
Murcia;657526;31787;4313;31787;661839;1398251
Torre Pacheco;85206;17676;3029;17676;88235;285124
Alhama de Murcia;49778;2820;399;2820;50177;126119
Mazarrón;74645;3385;0;3385;74645;160928
Alguazas;9983;470;0;470;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;14340;663;151;663;14490;60278
Jumilla;29319;2497;2063;2497;31383;70293
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;261;0;261;1818;13746
Lorca;84487;17850;977;17850;85464;208464
Lorquí;15886;812;108;812;15994;70410
San Pedro del Pinatar;26594;2244;883;2244;27477;148873
Ulea;365;333;0;333;365;4668
Calasparra;20716;996;100;996;20816;67442
Moratalla;25510;6391;0;6391;25510;45232
Cieza;8862;1478;428;1478;9290;41400
Archena;6351;1089;2103;1089;8454;68630
Aledo;2514;292;0;292;2514;11252
