Llanera;25928;3023;0;3023;25928;53464
Valdés;114420;3491;173;3491;114593;129126
Morcín;6726;715;0;715;6726;6849
Cangas de Onís;17255;2810;315;2810;17571;21072
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2449;740;1014;740;3463;4513
Siero;43882;12095;1343;12095;45225;91934
Ribadesella;22269;2858;46;2858;22315;37949
Yernes y Tameza;3022;720;0;720;3022;3022
Gijón/Xixón;12371;27134;1427;27134;13798;354097
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;333;0;333;11090;11615
Piloña;25184;2754;891;2754;26075;31767
Cangas del Narcea;132334;3175;717;3175;133052;142585
Mieres;43652;4859;160;4859;43812;69888
Ponga;6646;643;68;643;6714;7978
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;987;0;987;12085;12085
Lena;46447;4967;840;4967;47286;57977
Quirós;28512;4741;200;4741;28712;28712
Bimenes;5439;4330;0;4330;5439;5439
Tineo;87792;2022;0;2022;87792;91506
Peñamellera Alta;12375;637;0;637;12375;12375
Pravia;13153;941;0;941;13153;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;15931;3556;149;3556;16081;16662
Villaviciosa;29029;3813;0;3813;29029;44386
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30140;1045;0;1045;30140;42904
Llangréu/Langreo;23936;13986;294;13986;24230;91991
Teverga;29235;790;391;790;29626;30307
Cabranes;7160;494;628;494;7788;7788
Vegadeo;18649;756;588;756;19237;24088
Coaña;20831;905;0;905;20831;20831
Taramundi;13859;1465;179;1465;14037;14953
Corvera de Asturias;15905;1357;0;1357;15905;38463
Castrillón;46454;3267;378;3267;46832;82009
Nava;21693;768;408;768;22101;27580
Ibias;38534;1293;162;1293;38696;38696
Salas;19080;1798;148;1798;19229;28217
Soto del Barco;15445;674;0;674;15445;25221
San Tirso de Abres;8205;216;55;216;8261;8321
Caso;19670;2247;115;2247;19785;23196
Riosa;3525;424;0;424;3525;5510
Colunga;28820;4701;540;4701;29360;42306
Sariego;7113;514;0;514;7113;8720
Villayón;18060;392;0;392;18060;18060
Ribadedeva;9240;728;435;728;9674;10188
Amieva;7083;631;1547;631;8630;8630
Somiedo;33550;2147;28;2147;33578;34888
Parres;10316;993;504;993;10820;16064
Onís;8124;1932;0;1932;8124;8124
Carreño;12549;1985;140;1985;12689;29200
Grandas de Salime;20549;698;0;698;20549;23436
Castropol;35870;1226;0;1226;35870;46659
Proaza;16137;428;21;428;16158;16824
Aller;20898;3789;0;3789;20898;31057
Boal;9012;1253;0;1253;9012;10952
Grau/Grado;27201;2149;0;2149;27201;41209
San Martín de Oscos;12425;259;0;259;12425;12425
Illano;16616;573;0;573;16616;16616
El Franco;10082;587;0;587;10082;17375
Villanueva de Oscos;6916;329;0;329;6916;6916
Las Regueras;6013;657;0;657;6013;6013
Peñamellera Baja;11260;627;0;627;11260;11260
Samartín del Rei Aurelio;22711;2195;192;2195;22903;42453
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;9424;725;335;725;9759;11733
Allande;42413;1393;34;1393;42448;43897
Laviana;24246;2580;0;2580;24246;33823
Muros de Nalón;6615;1509;0;1509;6615;15644
Avilés;29461;6101;2191;6101;31653;105867
Oviedo;81445;24175;2847;24175;84292;241800
Caravia;4917;813;0;813;4917;4917
