Sant Llorenç des Cardassar;10790;3288;100;3288;10890;74397
Sencelles;525;438;0;438;525;6933
Binissalem;1144;567;0;567;1144;22659
Llubí;5503;405;0;405;5503;13984
Es Mercadal;46309;4079;0;4079;46309;60467
Escorca;4128;1403;0;1403;4128;6019
Alaior;6226;3766;0;3766;6226;49913
Esporles;16217;1479;0;1479;16217;33657
Algaida;3311;1553;409;1553;3720;23363
Sóller;3852;7632;0;7632;3852;42072
Artà;6225;2026;0;2026;6225;52893
Deià;1105;1258;0;1258;1105;5227
Andratx;6713;5561;0;5561;6713;84707
Ses Salines;8202;1913;14;1913;8216;40504
Es Migjorn Gran;2795;1249;0;1249;2795;10264
Llucmajor;11477;7050;0;7050;11477;165354
Santa Eugènia;2858;358;0;358;2858;6886
Lloret de Vistalegre;612;230;0;230;612;4093
Valldemossa;11046;2333;117;2333;11163;19698
Maó;13336;26837;466;26837;13802;92340
Marratxí;30484;4695;83;4695;30567;187166
Cabrera;0;198;0;198;0;0
Sant Antoni de Portmany;127131;8728;66;8728;127197;170361
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2839;820;2839;32159;51314
Petra;999;921;0;921;999;14399
Ciutadella;17368;12926;19;12926;17387;135681
Santanyí;27444;20423;465;20423;27909;130815
Campos;6394;2975;0;2975;6394;69629
Palma;82725;21470;391;21470;83116;706028
Son Servera;8942;1957;185;1957;9128;48600
Ariany;410;313;0;313;410;9383
Alcúdia;13512;4465;113;4465;13625;95452
Santa Margalida;7127;2571;0;2571;7127;75375
Selva;4995;963;0;963;4995;16729
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15835;15488;630;15488;16465;264916
Manacor;34671;18165;0;18165;34671;202377
Sant Lluís;2420;17185;0;17185;2420;70214
Capdepera;6527;4061;0;4061;6527;94576
Santa María del Camí;128;8643;0;8643;128;17671
Campanet;1665;506;0;506;1665;9614
Maria de la Salut;1445;393;0;393;1445;13230
Costitx;2436;230;0;230;2436;5141
Alaró;715;5172;0;5172;715;16239
Fornalutx;216;1303;142;1303;357;1373
Pollença;16169;13563;1365;13563;17534;82408
Sant Joan;2362;569;0;569;2362;11944
Puigpunyent;3867;683;0;683;3867;14557
Mancor de la Vall;787;223;0;223;787;5960
Felanitx;21376;4568;141;4568;21517;91376
Lloseta;2718;333;0;333;2718;14900
Estellencs;2324;218;0;218;2324;4379
Sa Pobla;9073;1279;0;1279;9073;51789
Búger;236;175;0;175;236;4891
Montuïri;4360;722;0;722;4360;12210
Inca;7559;1759;0;1759;7559;64382
Santa Eulalia del Río;243471;6770;0;6770;243471;321585
Muro;4088;2268;0;2268;4088;41061
Sineu;4363;722;80;722;4443;19453
Banyalbufar;0;916;0;916;0;6287
Bunyola;4237;1725;0;1725;4237;40506
Ferreries;6541;2100;0;2100;6541;17148
Eivissa;16218;4231;28;4231;16246;78098
Porreres;1792;936;163;936;1956;15653
Sant Josep de sa Talaia;132843;8922;632;8922;133475;230279
Es Castell;61;7306;0;7306;61;28859
Consell;1441;361;0;361;1441;10735
