Santander;15560;21472;3855;21472;19415;272991
Camaleño;14046;1416;2094;1416;16140;17149
Arenas de Iguña;17437;1202;0;1202;17437;19830
Valdeprado del Río;4207;684;95;684;4301;7963
Colindres;4149;634;0;634;4149;19691
Valdáliga;15421;1749;138;1749;15559;23054
Potes;214;1576;0;1576;214;7127
Castañeda;14456;339;117;339;14573;16402
Camargo;58609;2168;5667;2168;64276;111706
Corvera de Toranzo;19367;428;788;428;20154;22568
Entrambasaguas;542;3031;0;3031;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;0;2621;3164;2621;3164;130379
Penagos;7424;980;184;980;7608;13876
Liérganes;3957;1102;0;1102;3957;12251
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35168;1389;1930;1389;37098;45116
Alfoz de Lloredo;5371;677;376;677;5747;42323
Miera;1454;1165;0;1165;1454;5133
Tresviso;39;112;0;112;39;1078
Liendo;16010;271;1664;271;17674;17674
Selaya;2992;278;0;278;2992;7584
Los Tojos;3398;395;48;395;3446;3446
Castro-Urdiales;18495;8805;3388;8805;21883;92352
Vega de Pas;1534;734;0;734;1534;3403
Laredo;15307;3469;234;3469;15541;50400
Ampuero;4086;272;1543;272;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;635;0;635;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;3328;1030;0;1030;3328;52743
Tudanca;4128;169;0;169;4128;4128
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;15480;740;13;740;15493;17771
Polanco;14888;616;3208;616;18096;24576
Meruelo;10969;317;225;317;11194;14371
San Vicente de la Barquera;7322;886;613;886;7935;16126
Vega de Liébana;3367;913;0;913;3367;17487
Mazcuerras;18105;443;678;443;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7292;326;355;326;7648;12898
Rasines;1241;247;145;247;1387;1988
San Roque de Riomiera;85;1258;0;1258;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;39679;1244;1608;1244;41287;49446
Bárcena de Cicero;14492;615;1868;615;16360;27219
Santa Cruz de Bezana;25952;1122;12052;1122;38004;65687
Puente Viesgo;14732;1002;0;1002;14732;26179
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4157;416;175;416;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;5919;584;753;584;6672;8258
Villacarriedo;9810;308;0;308;9810;13715
Hermandad de Campoo de Suso;12959;1911;0;1911;12959;26638
Limpias;2715;111;1193;111;3908;6112
Peñarrubia;6270;296;0;296;6270;7972
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7752;435;141;435;7893;15483
Guriezo;10843;730;133;730;10976;12788
Valdeolea;5331;630;0;630;5331;18740
Val de San Vicente;18513;1169;393;1169;18906;28539
Arnuero;19868;647;5904;647;25772;33828
Hazas de Cesto;11534;248;69;248;11603;12117
Villaescusa;24377;872;427;872;24804;30521
Comillas;16981;804;1395;804;18376;26589
Santillana del Mar;23506;1252;4575;1252;28081;33234
Santa María de Cayón;13071;1980;444;1980;13515;37737
Solórzano;4369;232;121;232;4490;4777
Escalante;2508;220;499;220;3007;4545
Suances;24054;1290;3497;1290;27551;61650
Campoo de Enmedio;10999;1045;460;1045;11458;30345
Los Corrales de Buelna;0;8576;0;8576;0;47947
Cillorigo de Liébana;8315;671;0;671;8315;9499
Santiurde de Toranzo;14228;298;60;298;14288;17799
Voto;13297;507;966;507;14263;18985
Santoña;4801;501;966;501;5767;26676
Pesaguero;2214;181;0;181;2214;4258
Polaciones;2465;248;0;248;2465;4036
Saro;1148;75;0;75;1148;1672
Valderredible;1307;1924;0;1924;1307;36074
Medio Cudeyo;2230;3419;84;3419;2314;34835
El Astillero;13780;862;1237;862;15017;31339
Rionansa;3901;659;0;659;3901;19395
Cabuérniga;10218;616;0;616;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1912;0;1912;1252;24769
Noja;5137;1546;576;1546;5713;30198
Reinosa;4768;964;1413;964;6180;32700
Ribamontán al Mar;22792;3648;55;3648;22847;46223
Villafufre;11921;183;0;183;11921;13281
San Felices de Buelna;20179;869;0;869;20179;20312
San Miguel de Aguayo;1771;183;0;183;1771;1771
Miengo;21870;719;2327;719;24197;26475
Cartes;12156;465;1014;465;13169;15449
Torrelavega;2039;18833;0;18833;2039;123688
Ruiloba;9498;293;1314;293;10812;14405
Argoños;7637;333;4046;333;11684;23929
Riotuerto;3142;2210;164;2210;3306;18093
Ribamontán al Monte;12459;530;452;530;12911;17021
