Fabero;22967;310;0;310;22967;38006
Turcia;3040;395;0;395;3040;18431
Villadangos del Páramo;8850;806;0;806;8850;41465
Algadefe;6236;71;0;71;6236;6236
Santa Cristina de Valmadrigal;5971;79;0;79;5971;5971
Villarejo de Órbigo;31394;523;0;523;31394;31916
Puente de Domingo Flórez;14869;251;125;251;14993;15426
Fuentes de Carbajal;3840;51;0;51;3840;3840
Castrocalbón;14542;231;0;231;14542;14798
Palacios del Sil;17467;811;0;811;17467;17740
Villademor de la Vega;8322;69;0;69;8322;8322
Bembibre;15399;1822;511;1822;15910;52300
Corbillos de los Oteros;3811;183;0;183;3811;4983
Balboa;5856;146;0;146;5856;6742
Pajares de los Oteros;9111;396;0;396;9111;10357
San Andrés del Rabanedo;1063;1295;0;1295;1063;76894
Escobar de Campos;1784;33;0;33;1784;1784
Valdepolo;15651;793;0;793;15651;24917
Prado de la Guzpeña;4248;68;0;68;4248;4248
Cubillos del Sil;28378;533;0;533;28378;37452
Pobladura de Pelayo García;6795;119;0;119;6795;6795
Candín;12142;178;0;178;12142;13291
Bercianos del Páramo;12485;227;0;227;12485;12485
Boñar;15800;292;2599;292;18398;26087
Boca de Huérgano;10742;622;0;622;10742;11683
Cubillas de los Oteros;4645;327;0;327;4645;4645
Urdiales del Páramo;14721;223;0;223;14721;15465
Noceda del Bierzo;10569;208;0;208;10569;14696
Matallana de Torío;12434;221;0;221;12434;14142
Cebanico;4574;74;0;74;4574;4574
Chozas de Abajo;23412;868;0;868;23412;40989
San Emiliano;19550;878;0;878;19550;20425
Villasabariego;15802;464;0;464;15802;18249
Santa Marina del Rey;18128;676;0;676;18128;21470
Oencia;10134;117;0;117;10134;10134
Berlanga del Bierzo;3625;945;0;945;3625;9603
Corullón;20689;207;0;207;20689;20689
Toreno;27003;527;0;527;27003;34377
Villazala;11770;322;0;322;11770;15726
Villamandos;6901;96;0;96;6901;6901
Valderrey;13387;240;0;240;13387;13827
Benuza;14385;225;0;225;14385;14385
Santa María de la Isla;6923;70;0;70;6923;6923
Sahagún;15991;733;0;733;15991;27398
Cistierna;30277;375;79;375;30356;37499
La Bañeza;10553;708;0;708;10553;39690
Valdevimbre;13480;413;0;413;13480;16891
La Pola de Gordón;22225;1013;0;1013;22225;40869
La Vecilla;4787;51;0;51;4787;4787
Santiago Millas;12135;142;0;142;12135;12430
Mansilla Mayor;4638;291;0;291;4638;6820
Campazas;3965;106;0;106;3965;3965
Sobrado;5856;144;0;144;5856;6122
Valverde-Enrique;5943;109;0;109;5943;5943
Calzada del Coto;3643;216;0;216;3643;6263
Riego de la Vega;11296;321;0;321;11296;19290
Gordoncillo;6359;79;0;79;6359;6359
Regueras de Arriba;4893;69;0;69;4893;5025
Páramo del Sil;25224;859;553;859;25777;27615
Brazuelo;12345;474;0;474;12345;13854
Cimanes de la Vega;7941;140;0;140;7941;7941
Roperuelos del Páramo;3351;317;0;317;3351;12228
Vega de Valcarce;11014;468;0;468;11014;11522
Villaturiel;1537;623;0;623;1537;30182
Joarilla de las Matas;4557;134;0;134;4557;4862
Destriana;5421;161;0;161;5421;8868
Lucillo;15708;241;0;241;15708;15708
Crémenes;8488;353;421;353;8909;10072
Riaño;1535;399;366;399;1901;7364
