Pedraza de Campos;0;65;0;65;0;2515
Osorno la Mayor;0;829;0;829;0;14207
Santa Cecilia del Alcor;232;89;0;89;232;1384
Boadilla del Camino;1032;150;0;150;1032;3477
Fuentes de Nava;0;339;0;339;0;5201
Venta de Baños;14803;385;0;385;14803;36428
Villalcón;0;60;0;60;0;2186
Piña de Campos;906;160;0;160;906;5566
Frechilla;0;128;0;128;0;5728
Fuentes de Valdepero;761;308;0;308;761;6420
Revenga de Campos;0;56;0;56;0;2725
Valle del Retortillo;0;259;0;259;0;5913
Cordovilla la Real;601;69;0;69;601;3274
Baquerín de Campos;0;65;0;65;0;1732
Boada de Campos;0;41;0;41;0;1409
Saldaña;15134;691;0;691;15134;29510
La Pernía;10709;701;113;701;10822;11147
Báscones de Ojeda;3013;107;0;107;3013;3892
Melgar de Yuso;0;127;0;127;0;3979
Abarca de Campos;0;45;0;45;0;977
Valdeolmillos;583;54;0;54;583;2410
Monzón de Campos;989;403;0;403;989;7724
Paredes de Nava;0;809;0;809;0;10961
Marcilla de Campos;0;81;0;81;0;1547
Osornillo;0;46;0;46;0;1615
Ampudia;2665;487;0;487;2665;9984
Cobos de Cerrato;2106;64;0;64;2106;2511
Villarrabé;4980;137;0;137;4980;4980
Villarmentero de Campos;0;36;0;36;0;1076
Respenda de la Peña;4417;166;0;166;4417;4558
Dehesa de Romanos;1269;84;0;84;1269;1269
Riberos de la Cueza;0;37;0;37;0;1693
Manquillos;0;61;0;61;0;1032
Mazuecos de Valdeginate;0;63;0;63;0;2484
Calzada de los Molinos;188;86;0;86;188;6018
Villaviudas;4504;155;0;155;4504;4504
Itero de la Vega;0;151;0;151;0;3390
Congosto de Valdavia;5840;120;0;120;5840;5840
La Puebla de Valdavia;2072;55;0;55;2072;2072
Páramo de Boedo;3644;127;0;127;3644;3644
Lomas;0;65;0;65;0;1695
Buenavista de Valdavia;4703;106;0;106;4703;6386
Ribas de Campos;137;171;0;171;137;3073
Pomar de Valdivia;7666;543;625;543;8291;10795
Hornillos de Cerrato;505;88;0;88;505;2968
Nogal de las Huertas;57;48;0;48;57;1928
Bustillo del Páramo de Carrión;0;61;0;61;0;2039
Hérmedes de Cerrato;2168;40;0;40;2168;2168
Cardeñosa de Volpejera;0;34;0;34;0;1842
Villaconancio;621;44;0;44;621;2508
Collazos de Boedo;3679;58;0;58;3679;3679
Mantinos;2558;52;0;52;2558;2558
Pedrosa de la Vega;7271;173;0;173;7271;7271
Lagartos;2399;134;0;134;2399;4008
Villacidaler;0;43;0;43;0;2661
San Román de la Cuba;0;45;0;45;0;1905
Autillo de Campos;0;107;0;107;0;3757
Villoldo;0;314;0;314;0;7474
Villaluenga de la Vega;6101;116;0;116;6101;8465
Cevico de la Torre;1260;222;0;222;1260;4558
Villada;0;398;0;398;0;14836
Husillos;1373;227;0;227;1373;5019
Castrillo de Onielo;2291;47;0;47;2291;4531
Castrejón de la Peña;8848;306;581;306;9428;9428
Carrión de los Condes;20;607;115;607;135;13718
Prádanos de Ojeda;3595;158;0;158;3595;3595
Mazariegos;0;150;0;150;0;4104
Becerril de Campos;0;468;0;468;0;12338
Requena de Campos;9;178;0;178;9;1766
Amayuelas de Arriba;0;52;0;52;0;1122
Valde-Ucieza;5508;184;0;184;5508;5508
Capillas;0;49;0;49;0;1544
Tabanera de Valdavia;1459;18;0;18;1459;1459
Villaumbrales;0;789;0;789;0;8306
Támara de Campos;1393;75;0;75;1393;3978
Mudá;2286;38;0;38;2286;2286
Salinas de Pisuerga;3318;238;0;238;3318;3318
Villodre;0;28;0;28;0;1794
Frómista;1794;648;0;648;1794;10565
Villasila de Valdavia;0;41;0;41;0;2231
Quintana del Puente;4407;151;0;151;4407;4779
Cubillas de Cerrato;611;137;0;137;611;2608
Magaz de Pisuerga;3375;386;0;386;3375;19995
Villalcázar de Sirga;0;121;0;121;0;2950
Santibáñez de la Peña;13522;584;0;584;13522;13631
Castil de Vela;0;44;0;44;0;1700
Villabasta de Valdavia;1425;50;0;50;1425;2217
Espinosa de Villagonzalo;111;138;1392;138;1503;2243
Amusco;1317;394;0;394;1317;11777
Soto de Cerrato;2452;103;0;103;2452;2452
Polentinos;1264;16;0;16;1264;1264
Dehesa de Montejo;2067;330;259;330;2326;4390
Herrera de Pisuerga;4503;889;30;889;4533;24005
Pino del Río;4733;65;0;65;4733;4733
Villota del Páramo;5875;83;0;83;5875;5875
Cervera de Pisuerga;27759;1280;0;1280;27759;32142
Valderrábano;2445;36;0;36;2445;3025
Villamoronta;3129;57;0;57;3129;4467
Palencia;10444;4658;1512;4658;11955;126052
Alba de Cerrato;2294;47;0;47;2294;2294
Triollo;1236;161;0;161;1236;2161
Torremormojón;0;103;0;103;0;2032
Velilla del Río Carrión;10412;610;0;610;10412;18085
Ledigos;0;113;0;113;0;1889
Santervás de la Vega;11475;132;0;132;11475;11475
Villanuño de Valdavia;3226;30;0;30;3226;3226
Villamuera de la Cueza;0;61;0;61;0;1554
Tariego de Cerrato;287;116;0;116;287;2872
Autilla del Pino;600;101;0;101;600;4677
Meneses de Campos;0;94;0;94;0;3595
Brañosera;8620;153;0;153;8620;8794
Villamartín de Campos;0;176;0;176;0;4756
Villameriel;3146;110;0;110;3146;3790
Cervatos de la Cueza;0;277;0;277;0;6537
Valbuena de Pisuerga;532;45;0;45;532;2541
Villasarracino;1092;159;0;159;1092;4685
Santa Cruz de Boedo;2292;92;0;92;2292;2292
Grijota;9399;538;249;538;9648;21182
Renedo de la Vega;5564;151;0;151;5564;5564
Payo de Ojeda;744;69;0;69;744;1712
Vertavillo;3466;49;0;49;3466;3466
Santibáñez de Ecla;524;243;0;243;524;1146
Hontoria de Cerrato;1932;81;0;81;1932;1932
Abia de las Torres;1900;94;0;94;1900;4465
Baltanás;12972;249;0;249;12972;17098
Lantadilla;0;154;0;154;0;4908
Villerías de Campos;0;45;0;45;0;2280
Moratinos;0;272;0;272;0;2455
Berzosilla;1980;65;0;65;1980;1980
San Cristóbal de Boedo;847;27;0;27;847;1835
La Serna;56;109;0;109;56;1667
Astudillo;4816;291;0;291;4816;10558
Dueñas;6440;909;0;909;6440;19440
Calahorra de Boedo;2442;46;0;46;2442;2442
