Melgar de Arriba;2187;87;0;87;2187;3900
Pollos;718;164;0;164;718;7428
Valverde de Campos;1940;80;0;80;1940;1940
La Parrilla;284;110;0;110;284;6700
San Martín de Valvení;2414;66;0;66;2414;2414
Geria;2979;73;0;73;2979;2979
Valdearcos de la Vega;976;26;0;26;976;976
Castrillo de Duero;3664;104;0;104;3664;3664
Viloria;235;86;0;86;235;4919
Camporredondo;283;96;0;96;283;3294
Viana de Cega;2206;333;0;333;2206;26063
Morales de Campos;2408;56;0;56;2408;2408
Urones de Castroponce;895;25;0;25;895;2684
Villafrechós;5302;112;0;112;5302;5302
San Pablo de la Moraleja;1540;114;0;114;1540;2497
La Pedraja de Portillo;2158;390;0;390;2158;10819
Villalán de Campos;1111;26;0;26;1111;1111
Mucientes;4633;71;0;71;4633;5388
Fombellida;3055;43;0;43;3055;3055
Herrín de Campos;3854;56;0;56;3854;3854
Corcos;5172;104;0;104;5172;5226
Tordesillas;43385;1633;0;1633;43385;69734
Nava del Rey;12612;247;0;247;12612;12612
Torrescárcela;69;41;0;41;69;1874
Villanueva de Duero;17972;155;0;155;17972;18644
Canillas de Esgueva;1061;95;0;95;1061;2666
Valladolid;51940;15591;2518;15591;54458;435711
Villavellid;1747;33;0;33;1747;1747
Barcial de la Loma;3034;37;0;37;3034;3034
San Pelayo;1429;18;0;18;1429;1429
Melgar de Abajo;3525;64;0;64;3525;3525
Laguna de Duero;8312;5947;0;5947;8312;83091
Rueda;14447;348;0;348;14447;14623
Villabáñez;4609;118;0;118;4609;10224
Villacarralón;1898;45;0;45;1898;1898
Villafuerte;1811;36;0;36;1811;1811
Olmedo;3178;1888;0;1888;3178;20074
Cabreros del Monte;2531;72;0;72;2531;2611
Barruelo del Valle;1931;14;0;14;1931;1931
Valdunquillo;558;93;0;93;558;4854
Curiel de Duero;3701;75;0;75;3701;3701
Cogeces de Íscar;495;80;0;80;495;2678
Castronuevo de Esgueva;4107;81;0;81;4107;5897
Amusquillo;2203;21;0;21;2203;2203
Quintanilla de Trigueros;1776;30;0;30;1776;1776
Adalia;2649;21;0;21;2649;2649
