Palau-sator;0;584;0;584;0;3271
Riner;1541;447;0;447;1541;2112
el Prat de Llobregat;419;9915;0;9915;419;70377
Sant Esteve de Palautordera;349;257;0;257;349;16136
Verdú;3036;687;0;687;3036;6559
Vilafant;120;1152;0;1152;120;28147
Regencós;0;91;0;91;0;1840
Massanes;1072;198;0;198;1072;10647
Sant Miquel de Campmajor;0;664;0;664;0;1101
Fígols i Alinyà;0;409;0;409;0;3438
Olesa de Bonesvalls;172;328;207;328;379;27479
Navàs;28;1055;0;1055;28;21987
Gavà;593;2008;0;2008;593;71098
Lleida;2763;10112;0;10112;2763;229628
Vilaür;0;279;0;279;0;1993
Banyoles;277;4902;575;4902;853;65098
Campelles;552;117;0;117;552;2084
el Brull;42;607;0;607;42;1107
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;118;0;118;27;7788
Riu de Cerdanya;676;151;0;151;676;1946
Naut Aran;8323;3033;599;3033;8922;25287
Torrent;0;262;0;262;0;2557
Montagut i Oix;657;806;0;806;657;5026
Preixana;1226;210;0;210;1226;4166
Das;2716;245;0;245;2716;7382
Torrelavit;75;313;0;313;75;6163
Santa Bàrbara;1024;916;0;916;1024;33312
Capellades;92;220;0;220;92;14925
Alpens;603;121;863;121;1466;3388
Sant Pere de Torelló;1654;856;0;856;1654;13571
Alfarràs;3729;1195;0;1195;3729;11606
Solsona;3706;2723;0;2723;3706;34618
Nalec;316;142;0;142;316;1762
Tordera;6049;2208;131;2208;6181;98398
Cubelles;453;1330;0;1330;453;75470
Lluçà;0;364;0;364;0;1057
Pontons;0;329;0;329;0;6910
Vilanova i la Geltrú;240;20113;0;20113;240;150085
Santa Oliva;29;395;0;395;29;23915
Matadepera;0;2157;0;2157;0;88054
Granollers;4807;8915;30;8915;4836;94722
Sant Quirze del Vallès;3217;1823;266;1823;3484;91255
Alella;1206;660;1318;660;2523;55635
Salomó;0;108;0;108;0;4753
Sant Feliu de Guíxols;1540;10405;325;10405;1865;87547
Fontanals de Cerdanya;1570;478;150;478;1720;14292
Salt;0;1302;0;1302;0;31198
Valls;3191;1393;0;1393;3191;84676
Montferri;327;184;0;184;327;3618
Vilabertran;0;53;0;53;0;3129
Sant Ferriol;0;282;0;282;0;193
la Pobla de Massaluca;391;144;0;144;391;2409
Castell-Platja d'Aro;1915;6183;0;6183;1915;108838
Torroja del Priorat;652;93;0;93;652;2136
Planoles;652;153;0;153;652;5471
Talarn;4427;733;4;733;4431;7440
Montoliu de Lleida;382;98;0;98;382;4939
Vilaplana;1684;380;0;380;1684;2795
Susqueda;0;271;0;271;0;225
Clariana de Cardener;0;380;0;380;0;293
la Morera de Montsant;1044;691;0;691;1044;2045
Montferrer i Castellbò;3333;814;0;814;3333;18064
Sant Esteve de la Sarga;0;691;0;691;0;2846
Santa Coloma de Farners;0;2975;0;2975;0;53125
Prat de Comte;0;115;0;115;0;1909
Tavèrnoles;213;220;0;220;213;2013
l'Albiol;1045;143;0;143;1045;6189
Granera;0;298;0;298;0;1465
Solivella;289;347;0;347;289;4619
Jafre;305;109;0;109;305;3913
Santa Pau;454;1343;75;1343;529;6807
el Bruc;0;1084;0;1084;0;21272
Pinell de Solsonès;200;475;0;475;200;617
Sant Boi de Lluçanès;1132;248;1273;248;2406;6716
Aiguamúrcia;2412;540;148;540;2559;17143
Seva;1045;857;0;857;1045;54506
Santa Maria de Merlès;84;386;0;386;84;243
Font-rubí;0;528;0;528;0;8328
Caldes de Malavella;7790;946;0;946;7790;74807
Crespià;53;226;30;226;83;2589
Vidreres;8092;742;0;742;8092;72288
es Bòrdes;210;274;0;274;210;3365
Ogassa;117;266;1286;266;1403;2226
Canejan;381;762;0;762;381;983
Alins;0;1139;11;1139;11;4352
Vinyols i els Arcs;1359;777;0;777;1359;10619
Biosca;0;832;0;832;0;2516
Farrera;3;302;0;302;3;2182
Sant Pere Pescador;69;1228;0;1228;69;17107
Montblanc;5293;3475;149;3475;5442;35105
la Coma i la Pedra;6069;741;0;741;6069;11537
Roda de Ter;2962;171;0;171;2962;20241
La Guingueta d'Àneu;1779;930;1149;930;2927;5961
Puigverd d'Agramunt;388;250;0;250;388;2581
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;1195;96;371;96;1566;3353
Flix;4646;1234;0;1234;4646;21691
Vilallonga del Camp;239;156;13;156;253;9436
Cadaqués;0;2842;0;2842;0;30099
Sant Aniol de Finestres;203;338;0;338;203;1418
Torroella de Fluvià;0;519;0;519;0;7123
Gualta;145;260;0;260;145;4222
Passanant i Belltall;2907;622;106;622;3012;3600
el Cogul;1424;601;0;601;1424;2127
les Franqueses del Vallès;10049;1425;0;1425;10049;64194
Canyelles;15;600;0;600;15;53048
Santa Eulàlia de Ronçana;1216;405;94;405;1311;52024
Torre-serona;1122;145;0;145;1122;4861
Fulleda;898;136;0;136;898;1935
la Bisbal del Penedès;250;622;0;622;250;57868
l'Espluga Calba;870;150;0;150;870;3397
Capolat;0;304;0;304;0;141
Garrigàs;0;495;0;495;0;3279
Ivorra;476;241;0;241;476;1312
Vilajuïga;0;1031;0;1031;0;8258
Tona;2200;649;175;649;2375;36927
Mura;0;1384;0;1384;0;3839
Pals;1298;1567;244;1567;1542;39967
la Jonquera;0;1545;0;1545;0;18781
la Torre de Claramunt;0;319;0;319;0;42164
Sant Adrià de Besòs;91;5847;0;5847;91;27472
Sant Mori;0;273;0;273;0;1992
la Pobla de Cérvoles;158;817;0;817;158;2313
Nulles;393;104;34;104;427;3870
Terrassa;1254;11081;0;11081;1254;341287
Riudecanyes;2733;315;0;315;2733;12884
Pont de Molins;0;272;0;272;0;3881
Saldes;316;778;0;778;316;3864
