Valdemorillo;11649;7792;1092;7792;12742;115371
Arganda del Rey;17309;6252;1263;6252;18572;145286
Villaviciosa de Odón;6032;2853;347;2853;6380;133686
Collado Mediano;6565;699;0;699;6565;45908
Batres;9294;286;0;286;9294;17227
Olmeda de las Fuentes;248;235;0;235;248;4822
Villalbilla;2258;2966;0;2966;2258;108023
Guadalix de la Sierra;1661;520;0;520;1661;36167
Alcalá de Henares;27300;17013;479;17013;27779;297104
Majadahonda;27180;4610;342;4610;27522;150756
Valdilecha;292;312;0;312;292;10445
Becerril de la Sierra;512;868;0;868;512;51069
Talamanca de Jarama;3139;241;0;241;3139;22049
Villamanta;15315;816;0;816;15315;15365
Lozoya;500;283;0;283;500;6457
Moraleja de Enmedio;369;647;0;647;369;19286
Torrejón de Ardoz;7412;9726;432;9726;7844;119651
El Berrueco;878;306;0;306;878;7103
Collado Villalba;3461;4682;44;4682;3505;116804
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13271;2125;0;2125;13271;94976
San Agustín del Guadalix;3351;801;1096;801;4447;40497
Algete;8708;1457;168;1457;8875;68479
Los Santos de la Humosa;387;518;0;518;387;16422
Horcajo de la Sierra-Aoslos;176;144;0;144;176;1803
Pinilla del Valle;439;131;0;131;439;4476
San Sebastián de los Reyes;13279;6601;1933;6601;15213;137972
Titulcia;5585;252;0;252;5585;8060
Patones;469;471;0;471;469;4254
Ciempozuelos;1918;1179;0;1179;1918;48773
Leganés;10026;18139;597;18139;10623;197988
Miraflores de la Sierra;4615;1128;0;1128;4615;54022
Morata de Tajuña;2458;1980;0;1980;2458;27031
Navacerrada;2642;1857;98;1857;2740;23716
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4752;2790;0;2790;4752;106166
Villavieja del Lozoya;2137;102;487;102;2624;6066
Tielmes;9042;211;18;211;9060;9060
Horcajuelo de la Sierra;680;171;0;171;680;1871
Moralzarzal;4602;1200;85;1200;4687;72774
Colmenar del Arroyo;1758;1075;0;1075;1758;15440
Piñuécar-Gandullas;2862;151;0;151;2862;7587
Quijorna;2888;393;0;393;2888;23589
Villar del Olmo;191;377;0;377;191;15978
Prádena del Rincón;74;61;0;61;74;1118
Sevilla la Nueva;347;6715;0;6715;347;37848
Fresnedillas de la Oliva;659;1260;0;1260;659;11084
Humanes de Madrid;1743;5105;0;5105;1743;28709
Belmonte de Tajo;9911;258;0;258;9911;11152
Valdemaqueda;11101;580;1770;580;12871;16878
Valverde de Alcalá;0;229;0;229;0;4421
Nuevo Baztán;454;543;0;543;454;77640
Anchuelo;122;187;0;187;122;8108
Ambite;14646;194;0;194;14646;17009
San Martín de la Vega;7691;13118;0;13118;7691;81112
Venturada;2105;240;0;240;2105;30300
Ajalvir;13;915;74;915;87;15957
