La Unión;20142;1709;108;1709;20249;75667
Ricote;535;303;0;303;535;7372
Librilla;6871;1359;0;1359;6871;25784
Cartagena;161101;38017;4119;38017;165220;760949
Blanca;758;620;73;620;831;14827
Cehegín;36302;1148;681;1148;36983;87635
Las Torres de Cotillas;22423;1546;579;1546;23002;123735
Puerto Lumbreras;5911;1766;261;1766;6172;57446
Totana;45101;1743;86;1743;45186;95586
Beniel;10873;597;0;597;10873;26964
Abarán;8455;773;0;773;8455;33039
Molina de Segura;130211;3970;418;3970;130629;343909
Alcantarilla;23835;1482;151;1482;23987;78234
Mula;12071;1459;186;1459;12258;61178
Yecla;60833;3109;790;3109;61623;106647
Ceutí;2222;1097;24;1097;2246;62430
Santomera;11586;765;0;765;11586;36027
Albudeite;764;276;127;276;891;9645
Los Alcázares;20846;2142;220;2142;21066;152165
Abanilla;23813;1230;38;1230;23851;51506
Fuente Álamo de Murcia;105451;2589;0;2589;105451;156457
Fortuna;25783;1241;0;1241;25783;66292
Ojós;228;620;0;620;228;2878
Caravaca de la Cruz;61221;1322;8;1322;61229;78810
Águilas;56718;4245;0;4245;56718;138589
Murcia;655347;31934;4550;31934;659896;1406521
Torre Pacheco;85206;17679;3029;17679;88235;285124
Alhama de Murcia;49778;2829;399;2829;50177;126119
Mazarrón;75301;3662;0;3662;75301;161585
Alguazas;9983;477;0;477;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;14340;663;151;663;14490;60278
Jumilla;29317;2598;2063;2598;31380;70323
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;261;0;261;1818;13746
Lorca;84487;17868;977;17868;85464;208464
Lorquí;15886;817;108;817;15994;70410
San Pedro del Pinatar;26594;2244;883;2244;27477;148873
Ulea;365;333;0;333;365;4668
Calasparra;20716;1004;100;1004;20816;67442
Moratalla;25510;6390;0;6390;25510;45232
Cieza;9387;1521;428;1521;9815;41956
Archena;6351;1089;2103;1089;8454;68630
Aledo;2514;292;0;292;2514;11252
