Etxalar;954;1404;46;1404;1000;2797
Arellano;942;41;1974;41;2916;2916
Orbaitzeta;2044;462;0;462;2044;2044
Lana;291;203;3513;203;3804;3804
Oco;1539;32;0;32;1539;1539
Zubieta;476;577;164;577;640;1864
Burlada/Burlata;2005;747;113;747;2118;20125
Mues;1926;66;0;66;1926;1926
Sangüesa/Zangoza;9316;545;0;545;9316;14566
Izagaondoa;1963;263;1746;263;3708;4058
Sarriés/Sartze;100;98;0;98;100;924
Orbara;0;34;0;34;0;740
Baztan;21438;8690;3526;8690;24963;36344
Fontellas;7448;306;0;306;7448;7448
Genevilla;0;29;1922;29;1922;1922
Urraul Bajo;5088;223;691;223;5780;5780
Améscoa Baja;5942;470;1396;470;7339;10788
Metauten;2332;192;2508;192;4839;4839
Oteiza;3603;154;1948;154;5552;6356
Aibar/Oibar;5166;171;0;171;5166;5166
Sada;3122;60;0;60;3122;3122
Aranarache;1113;22;0;22;1113;1113
Igantzi;948;750;0;750;948;1951
Sartaguda;404;409;14;409;418;11145
Ituren;0;685;1944;685;1944;3122
Urdazubi/Urdax;2254;485;441;485;2695;2695
Valle de Ollo/Ollaran;1960;395;839;395;2799;5606
Ablitas;12869;362;0;362;12869;13943
Mañeru;2102;129;0;129;2102;3121
San Adrián;25716;379;384;379;26099;26182
Irurtzun;4844;133;0;133;4844;4996
Funes;14230;429;0;429;14230;14477
Jaurrieta;1762;98;0;98;1762;1834
Eslava;1893;55;0;55;1893;1893
Esparza de Salazar;83;44;56;44;140;2004
Castillonuevo;0;57;49;57;49;515
Isaba/Izaba;99;535;0;535;99;3050
Andosilla;10611;304;0;304;10611;10611
Peralta;11018;678;0;678;11018;22349
Oroz-Betelu;139;80;1166;80;1305;1305
Lekunberri;11791;754;0;754;11791;12590
Goizueta;3;1167;132;1167;134;2500
Pitillas;3977;141;0;141;3977;3977
Irañeta;2641;155;0;155;2641;2641
Larraun;4199;1453;8346;1453;12545;13385
Ujué / Uxue;17;262;921;262;938;4097
Piedramillera;37;39;0;39;37;1707
Orísoain;911;50;0;50;911;911
Erro;6566;1158;6172;1158;12738;12899
Mendigorría;5611;163;0;163;5611;6542
Urroz;3119;107;114;107;3233;3233
Lantz;1353;167;0;167;1353;1353
Dicastillo;799;124;2427;124;3226;3226
Puente la Reina/Gares;6502;456;0;456;6502;12293
Zabalza;2066;80;771;80;2837;2837
Cirauqui;4630;385;0;385;4630;5387
Arróniz;6746;174;0;174;6746;6746
Obanos;8616;249;0;249;8616;13138
Murillo el Fruto;4568;161;417;161;4985;6017
Abaurrepea/Abaurrea Baja;131;58;0;58;131;845
Torralba del Río;1210;114;1002;114;2212;2212
Buñuel;16882;445;0;445;16882;18045
Lakuntza;5375;177;0;177;5375;5375
Doneztebe/Santesteban;3032;575;0;575;3032;5037
Bidaurreta;1560;80;69;80;1630;1630
Etxarri-Aranatz;2898;488;0;488;2898;13000
Vidángoz/Bidankoze;0;49;0;49;0;1703
Tiebas-Muruarte de Reta;2575;212;0;212;2575;4627
El Busto;1683;21;0;21;1683;1683
Lónguida/Longida;5471;313;0;313;5471;5878
Aranguren;2683;2242;391;2242;3074;40059
Etxauri;3669;142;0;142;3669;5300
Tulebras;1597;28;0;28;1597;2173
Tudela;16032;3984;0;3984;16032;79166
Leatxe/Leache;1231;16;0;16;1231;1231
Iturmendi;3009;98;140;98;3149;3149
Olóriz;3312;246;299;246;3611;3611
Artajona;8689;428;0;428;8689;9959
Luzaide/Valcarlos;820;302;0;302;820;820
Oronz;0;27;0;27;0;894
