Montillana;1490;164;0;164;1490;10614
Pampaneira;0;183;0;183;0;543
Pinos Puente;4425;1006;96;1006;4521;52603
Castilléjar;817;324;0;324;817;25987
Gójar;210;379;0;379;210;46074
Carataunas;44;37;0;37;44;2198
Villamena;3659;218;0;218;3659;10672
Valle del Zalabí;8249;214;3649;214;11898;13873
Alamedilla;131;195;0;195;131;6584
La Zubia;1219;2008;0;2008;1219;94587
Valderrubio;317;118;0;118;317;11632
Cogollos de la Vega;4042;281;53;281;4096;10433
Nívar;7808;144;0;144;7808;12009
Torre-Cardela;630;93;0;93;630;8209
Aldeire;874;221;0;221;874;7678
Diezma;4270;146;0;146;4270;6511
Fornes;98;86;0;86;98;4380
Colomera;1493;275;0;275;1493;9702
Algarinejo;4624;200;0;200;4624;11604
Darro;8764;135;0;135;8764;10770
Dúdar;35;74;0;74;35;5242
Turón;96;144;0;144;96;4963
Víznar;1729;265;0;265;1729;6985
Chauchina;350;421;0;421;350;37298
Lecrín;6343;451;0;451;6343;11913
Freila;0;186;0;186;0;9955
Huétor Vega;506;588;0;588;506;52206
Güéjar Sierra;0;1198;0;1198;0;14997
Trevélez;2318;349;0;349;2318;3980
Maracena;150;956;0;956;150;46256
La Malahá;4713;251;0;251;4713;13021
Alfacar;955;511;0;511;955;34678
Píñar;4098;214;0;214;4098;9508
Montejícar;1038;121;0;121;1038;12243
Cortes de Baza;11373;725;0;725;11373;39161
Arenas del Rey;1640;271;0;271;1640;4958
Alicún de Ortega;841;71;0;71;841;4965
Lugros;0;116;0;116;0;3905
Peligros;961;744;0;744;961;68631
Villa de Otura;725;693;0;693;725;75060
Huétor de Santillán;8750;481;915;481;9665;16443
Soportújar;28;75;0;75;28;1654
Beas de Guadix;33;78;0;78;33;4069
Huéneja;11782;202;0;202;11782;12714
Atarfe;836;3947;0;3947;836;109939
Zagra;239;206;0;206;239;3681
Castril;5658;719;0;719;5658;23367
Alhama de Granada;3976;1354;0;1354;3976;28842
Jérez del Marquesado;33;585;0;585;33;11083
Gorafe;4223;122;0;122;4223;5287
Montefrío;2864;605;0;605;2864;15442
Agrón;0;69;0;69;0;3973
Dílar;3960;685;0;685;3960;22461
Calicasas;52;59;0;59;52;3401
Bubión;1176;104;0;104;1176;2573
Polopos;724;320;0;320;724;9796
La Taha;3000;230;0;230;3000;5431
Escúzar;1052;233;0;233;1052;30016
Guadix;7549;1842;0;1842;7549;91995
Huélago;675;81;0;81;675;5010
Cenes de la Vega;2613;279;68;279;2680;18478
Cástaras;25;97;0;97;25;1432
Güevéjar;25;186;0;186;25;11998
Órgiva;0;643;0;643;0;34805
Iznalloz;163;1011;0;1011;163;29598
Cogollos de Guadix;0;354;0;354;0;9945
Padul;1049;927;0;927;1049;87141
Quéntar;1345;156;0;156;1345;3571
Alpujarra de la Sierra;7236;441;0;441;7236;10432
Guadahortuna;1224;180;0;180;1224;9910
Molvízar;0;336;0;336;0;9591
Lobras;79;89;0;89;79;1840
Albuñol;8838;507;0;507;8838;18523
Baza;11767;1902;0;1902;11767;150695
Pinos Genil;2973;147;0;147;2973;6679
Torvizcón;3115;170;0;170;3115;5314
Íllora;14274;916;139;916;14413;71924
Caniles;679;659;0;659;679;43109
Lentegí;1094;60;0;60;1094;1961
Albuñán;340;110;0;110;340;9469
Albolote;1472;2152;0;2152;1472;113188
Játar;0;82;0;82;0;4711
Capileira;1311;444;0;444;1311;3430
Cacín;4128;133;0;133;4128;7175
Galera;26;463;0;463;26;25379
Almegíjar;321;115;0;115;321;3262
Nevada;510;824;142;824;653;14516
Churriana de la Vega;1373;617;0;617;1373;54544
Santa Fe;3097;1152;0;1152;3097;58324
Villanueva de las Torres;0;150;0;150;0;8778
Purullena;9311;255;0;255;9311;14961
El Valle;3099;200;0;200;3099;8410
Cájar;43;245;0;245;43;21203
El Pinar;4003;165;0;165;4003;7697
Cádiar;433;350;34;350;467;11466
Santa Cruz del Comercio;372;121;0;121;372;9543
Marchal;15;72;0;72;15;4454
Juviles;78;117;0;117;78;2676
Bérchules;0;214;0;214;0;8846
Benalúa de las Villas;95;133;0;133;95;7883
Ítrabo;2008;53;0;53;2008;3142
Cortes y Graena;0;247;0;247;0;13597
Jete;68;92;0;92;68;3073
Jayena;161;179;0;179;161;8793
Chimeneas;4080;409;0;409;4080;15273
Cúllar;7809;978;0;978;7809;39255
Huéscar;1764;909;1176;909;2939;64239
Gualchos;323;1153;90;1153;412;18156
Dúrcal;817;774;0;774;817;69778
Salobreña;1290;1438;0;1438;1290;60808
Alquife;3124;133;0;133;3124;10506
Jun;669;301;0;301;669;23012
Albuñuelas;4192;161;0;161;4192;6210
Huétor Tájar;917;17165;332;17165;1248;39281
Puebla de Don Fadrique;3734;668;0;668;3734;21976
Villanueva Mesía;1188;307;39;307;1227;9630
Polícar;0;56;0;56;0;4824
La Calahorra;3540;230;0;230;3540;7981
Lanteira;3442;51;0;51;3442;4827
Lanjarón;1881;391;0;391;1881;9610
Válor;6069;399;0;399;6069;6923
Benalúa;8408;118;0;118;8408;11881
Sorvilán;1298;78;0;78;1298;4732
Láchar;478;262;0;262;478;31979
Vegas del Genil;379;567;0;567;379;50138
Nigüelas;0;272;0;272;0;22860
Cijuela;0;159;0;159;0;20583
Ferreira;3789;165;244;165;4033;5532
Albondón;936;167;0;167;936;7388
Fuente Vaqueros;95;269;0;269;95;27199
Cúllar Vega;718;320;0;320;718;40640
Busquístar;306;143;0;143;306;3548
Beas de Granada;0;182;0;182;0;9158
Ugíjar;1395;496;0;496;1395;21530
Loja;19217;3497;53;3497;19270;75252
Granada;20705;17673;178;17673;20883;221787
Moclín;3465;592;0;592;3465;29609
Domingo Pérez de Granada;0;206;0;206;0;6088
Motril;4753;3732;0;3732;4753;185391
Cuevas del Campo;7736;329;0;329;7736;36513
Fonelas;0;146;0;146;0;9662
Zafarraya;0;292;0;292;0;11807
Campotéjar;1198;194;0;194;1198;10340
Dehesas de Guadix;0;88;0;88;0;5280
Cáñar;85;117;12;117;98;2761
Deifontes;2615;261;0;261;2615;18657
Armilla;955;1637;0;1637;955;61546
La Peza;1645;242;0;242;1645;9690
Pórtugos;0;141;0;141;0;3561
Los Guájares;4245;239;0;239;4245;7307
Murtas;395;143;0;143;395;9257
Gobernador;0;107;0;107;0;3890
Benamaurel;5735;625;0;625;5735;43567
Gor;6617;323;0;323;6617;7977
Dehesas Viejas;1141;134;0;134;1141;7379
Dólar;2026;117;1295;117;3320;4178
Rubite;137;203;0;203;137;5095
Vélez de Benaudalla;1396;636;0;636;1396;19063
Moraleda de Zafayona;8951;1382;26;1382;8977;41953
Las Gabias;5612;3350;142;3350;5754;85913
Morelábor;18;202;0;202;18;9127
Orce;4371;445;0;445;4371;9616
Salar;1422;552;78;552;1500;14520
Lújar;2694;254;0;254;2694;5381
Monachil;3639;1685;0;1685;3639;43383
Almuñécar;629;3958;0;3958;629;152592
Ventas de Huelma;76;134;0;134;76;9800
Torrenueva Costa;64;298;0;298;64;11168
Otívar;0;204;0;204;0;4940
Alhendín;2932;784;0;784;2932;68898
Pulianas;665;575;22;575;688;26806
Ogíjares;695;905;0;905;695;69914
Pedro Martínez;52;228;0;228;52;11449
Zújar;379;413;0;413;379;25374
