Paradas;25966;279;0;279;25966;30613
Iznatoraf;830;210;0;210;830;5884
Balanegra;1176;122;0;122;1176;11591
Castilléjar;817;324;0;324;817;25987
Vélez-Blanco;6179;320;0;320;6179;14054
Uleila del Campo;404;208;0;208;404;7401
La Lantejuela;2118;176;0;176;2118;21869
Gérgal;16233;787;0;787;16233;19477
Isla Mayor;5943;465;0;465;5943;27145
Cogollos de la Vega;4042;281;53;281;4096;10433
Jódar;11246;448;0;448;11246;38545
Alameda;3710;237;0;237;3710;22215
Antas;9389;651;0;651;9389;23441
Marmolejo;3661;578;0;578;3661;27812
Alicún;0;67;0;67;0;1563
Dúdar;35;74;0;74;35;5242
La Mojonera;1596;590;0;590;1596;33856
Villardompardo;38;88;0;88;38;4575
Turón;96;144;0;144;96;4963
Víznar;1729;265;0;265;1729;6985
Urrácal;80;37;0;37;80;2461
Monda;16331;658;0;658;16331;25652
Dos Hermanas;66623;6309;3308;6309;69932;296811
Lecrín;6343;451;0;451;6343;11913
Casariche;5149;459;0;459;5149;30612
Hinojosa del Duque;3668;915;0;915;3668;32235
Benamejí;1225;231;0;231;1225;16549
Iznalloz;163;1011;0;1011;163;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;506;588;0;588;506;52206
El Pedroso;8629;229;58;229;8687;11464
Puerto Serrano;352;425;0;425;352;29290
Maracena;150;956;0;956;150;46256
Cambil;2008;498;533;498;2541;11155
Cortes de Baza;11373;725;0;725;11373;39161
Frigiliana;4893;1227;0;1227;4893;15461
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;3025;113;0;113;3025;3025
Rincón de la Victoria;44888;5105;805;5105;45693;129761
Santa Olalla del Cala;1526;304;98;304;1624;12376
Huércal de Almería;3326;1824;158;1824;3484;69969
Quéntar;1345;156;0;156;1345;3571
San Juan del Puerto;9020;1462;0;1462;9020;27633
La Victoria;1113;149;0;149;1113;14407
Serón;8431;282;0;282;8431;8431
Soportújar;28;75;0;75;28;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;19799;273;0;273;19799;33813
Atarfe;836;3947;0;3947;836;109939
Villafranca de Córdoba;5301;305;0;305;5301;19373
Luque;3580;359;0;359;3580;13039
Arjona;641;1484;0;1484;641;20277
Santa Fe de Mondújar;46;182;0;182;46;1612
Cañaveral de León;2514;41;0;41;2514;2514
Jérez del Marquesado;33;585;0;585;33;11083
Archidona;20679;767;0;767;20679;29929
Los Barrios;59419;2044;0;2044;59419;75471
Agrón;0;69;0;69;0;3973
Marinaleda;8549;182;0;182;8549;13537
