Llanera;25932;3026;0;3026;25932;53468
Valdés;120416;3543;1073;3543;121489;136188
Morcín;7662;750;1614;750;9276;9869
Cangas de Onís;17255;2824;315;2824;17571;21072
Villaviciosa;29029;3813;0;3813;29029;44386
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2449;743;1233;743;3682;4732
Siero;43883;12097;1343;12097;45227;91936
Cudillero;57129;2034;2531;2034;59660;60559
Ribadesella;22269;2859;46;2859;22315;37949
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12435;27243;1427;27243;13862;354025
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;333;0;333;11090;11615
Piloña;25184;2758;939;2758;26123;31815
Cangas del Narcea;132626;3202;1332;3202;133958;143492
Mieres;44004;4889;160;4889;44164;70240
Ponga;6647;655;237;655;6883;8150
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;987;0;987;12085;12085
Lena;46673;5062;1411;5062;48084;59204
Quirós;28512;4742;200;4742;28712;28712
Bimenes;5439;4330;0;4330;5439;5439
Tineo;90879;2038;82;2038;90961;94675
Peñamellera Alta;12375;700;0;700;12375;12375
Pravia;13153;941;0;941;13153;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;16021;3827;150;3827;16170;16904
Riosa;4811;461;953;461;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30134;1068;0;1068;30134;42808
Llangréu/Langreo;23936;13986;294;13986;24230;91991
Teverga;29175;809;1069;809;30244;30927
Cabranes;7160;494;628;494;7788;7788
Vegadeo;17768;770;588;770;18356;23207
Coaña;20831;908;0;908;20831;20831
Taramundi;14138;1524;179;1524;14317;15233
Corvera de Asturias;15905;1357;0;1357;15905;38463
Castrillón;46645;3302;378;3302;47023;82197
Nava;20622;768;408;768;21030;27580
Ibias;38535;1302;162;1302;38697;38697
Salas;19080;1804;148;1804;19229;28217
Gozón;24750;1797;33;1797;24783;42297
Soto del Barco;15445;674;0;674;15445;25221
San Tirso de Abres;8205;236;55;236;8261;8321
Caso;21304;2278;578;2278;21883;25294
Llanes;52773;9522;2566;9522;55339;77841
Colunga;28826;4702;540;4702;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18060;392;0;392;18060;18060
Ribadedeva;9240;718;435;718;9674;10188
Amieva;7083;635;1547;635;8630;8630
Somiedo;33550;2174;182;2174;33732;35045
Parres;10315;994;504;994;10819;16062
Onís;8124;1934;0;1934;8124;8124
Carreño;12549;1985;140;1985;12689;29200
Grandas de Salime;20549;698;0;698;20549;23436
Castropol;35641;1300;0;1300;35641;46430
Proaza;16019;432;140;432;16160;16826
Aller;21041;3830;71;3830;21112;31273
Boal;9012;1253;0;1253;9012;10952
Grau/Grado;28671;2182;366;2182;29037;43044
San Martín de Oscos;12425;259;0;259;12425;12425
Illano;16616;573;0;573;16616;16616
El Franco;9978;598;0;598;9978;17271
Villanueva de Oscos;6916;331;0;331;6916;6916
Las Regueras;6013;657;0;657;6013;6013
Peñamellera Baja;11260;628;0;628;11260;11260
Samartín del Rei Aurelio;22711;2209;192;2209;22903;42453
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;10081;756;335;756;10416;12390
Allande;42413;1394;34;1394;42448;43897
Laviana;23948;2614;0;2614;23948;33578
Muros de Nalón;6615;1509;0;1509;6615;15644
Avilés;29470;6100;2246;6100;31717;105931
Oviedo;81148;24278;2704;24278;83852;241506
Caravia;4917;813;0;813;4917;4917
