Sant Llorenç des Cardassar;10790;3362;99;3362;10889;74396
Sencelles;525;439;0;439;525;6933
Binissalem;1146;568;0;568;1146;22661
Llubí;5503;407;0;407;5503;13984
Es Mercadal;42164;4081;0;4081;42164;60467
Escorca;4128;1403;0;1403;4128;6019
Alaior;6226;3768;0;3768;6226;49913
Esporles;16217;1479;0;1479;16217;33657
Algaida;3311;1588;409;1588;3720;23363
Sóller;3902;7644;0;7644;3902;42122
Artà;6225;2026;0;2026;6225;52893
Deià;1105;1260;0;1260;1105;5227
Andratx;6714;5569;0;5569;6714;84722
Ses Salines;8202;1913;14;1913;8216;40504
Es Migjorn Gran;2795;1249;0;1249;2795;10264
Llucmajor;11559;7155;0;7155;11559;164962
Santa Eugènia;2858;360;0;360;2858;6886
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13336;26837;466;26837;13802;92340
Marratxí;29588;4704;83;4704;29672;187280
Lloseta;2718;334;0;334;2718;14900
Sant Antoni de Portmany;127131;8728;66;8728;127197;170361
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2839;820;2839;32159;51314
Petra;999;921;0;921;999;14399
Ciutadella;17368;15038;19;15038;17387;135681
Santanyí;27327;20427;465;20427;27792;130817
Campos;6394;2979;0;2979;6394;69629
Palma;84388;21534;391;21534;84780;707752
Son Servera;8798;1979;185;1979;8984;48759
Ariany;410;313;0;313;410;9383
Alcúdia;13373;4538;113;4538;13486;95484
Santa Margalida;6994;2571;0;2571;6994;75425
Selva;4995;963;0;963;4995;16729
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15835;15484;630;15484;16465;264916
Manacor;33670;18180;0;18180;33670;202372
Sant Lluís;2420;17185;0;17185;2420;70214
Capdepera;6527;4063;0;4063;6527;94576
Santa María del Camí;128;8644;0;8644;128;17671
Campanet;1665;510;0;510;1665;9614
Maria de la Salut;1445;394;0;394;1445;13230
Costitx;2436;234;0;234;2436;5141
Alaró;715;5172;0;5172;715;16239
Fornalutx;216;1304;142;1304;357;1373
Pollença;16169;13568;1365;13568;17534;82408
Sant Joan;2362;569;0;569;2362;11944
Puigpunyent;3867;683;0;683;3867;14557
Mancor de la Vall;787;224;0;224;787;5960
Felanitx;21376;4577;141;4577;21517;91375
Valldemossa;11046;2333;117;2333;11163;19698
Estellencs;2324;218;0;218;2324;4379
Sa Pobla;9114;1282;0;1282;9114;51777
Búger;236;180;0;180;236;4891
Montuïri;4360;723;0;723;4360;12210
Inca;7559;1780;0;1780;7559;64382
Santa Eulalia del Río;243471;6770;0;6770;243471;321585
Muro;4088;2269;0;2269;4088;41065
Sineu;4363;724;80;724;4443;19453
Banyalbufar;0;916;0;916;0;6287
Bunyola;4237;1726;0;1726;4237;40506
Ferreries;6541;2100;0;2100;6541;17148
Eivissa;16218;4231;28;4231;16246;78098
Porreres;1792;948;163;948;1956;15653
Sant Josep de sa Talaia;132843;8922;632;8922;133475;230279
Es Castell;61;7309;0;7309;61;28859
Consell;1441;362;0;362;1441;10735
