Santander;15560;21494;3855;21494;19415;272943
Camaleño;14150;1455;715;1455;14865;15874
Arenas de Iguña;17437;1202;0;1202;17437;19830
Valdeprado del Río;4207;684;95;684;4301;7963
Colindres;4146;654;0;654;4146;19756
Valdáliga;15421;1749;138;1749;15559;23054
Potes;214;1576;0;1576;214;7127
Castañeda;14456;339;117;339;14573;16402
Camargo;58609;2168;5667;2168;64276;111706
Corvera de Toranzo;19367;428;788;428;20154;22568
Entrambasaguas;542;3031;0;3031;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;0;2639;3164;2639;3164;130379
Penagos;7424;982;184;982;7608;13876
Liérganes;3957;1103;0;1103;3957;12251
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35168;1389;1930;1389;37098;45116
Alfoz de Lloredo;5371;677;376;677;5747;42323
Miera;1454;1166;0;1166;1454;5109
Tresviso;39;112;0;112;39;1078
Liendo;16010;271;1664;271;17674;17674
Selaya;2992;278;0;278;2992;7584
Los Tojos;3762;411;48;411;3810;3810
Castro-Urdiales;18495;8805;3388;8805;21883;92352
Vega de Pas;1533;748;0;748;1533;3404
Laredo;15323;3472;234;3472;15557;49650
Ampuero;4086;272;1543;272;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;635;0;635;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;3328;1033;0;1033;3328;53077
Tudanca;4128;169;0;169;4128;4128
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;15480;740;13;740;15493;17771
Polanco;14416;646;3208;646;17624;24740
Meruelo;10969;317;225;317;11194;14371
San Vicente de la Barquera;7322;886;613;886;7935;16126
Vega de Liébana;3367;913;0;913;3367;17487
Mazcuerras;18105;443;678;443;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7292;326;355;326;7648;12898
Rasines;1241;257;145;257;1387;1988
San Roque de Riomiera;85;1262;0;1262;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;38539;1249;1615;1249;40154;48313
Bárcena de Cicero;14492;627;1868;627;16360;27219
Santa Cruz de Bezana;25952;1122;12052;1122;38004;65687
Puente Viesgo;14732;1002;0;1002;14732;26179
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4157;416;175;416;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;5919;584;753;584;6672;8258
Villacarriedo;9810;308;0;308;9810;13715
Hermandad de Campoo de Suso;12959;1911;0;1911;12959;26638
Limpias;2715;111;1193;111;3908;6112
Peñarrubia;6270;296;0;296;6270;7972
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7752;446;141;446;7893;15483
Guriezo;10843;730;133;730;10976;12788
Valdeolea;5331;632;0;632;5331;18691
Val de San Vicente;18513;1169;393;1169;18906;28539
Arnuero;19868;647;5904;647;25772;33828
Hazas de Cesto;11534;248;69;248;11603;12117
Villaescusa;24377;873;427;873;24804;30521
Comillas;16981;804;1395;804;18376;26596
Santillana del Mar;23376;1254;4575;1254;27951;33104
Santa María de Cayón;13071;1979;444;1979;13515;37732
Solórzano;4369;249;121;249;4490;4777
Escalante;2508;220;499;220;3007;4545
Suances;24049;1290;3497;1290;27547;61654
Campoo de Enmedio;10999;1047;460;1047;11458;30364
Los Corrales de Buelna;0;8520;0;8520;0;47833
Cillorigo de Liébana;8315;671;0;671;8315;9499
Santiurde de Toranzo;14733;313;60;313;14793;18304
Voto;13297;507;966;507;14263;18985
Santoña;4618;502;966;502;5584;26697
Pesaguero;2214;183;0;183;2214;4258
Polaciones;2465;248;0;248;2465;4036
Saro;1148;75;0;75;1148;1672
Valderredible;1307;1926;0;1926;1307;36312
Medio Cudeyo;2230;3421;84;3421;2314;34835
El Astillero;13889;883;1477;883;15366;31686
Rionansa;3901;659;0;659;3901;19395
Cabuérniga;10218;616;0;616;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1919;0;1919;1252;24769
Noja;5137;1567;576;1567;5713;30267
Reinosa;4768;966;1413;966;6181;32700
Ribamontán al Mar;22744;3647;55;3647;22798;46175
Villafufre;11920;185;0;185;11920;13280
San Felices de Buelna;20175;881;0;881;20175;20308
San Miguel de Aguayo;1771;183;0;183;1771;1771
Miengo;21870;720;2327;720;24197;26475
Cartes;12431;466;1014;466;13445;16861
Torrelavega;1756;21303;0;21303;1756;125480
Ruiloba;9498;293;1314;293;10812;14405
Argoños;7637;333;4046;333;11684;23929
Riotuerto;3139;2212;164;2212;3303;18091
Ribamontán al Monte;12459;530;452;530;12911;17021
