Lezo;6459;1201;48;1201;6507;17200
Barrundia;6771;3070;0;3070;6771;24252
Gipuzkoa eta Arabako Partzuergo Orokorra;0;458;0;458;0;0
Ibarra;2369;615;0;615;2369;5473
Ibarrangelu;1421;860;0;860;1421;1421
Itsasondo;0;458;0;458;0;985
Basauri;7320;1713;66;1713;7386;42036
Leza;2346;318;0;318;2346;2346
Sestao;826;1713;264;1713;1090;21658
Lekeitio;5382;776;175;776;5557;12680
Arraia-Maeztu;11423;2994;1391;2994;12814;14915
Bidania-Goiatz;550;398;0;398;550;1872
Zizurkil;2142;711;174;711;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9140;3007;295;3007;9435;43477
Kortezubi;300;727;285;727;585;585
Zegama;234;1401;98;1401;332;3288
Peñacerrada-Urizaharra;5626;905;0;905;5626;5834
Zarautz;8497;2186;0;2186;8497;33315
Aulesti;1064;530;0;530;1064;1822
Mendexa;171;248;0;248;171;782
Gatika;864;985;0;985;864;3363
Arakaldo;3472;213;0;213;3472;3472
Deba;2626;1678;0;1678;2626;8071
Arratzua-Ubarrundia;3803;2259;0;2259;3803;14071
Gamiz-Fika;3755;1319;0;1319;3755;4622
San Millán / Donemiliaga;4181;2519;56;2519;4237;23503
Erandio;7138;2928;475;2928;7613;32496
Zigoitia;5644;4373;0;4373;5644;31975
Olaberria;796;563;0;563;796;1613
Ortuella;1919;1770;21;1770;1940;19515
Andoain;4140;2447;734;2447;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1130;0;1130;8688;11740
Valle de Arana/Harana;1064;747;0;747;1064;6090
Campezo / Kanpezu;5738;1446;104;1446;5841;8169
Irun;12249;9008;1073;9008;13322;72073
Iruña Oka/Iruña de Oca;5142;3335;0;3335;5142;34529
Laguardia;6096;2105;172;2105;6268;10847
Hondarribia/Fontarrabie;15561;4249;622;4249;16183;33909
Azkoitia;5584;1509;74;1509;5658;16861
Lizartza;840;188;0;188;840;1320
Laukiz;4419;418;239;418;4658;4658
Samaniego;1946;281;0;281;1946;2129
Urduña / Orduña;12040;1191;1270;1191;13310;16795
Villabuena de Álava/Eskuernaga;2816;313;0;313;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7510;354;1610;354;9120;9645
Larraul;0;253;33;253;33;829
Bergara;4457;2250;0;2250;4457;21865
Bermeo;5722;3629;1034;3629;6756;19011
Aia;2110;1773;161;1773;2271;5263
Lantarón;4121;1696;386;1696;4507;19608
Mañaria;196;466;177;466;374;1324
Okondo;871;991;487;991;1357;2330
Munitibar-Arbatzegi Gerrikaitz;1050;563;324;563;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;220;0;220;0;0
Garai;542;238;0;238;542;542
Mutriku;1318;1450;48;1450;1367;7955
Beasain;2960;1267;0;1267;2960;16386
Ordizia;1231;689;0;689;1231;13369
Igorre;4529;1447;0;1447;4529;8671
Labastida/Bastida;11949;1435;151;1435;12100;14460
Sondika;6618;1371;0;1371;6618;17639
Karrantza Harana / Valle de Carranza;2415;2104;2018;2104;4433;11232
Oyón/Oion;3289;1227;364;1227;3654;13639
Pasaia;2587;1111;1781;1111;4368;13217
Ubide;2353;196;48;196;2401;2401
Errenteria;9680;3429;85;3429;9764;35964
Gorliz;8837;1786;0;1786;8837;18488
