La Unión;20142;1710;108;1710;20249;75667
Ricote;535;305;0;305;535;7372
Librilla;6324;1374;0;1374;6324;24915
Cartagena;161101;38018;4119;38018;165220;760949
Blanca;758;621;73;621;831;14827
Cehegín;36302;1148;681;1148;36983;87635
Las Torres de Cotillas;22423;1546;579;1546;23002;123735
Puerto Lumbreras;5911;1766;261;1766;6172;57446
Totana;45101;1744;86;1744;45186;95586
Beniel;10873;597;0;597;10873;26964
Abarán;8455;773;0;773;8455;33039
Molina de Segura;130527;3982;418;3982;130946;344224
Alcantarilla;21148;1510;151;1510;21300;80127
Mula;12071;1458;186;1458;12258;61178
Yecla;60833;3122;790;3122;61623;106647
Ceutí;2222;1097;24;1097;2246;62430
Santomera;11586;765;0;765;11586;36027
Albudeite;764;276;127;276;891;9645
Los Alcázares;20846;2178;220;2178;21066;152166
Abanilla;23529;1254;38;1254;23567;52564
Fuente Álamo de Murcia;105451;2589;0;2589;105451;156457
Fortuna;25783;1241;0;1241;25783;66292
Ojós;228;620;0;620;228;2878
Caravaca de la Cruz;61221;1322;8;1322;61229;78810
Águilas;56718;4252;0;4252;56718;138589
Murcia;649430;32313;4601;32313;654031;1434778
Torre Pacheco;79724;17679;3029;17679;82753;285124
Alhama de Murcia;49778;2831;399;2831;50177;126119
Mazarrón;75301;3663;0;3663;75301;161585
Alguazas;9983;477;0;477;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;14340;665;151;665;14490;60278
San Javier;59962;7110;851;7110;60813;199709
Jumilla;26292;2688;2063;2688;28356;67299
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;261;0;261;1818;13746
Lorca;82675;17894;977;17894;83652;208481
Lorquí;15886;817;108;817;15994;70410
San Pedro del Pinatar;26594;2296;883;2296;27477;148873
Ulea;365;334;0;334;365;4668
Calasparra;20716;1004;100;1004;20816;67442
Moratalla;25510;6394;0;6394;25510;45232
Cieza;9387;1521;428;1521;9815;41956
Archena;6351;1089;2103;1089;8454;68630
Aledo;2514;292;0;292;2514;11252
