Llanera;25949;3046;0;3046;25949;53484
Valdés;120416;3551;1073;3551;121489;136188
Morcín;7662;750;1614;750;9276;9869
Cangas de Onís;17255;2846;315;2846;17571;21072
Villaviciosa;29029;3813;0;3813;29029;44386
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2447;743;1233;743;3680;4730
Siero;43876;12108;1343;12108;45220;91933
Cudillero;57128;2048;2531;2048;59659;60558
Ribadesella;22269;2859;46;2859;22315;37949
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12429;27323;1427;27323;13856;353754
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;333;0;333;11090;11615
Piloña;25184;2758;939;2758;26123;31815
Cangas del Narcea;133899;3243;1728;3243;135627;145161
Mieres;44004;4888;160;4888;44164;70240
Ponga;7406;756;3203;756;10609;11876
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;987;0;987;12085;12085
Lena;46672;5144;1411;5144;48083;59171
Quirós;28520;4748;200;4748;28720;28720
Bimenes;5439;4332;0;4332;5439;5439
Tineo;90879;2046;82;2046;90961;94675
Peñamellera Alta;12371;717;467;717;12838;12838
Pravia;13153;941;0;941;13153;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;12343;4412;150;4412;12492;15889
Riosa;4811;471;953;471;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30134;1068;0;1068;30134;42808
Llangréu/Langreo;23936;13986;294;13986;24230;91991
Teverga;29176;809;1069;809;30246;30929
Cabranes;7160;495;628;495;7788;7788
Vegadeo;27628;856;2896;856;30525;35374
Coaña;20831;919;0;919;20831;20831
Taramundi;14142;1529;376;1529;14518;15433
Corvera de Asturias;15905;1357;0;1357;15905;38463
Castrillón;46645;3302;378;3302;47023;82197
Nava;20644;768;408;768;21051;27602
Ibias;38580;1305;333;1305;38913;38913
Salas;25118;1846;2042;1846;27160;36148
Gozón;24750;1797;33;1797;24783;42297
Soto del Barco;15445;674;0;674;15445;25221
San Tirso de Abres;8205;237;55;237;8261;8321
Caso;21304;2281;578;2281;21883;25294
Llanes;52773;9686;2566;9686;55339;77841
Colunga;28826;4702;540;4702;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;414;619;414;18754;18754
Ribadedeva;9240;721;435;721;9674;10188
Amieva;7083;650;1547;650;8630;8630
Somiedo;33692;2187;366;2187;34057;35370
Parres;10315;994;504;994;10819;16062
Onís;8124;1960;0;1960;8124;8124
Carreño;12554;2008;140;2008;12694;29212
Grandas de Salime;20549;698;0;698;20549;23436
Castropol;35641;1305;0;1305;35641;46430
Proaza;16019;436;140;436;16160;16826
Aller;21391;3860;213;3860;21604;31765
Boal;9012;1254;0;1254;9012;10952
Grau/Grado;28671;2189;366;2189;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;593;1076;593;17812;17812
El Franco;9978;604;0;604;9978;17271
Villanueva de Oscos;6916;345;0;345;6916;6916
Las Regueras;6011;659;0;659;6011;6011
Peñamellera Baja;11260;628;0;628;11260;11260
Samartín del Rei Aurelio;22711;2209;192;2209;22903;42453
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;11296;785;1326;785;12622;14595
Allande;40928;1396;34;1396;40963;42412
Laviana;23948;2614;0;2614;23948;33578
Muros de Nalón;6615;1509;0;1509;6615;15644
Avilés;29470;6110;2246;6110;31717;105931
Oviedo;78948;24303;2704;24303;81652;239305
Caravia;4917;813;0;813;4917;4917
