La Victoria de Acentejo;1867;861;0;861;1867;24835
Gáldar;1557;2733;89;2733;1646;96924
San Cristóbal de La Laguna;56309;16217;674;16217;56984;387048
Tejeda;572;1844;0;1844;572;12099
Los Silos;852;7079;0;7079;852;20628
Los Llanos de Aridane;18193;4613;0;4613;18193;64884
Garafía;12677;3503;0;3503;12677;14496
Agüimes;3114;6945;541;6945;3654;129540
Los Realejos;31626;3525;0;3525;31626;97016
Antigua;4431;2976;0;2976;4431;101845
Yaiza;3969;10764;25083;10764;29052;183321
Puntallana;8879;1402;0;1402;8879;13949
Tijarafe;14278;2725;0;2725;14278;26307
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1042;0;1042;4561;42806
Tinajo;733;1497;0;1497;733;49466
Ingenio;553;2274;78;2274;631;100931
Arucas;1472;2466;0;2466;1472;91247
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4993;0;4993;12363;65756
Santiago del Teide;3069;9256;0;9256;3069;30832
Santa Cruz de Tenerife;26158;25832;25;25832;26182;359534
Telde;2623;6970;158;6970;2782;263619
Garachico;6790;5107;0;5107;6790;23833
Valsequillo de Gran Canaria;640;1095;0;1095;640;50402
Güímar;13851;4843;0;4843;13851;58712
Frontera;1666;5784;74;5784;1740;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50331;10345;395;10345;50726;207997
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;6088;1957;0;1957;6088;25633
Fuencaliente de la Palma;8461;1649;0;1649;8461;17802
Teguise;1672;9746;2030;9746;3702;172349
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5728;0;5728;1965;84896
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2964;2745;2964;14070;18507
Breña Baja;7767;3931;367;3931;8134;30719
Haría;323;2090;0;2090;323;47298
Santa Lucía de Tirajana;5492;2663;0;2663;5492;127224
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1233;0;1233;6982;18044
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25152;2591;0;2591;25152;32221
Adeje;36930;11332;154;11332;37083;136922
Firgas;289;827;0;827;289;32837
Granadilla de Abona;32500;8196;6678;8196;39178;147734
El Pinar de El Hierro;7489;3107;0;3107;7489;18123
Pájara;3826;10369;702;10369;4528;66113
Buenavista del Norte;6632;9535;0;9535;6632;23362
Santa Úrsula;2377;6341;0;6341;2377;55928
El Paso;13555;2751;0;2751;13555;49159
Valverde;10044;9134;107;9134;10151;42768
Guía de Isora;9735;18990;0;18990;9735;62335
San Juan de la Rambla;7131;1316;0;1316;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1267;0;1267;234;35370
Breña Alta;18634;2096;0;2096;18634;44790
Icod de los Vinos;56445;3045;0;3045;56445;104482
Alajeró;11700;1450;614;1450;12313;16638
San Sebastián de la Gomera;16888;2811;1510;2811;18398;32793
Tacoronte;16898;1517;0;1517;16898;90625
Valleseco;191;848;0;848;191;18864
La Oliva;39489;7169;529;7169;40018;222965
Puerto de la Cruz;6680;4754;0;4754;6680;65942
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19184;19043;0;19043;19184;71621
El Tanque;4870;3986;0;3986;4870;17495
Arico;14219;4350;0;4350;14219;58033
El Sauzal;6937;1182;0;1182;6937;38280
Vilaflor;3114;1812;0;1812;3114;8582
Fasnia;3544;1139;0;1139;3544;13853
Barlovento;9717;1169;0;1169;9717;13729
Vega de San Mateo;1333;1648;0;1648;1333;26966
San Bartolomé;1115;2389;2110;2389;3225;67966
Las Palmas de Gran Canaria;19417;30211;559;30211;19976;530608
Arrecife;4605;3014;0;3014;4605;125894
Tías;3624;3940;2057;3940;5681;124499
Santa Cruz de la Palma;5735;1453;0;1453;5735;25995
San Bartolomé de Tirajana;6985;31764;472;31764;7457;191272
La Matanza de Acentejo;6666;956;0;956;6666;26585
Agulo;5674;857;397;857;6071;7293
La Orotava;57577;4839;0;4839;57577;149511
Santa Brígida;1031;1518;0;1518;1031;69432
Puerto del Rosario;92460;4167;0;4167;92460;183124
Agaete;907;2072;1981;2072;2888;21136
San Nicolás de Tolentino;198;2041;0;2041;198;40115
