Santander;13887;22498;3187;22498;17074;272061
Camaleño;14150;1585;715;1585;14865;15874
Arenas de Iguña;17437;1202;0;1202;17437;19830
Valdeprado del Río;4207;685;95;685;4301;7963
Colindres;4146;654;0;654;4146;19756
Valdáliga;15421;1749;138;1749;15559;23054
Potes;214;1576;0;1576;214;7127
Castañeda;14514;342;117;342;14631;16460
Camargo;58615;2197;5667;2197;64281;111584
Corvera de Toranzo;19296;431;788;431;20084;22498
Entrambasaguas;542;3031;0;3031;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;0;2640;3164;2640;3164;130379
Penagos;7424;982;184;982;7608;13876
Liérganes;3957;1103;0;1103;3957;12251
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35321;1401;1930;1401;37251;45417
Alfoz de Lloredo;5371;677;376;677;5747;42323
Miera;1454;1166;0;1166;1454;5109
Tresviso;39;112;0;112;39;1078
Liendo;16010;271;1664;271;17674;17674
Selaya;2988;283;0;283;2988;7579
Los Tojos;3762;411;48;411;3810;3810
Castro-Urdiales;18442;8805;3388;8805;21830;92352
Vega de Pas;1533;748;0;748;1533;3404
Laredo;15323;3472;234;3472;15557;49652
Ampuero;4086;272;1543;272;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;635;0;635;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;2974;1042;0;1042;2974;53562
Tudanca;4128;169;0;169;4128;4128
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;12242;746;13;746;12255;17891
Polanco;14416;649;3208;649;17624;24740
Meruelo;89;385;0;385;89;16575
San Vicente de la Barquera;7322;886;613;886;7935;16126
Vega de Liébana;3367;914;0;914;3367;17487
Mazcuerras;18105;443;678;443;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7292;326;355;326;7648;12898
Rasines;1241;257;145;257;1387;1988
San Roque de Riomiera;85;1262;0;1262;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;38550;1272;1615;1272;40165;48511
Bárcena de Cicero;11410;671;1868;671;13278;26412
Santa Cruz de Bezana;25666;1145;11135;1145;36801;66360
Puente Viesgo;14728;1018;0;1018;14728;26139
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4157;416;175;416;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;3833;604;753;604;4585;8615
Villacarriedo;9329;318;0;318;9329;13816
Hermandad de Campoo de Suso;12959;1916;0;1916;12959;26638
Limpias;2715;111;1193;111;3908;6112
Peñarrubia;6550;307;0;307;6550;8252
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7756;446;141;446;7897;15487
Guriezo;10843;742;133;742;10976;12788
Valdeolea;5331;632;0;632;5331;18691
Val de San Vicente;18513;1172;393;1172;18906;28539
Arnuero;17064;660;4786;660;21850;33894
Hazas de Cesto;8;334;0;334;8;14870
Villaescusa;24377;873;427;873;24804;30521
Comillas;16981;804;1395;804;18376;26596
Santillana del Mar;23376;1270;4575;1270;27951;33102
Santa María de Cayón;13071;2007;444;2007;13515;37733
Solórzano;198;284;0;284;198;6553
Escalante;2288;221;499;221;2787;4545
Suances;21317;1298;3497;1298;24814;62433
Campoo de Enmedio;10999;1047;460;1047;11458;30364
Los Corrales de Buelna;0;8541;0;8541;0;47728
Cillorigo de Liébana;8315;674;0;674;8315;9499
Santiurde de Toranzo;12642;336;60;336;12702;19127
Voto;13297;507;966;507;14263;18985
Santoña;4373;512;966;512;5338;26573
Pesaguero;2214;183;0;183;2214;4258
Polaciones;2465;248;0;248;2465;4036
Saro;1148;75;0;75;1148;1672
Valderredible;1024;1964;0;1964;1024;36587
Medio Cudeyo;1695;3435;84;3435;1779;34914
El Astillero;13889;885;1477;885;15366;31686
Rionansa;3971;659;0;659;3971;19541
Cabuérniga;10218;616;0;616;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1919;0;1919;1252;24769
Noja;5137;1567;576;1567;5713;30267
Reinosa;4768;966;1413;966;6181;32701
Ribamontán al Mar;22744;3648;55;3648;22798;46175
Villafufre;11920;185;0;185;11920;13280
San Felices de Buelna;20280;969;0;969;20280;20924
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;8937;854;942;854;9879;28947
Cartes;12564;466;1014;466;13578;17237
Torrelavega;1315;24659;0;24659;1315;127936
Ruiloba;9498;293;1314;293;10812;14405
Argoños;7637;334;4046;334;11684;23929
Riotuerto;3139;2215;164;2215;3303;18088
Ribamontán al Monte;12460;534;452;534;12912;17470
