Lezo;5370;1198;48;1198;5418;17200
Barrundia;6771;3070;0;3070;6771;24252
Gipuzkoa eta Arabako Partzuergo Orokorra;0;460;0;460;0;0
Ibarra;2369;615;0;615;2369;5473
Ibarrangelu;1471;860;0;860;1471;1471
Itsasondo;0;458;0;458;0;985
Basauri;7578;1714;66;1714;7644;42136
Leza;2346;318;0;318;2346;2346
Sestao;826;1713;264;1713;1090;21658
Lekeitio;5382;776;175;776;5557;12680
Arraia-Maeztu;11423;2999;1391;2999;12814;14915
Bidania-Goiatz;550;398;0;398;550;1872
Zizurkil;2142;711;174;711;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9140;3009;295;3009;9435;43477
Kortezubi;300;728;285;728;585;585
Zegama;234;1400;98;1400;332;3288
Peñacerrada-Urizaharra;5626;905;0;905;5626;5834
Zarautz;8497;2185;0;2185;8497;33315
Aulesti;1064;530;0;530;1064;1822
Mendexa;171;248;0;248;171;782
Gatika;864;998;0;998;864;3363
Arakaldo;3472;213;0;213;3472;3472
Deba;2626;1679;0;1679;2626;8071
Arratzua-Ubarrundia;3803;2259;0;2259;3803;14071
Gamiz-Fika;3755;1319;0;1319;3755;4622
San Millán / Donemiliaga;4177;2519;56;2519;4233;23499
Erandio;6763;2945;475;2945;7237;32109
Zigoitia;5644;4594;0;4594;5644;31975
Olaberria;796;576;0;576;796;1613
Ortuella;1896;1777;21;1777;1916;19484
Andoain;4140;2446;734;2446;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1145;0;1145;8688;11740
Valle de Arana/Harana;1064;747;0;747;1064;6090
Campezo / Kanpezu;5738;1446;104;1446;5841;8169
Irun;12249;8988;1073;8988;13322;72073
Iruña Oka/Iruña de Oca;5142;3335;0;3335;5142;34529
Laguardia;6096;2147;172;2147;6268;10847
Hondarribia/Fontarrabie;15561;4246;622;4246;16183;33909
Azkoitia;5242;1520;72;1520;5314;16860
Lizartza;840;188;0;188;840;1320
Laukiz;4419;418;239;418;4658;4658
Samaniego;1946;281;0;281;1946;2129
Urduña / Orduña;12040;1191;1270;1191;13310;16795
Villabuena de Álava/Eskuernaga;2816;313;0;313;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7510;365;1610;365;9120;9645
Larraul;0;253;33;253;33;829
Bergara;4457;2253;0;2253;4457;21865
Bermeo;5722;3629;1034;3629;6756;19011
Aia;2110;1777;161;1777;2271;5263
Lantarón;4121;1696;386;1696;4507;19608
Mañaria;196;496;177;496;374;1324
Okondo;872;1066;487;1066;1359;2324
Munitibar-Arbatzegi Gerrikaitz;1050;570;324;570;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;220;0;220;0;0
Garai;542;238;0;238;542;542
Mutriku;1318;1450;48;1450;1367;7955
Beasain;2960;1268;0;1268;2960;16386
Ordizia;1231;689;0;689;1231;13369
Igorre;4529;1450;0;1450;4529;8671
Labastida/Bastida;11949;1435;151;1435;12100;14460
Sondika;6618;1371;0;1371;6618;17639
Karrantza Harana / Valle de Carranza;2415;2104;2018;2104;4433;11232
Oyón/Oion;3289;1229;364;1229;3654;13639
Pasaia;2272;1117;531;1117;2803;13217
Ubide;2353;196;48;196;2401;2401
Errenteria;7403;3431;85;3431;7488;35964
Gorliz;8837;1791;0;1791;8837;18488
Ataun;63;1401;236;1401;299;915
Enirio-Aralarko Mankomunitatea;0;1466;0;1466;0;0
Portugalete;2198;2553;783;2553;2981;35625
Elgoibar;4955;2131;0;2131;4955;18148
Lemoa;8074;705;761;705;8835;8835
Alonsotegi;538;898;136;898;674;5533
Villabona-Amasa;668;1027;0;1027;668;3336
Legutio;3421;2408;0;2408;3421;16733
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;2550;235;0;235;2550;2550
Plentzia;3473;971;78;971;3552;13014
Morga;956;720;507;720;1463;1463
Moreda de Álava;387;362;499;362;886;1828
Ribera Alta;15302;2344;374;2344;15676;18652
Urnieta;4185;1513;0;1513;4185;10445
Kuartango/Cuartango;13461;1138;468;1138;13930;13930
Aramaio;4382;2375;0;2375;4382;4851
Orozko;2490;2277;2105;2277;4595;10265
Larrabetzu;822;1029;0;1029;822;5310
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;252;0;252;192;1449
Trucios-Turtzioz;2325;388;1006;388;3330;4862
Maruri-Jatabe;3035;934;0;934;3035;3035
Lasarte-Oria;6847;1162;916;1162;7763;20432
Muskiz;7897;2409;470;2409;8368;19312
Amurrio;28723;4096;208;4096;28931;34483
Parzonería de Badaya/Badaiako partzuergoa;0;110;0;110;0;0
Galdakao;20015;3265;520;3265;20535;49198
Leaburu;300;219;0;219;300;568
Galdames;1544;959;0;959;1544;6859
Murueta;863;324;0;324;863;863
Gabiria;46;510;108;510;154;1418
Zamudio;13762;2064;0;2064;13762;22262
Orexa;458;157;0;157;458;965
Ziortza-Bolibar;727;350;0;350;727;727
Artzentales;580;830;305;830;884;975
Usurbil;12227;1505;82;1505;12309;23433
Forua;1174;577;0;577;1174;2552
Orio;4284;699;498;699;4783;11155
Zuya/Zuia;4016;3221;0;3221;4016;34583
Elburgo/Burgelu;839;1056;0;1056;839;8916
Agurain/Salvatierra;1469;1623;134;1623;1603;17091
Ermua;3311;564;412;564;3723;10855
Arrankudiaga;4772;836;281;836;5053;5219
Balmaseda;2335;858;443;858;2779;10928
Fruiz;1754;532;74;532;1828;1828
Urduliz;2209;656;0;656;2209;9254
