Palas de Rei;48117;1963;518;1963;48635;50707
O Vicedo;9200;1393;0;1393;9200;11616
Redondela;95685;2579;550;2579;96236;131567
Pontecesures;13611;204;131;204;13742;19041
Dumbría;21111;1100;1109;1100;22220;22220
Mondariz;72903;2683;13343;2683;86246;89197
Vilanova de Arousa;49885;929;5696;929;55581;61958
Guntín;24497;501;359;501;24856;26137
O Barco de Valdeorras;25797;3638;467;3638;26263;57734
Monterrei;29779;578;0;578;29779;32724
Santiago de Compostela;70415;19784;6548;19784;76962;270456
O Páramo;20001;415;122;415;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33432;1170;676;1170;34108;49814
O Porriño;54438;5551;965;5551;55403;78760
A Mezquita;11995;534;221;534;12217;16436
Frades;8243;2442;79;2442;8322;20018
Vilamarín;24178;420;517;420;24695;24695
Malpica de Bergantiños;53706;1766;2675;1766;56381;62845
Barro;28804;559;113;559;28916;29020
Baltar;18730;473;0;473;18730;20854
Sada;27237;8392;4419;8392;31655;73463
Boimorto;7374;657;0;657;7374;7374
O Incio;36005;698;0;698;36005;36862
Castroverde;52442;907;0;907;52442;54335
Paradela;31647;627;85;627;31732;31893
Begonte;18245;902;91;902;18336;20490
Irixoa;5645;1286;568;1286;6213;6675
A Guarda;26006;2053;0;2053;26006;46849
A Gudiña;14158;851;0;851;14158;20232
A Teixeira;7588;136;0;136;7588;8683
Fisterra;13846;1319;6802;1319;20648;28806
Entrimo;19388;372;0;372;19388;19449
Vilar de Barrio;20035;403;102;403;20137;22953
Alfoz;17299;602;905;602;18204;18204
Oroso;11726;1574;481;1574;12207;20848
Ribas de Sil;14367;487;616;487;14983;16295
Laza;28384;787;653;787;29038;32907
Trazo;8497;1096;433;1096;8930;9758
Riós;35013;798;39;798;35052;35052
Bande;29068;570;0;570;29068;30430
Pol;41187;915;29;915;41216;42011
Montederramo;19385;568;0;568;19385;19449
Triacastela;13429;288;0;288;13429;13429
Viveiro;8118;7662;992;7662;9110;20417
As Pontes de García Rodríguez;15039;3785;170;3785;15209;44587
Coles;36181;590;0;590;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;6867;314;181;314;7049;7715
A Pobra do Brollón;32430;830;0;830;32430;34084
Toques;12085;445;0;445;12085;12085
Beade;5681;45;0;45;5681;5681
Piñor;17496;474;0;474;17496;17496
Carballo;65590;2969;972;2969;66562;121654
Vigo;136970;14169;28952;14169;165922;549592
Carballedo;48654;825;0;825;48654;48654
A Pobra de Trives;26958;603;608;603;27566;33388
Gondomar;39119;1022;5351;1022;44470;47193
Cangas;44689;2094;20129;2094;64818;103012
Sarria;70215;2744;125;2744;70340;94143
Cerceda;2859;2627;194;2627;3053;16877
Valga;32393;616;0;616;32393;32393
Xunqueira de Ambía;18690;558;0;558;18690;20185
Vilar de Santos;13350;186;0;186;13350;14274
Teo;14854;6614;3127;6614;17981;31529
