La Unión;20142;1710;108;1710;20249;75667
Ricote;535;305;0;305;535;7372
Librilla;6324;1374;0;1374;6324;24915
Cartagena;161101;38020;4119;38020;165220;760949
Blanca;758;621;73;621;831;14827
Cehegín;36302;1206;681;1206;36983;87635
Las Torres de Cotillas;22127;1572;579;1572;22706;123439
Puerto Lumbreras;5911;1766;261;1766;6172;57446
Totana;45101;1757;86;1757;45186;95586
Beniel;10873;597;0;597;10873;26964
Abarán;8455;773;0;773;8455;33039
Molina de Segura;130527;4020;418;4020;130946;344224
Alcantarilla;21148;1513;151;1513;21300;80127
Mula;12071;1486;186;1486;12258;61178
Yecla;60833;3192;790;3192;61623;106647
Ceutí;2222;1100;24;1100;2246;62430
Santomera;11586;769;0;769;11586;36027
Albudeite;764;276;127;276;891;9645
Los Alcázares;20846;2180;220;2180;21066;152166
Abanilla;23529;1254;38;1254;23567;52564
Fuente Álamo de Murcia;105451;2589;0;2589;105451;156457
Fortuna;25783;1241;0;1241;25783;66292
Ojós;228;622;0;622;228;2878
Caravaca de la Cruz;61221;1354;8;1354;61229;78810
Águilas;56718;4251;0;4251;56718;138589
Murcia;649310;32371;4601;32371;653911;1434782
Torre Pacheco;79724;17679;3029;17679;82753;285124
Alhama de Murcia;49778;2834;399;2834;50177;126119
Mazarrón;75301;3686;0;3686;75301;161585
Alguazas;9983;480;0;480;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;18346;726;151;726;18497;64285
San Javier;59962;7113;851;7113;60813;199709
Jumilla;22330;2740;2063;2740;24393;63336
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;261;0;261;1818;13746
Lorca;82675;17921;977;17921;83652;208481
Lorquí;15886;820;108;820;15994;70410
San Pedro del Pinatar;26594;2297;883;2297;27477;148871
Ulea;365;334;0;334;365;4668
Calasparra;21185;1064;100;1064;21284;67910
Moratalla;25510;6392;0;6392;25510;45232
Cieza;9387;1521;428;1521;9815;41956
Archena;6351;1110;2103;1110;8454;68630
Aledo;2514;292;0;292;2514;11252
