Sant Llorenç des Cardassar;10790;3373;99;3373;10889;72149
Sencelles;525;439;0;439;525;6933
Binissalem;1146;570;0;570;1146;22661
Llubí;5503;421;0;421;5503;13984
Es Mercadal;42164;4102;0;4102;42164;60467
Escorca;4128;1406;0;1406;4128;6019
Alaior;6226;4054;0;4054;6226;49907
Esporles;16217;1483;0;1483;16217;33657
Algaida;3311;1588;409;1588;3720;23363
Sóller;3813;7655;0;7655;3813;42349
Artà;6225;2047;0;2047;6225;52893
Deià;1022;1260;0;1260;1022;5227
Andratx;6823;5577;0;5577;6823;84866
Ses Salines;6636;1927;14;1927;6650;38938
Es Migjorn Gran;2795;1302;0;1302;2795;10264
Llucmajor;11469;7174;0;7174;11469;165066
Santa Eugènia;2858;361;0;361;2858;6886
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13336;26957;466;26957;13802;92342
Marratxí;29588;4718;83;4718;29672;187280
Lloseta;2718;334;0;334;2718;14900
Sant Antoni de Portmany;127131;8729;66;8729;127197;170362
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2988;250;2988;31589;50744
Petra;999;923;0;923;999;14398
Ciutadella;17283;19565;19;19565;17302;135965
Santanyí;26962;20515;420;20515;27383;130624
Campos;6394;2995;0;2995;6394;69629
Palma;83648;21800;391;21800;84039;706215
Son Servera;8798;1981;185;1981;8984;48759
Ariany;378;316;0;316;378;9353
Alcúdia;13246;4603;113;4603;13359;95353
Santa Margalida;6994;2606;0;2606;6994;75424
Selva;4728;975;0;975;4728;16868
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15780;15861;920;15861;16700;265214
Manacor;33889;18645;0;18645;33889;202624
Sant Lluís;2420;17345;0;17345;2420;70214
Capdepera;8001;4188;0;4188;8001;98429
Santa María del Camí;128;8648;0;8648;128;17671
Campanet;1665;518;0;518;1665;9614
Maria de la Salut;1445;394;0;394;1445;13230
Costitx;2436;234;0;234;2436;5141
Alaró;715;5201;0;5201;715;16239
Fornalutx;216;1306;142;1306;357;1373
Pollença;16169;13577;1382;13577;17552;82426
Sant Joan;2362;569;0;569;2362;11944
Puigpunyent;3867;687;0;687;3867;14557
Mancor de la Vall;787;229;0;229;787;5960
Felanitx;21350;4596;141;4596;21491;91375
Valldemossa;11046;2338;117;2338;11163;19698
Estellencs;2324;222;0;222;2324;4379
Sa Pobla;8834;1309;0;1309;8834;51777
Búger;236;187;0;187;236;4891
Montuïri;4360;722;0;722;4360;12210
Inca;7577;1784;0;1784;7577;64397
Santa Eulalia del Río;243503;6770;0;6770;243503;321624
Muro;3732;2289;0;2289;3732;41099
Sineu;4363;726;80;726;4443;19453
Banyalbufar;0;917;0;917;0;6287
Bunyola;3861;1740;0;1740;3861;40506
Ferreries;6541;2224;0;2224;6541;17134
Eivissa;16263;4235;28;4235;16291;78245
Porreres;1792;952;163;952;1956;15653
Sant Josep de sa Talaia;132844;8938;632;8938;133476;230280
Es Castell;61;7311;0;7311;61;28859
Consell;1441;363;0;363;1441;10735
