La Victoria de Acentejo;1656;873;0;873;1656;25234
Gáldar;1557;2733;89;2733;1646;96924
San Cristóbal de La Laguna;56956;16268;674;16268;57630;388550
Tejeda;572;1844;0;1844;572;12099
Los Silos;852;7079;0;7079;852;20628
Los Llanos de Aridane;18001;4660;0;4660;18001;64769
Garafía;12677;3502;0;3502;12677;14496
Agüimes;3114;6953;541;6953;3654;129540
Los Realejos;31632;4630;0;4630;31632;97029
Antigua;4431;2976;0;2976;4431;101845
Yaiza;3969;10774;25083;10774;29052;183321
Puntallana;8879;1403;0;1403;8879;13949
Tijarafe;14278;2729;0;2729;14278;26307
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1047;0;1047;4561;42806
Tinajo;733;1503;0;1503;733;49466
Ingenio;553;2499;78;2499;631;100971
Arucas;1472;2469;0;2469;1472;91247
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4992;0;4992;12363;65754
Santiago del Teide;3069;9278;0;9278;3069;30832
Santa Cruz de Tenerife;25891;26068;25;26068;25916;359554
Telde;2623;6970;158;6970;2782;263619
Garachico;6790;5107;0;5107;6790;23833
Valsequillo de Gran Canaria;640;1095;0;1095;640;50402
Güímar;13851;4844;0;4844;13851;58902
Frontera;1666;5776;74;5776;1740;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50331;10346;395;10346;50726;207997
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;6088;1957;0;1957;6088;25633
Fuencaliente de la Palma;8461;1649;0;1649;8461;17802
Teguise;1673;9798;2030;9798;3703;172354
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5734;0;5734;1965;84896
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2964;2745;2964;14070;18507
Breña Baja;7767;3931;367;3931;8134;30719
Haría;323;2090;0;2090;323;47298
Santa Lucía de Tirajana;5492;2663;0;2663;5492;127224
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1233;0;1233;6982;18044
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25152;2591;0;2591;25152;32221
Adeje;36099;11415;154;11415;36252;135935
Firgas;289;828;0;828;289;32837
Granadilla de Abona;32500;8240;6678;8240;39178;147737
El Pinar de El Hierro;7489;3107;0;3107;7489;18123
Pájara;3696;10478;1078;10478;4774;66456
Buenavista del Norte;6632;9538;0;9538;6632;23362
Santa Úrsula;3081;6379;0;6379;3081;57792
El Paso;13555;2753;0;2753;13555;49159
Valverde;10044;9134;107;9134;10151;42768
Guía de Isora;9735;18990;0;18990;9735;62335
San Juan de la Rambla;7131;1316;0;1316;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1267;0;1267;234;35370
Breña Alta;18634;2096;0;2096;18634;44790
Icod de los Vinos;56445;3045;0;3045;56445;104482
Alajeró;11700;1450;614;1450;12313;16638
San Sebastián de la Gomera;16888;2811;1510;2811;18398;32793
Tacoronte;16898;1517;0;1517;16898;90625
Valleseco;191;848;0;848;191;18864
La Oliva;39489;7170;529;7170;40018;222965
Puerto de la Cruz;6680;4784;0;4784;6680;66236
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19184;19043;0;19043;19184;71621
El Tanque;4853;3983;0;3983;4853;17495
Arico;14219;4355;0;4355;14219;58033
El Sauzal;6937;1182;0;1182;6937;38280
Vilaflor;3114;1812;0;1812;3114;8582
Fasnia;3544;1140;0;1140;3544;13853
Barlovento;9717;1169;0;1169;9717;13730
Vega de San Mateo;1333;1648;0;1648;1333;26966
San Bartolomé;1115;2398;2110;2398;3225;67966
Las Palmas de Gran Canaria;19417;30436;559;30436;19976;530502
Arrecife;4605;3013;0;3013;4605;125894
Tías;3624;3949;2057;3949;5681;123914
Santa Cruz de la Palma;5845;1466;0;1466;5845;26158
San Bartolomé de Tirajana;6985;31887;472;31887;7457;191266
La Matanza de Acentejo;6664;1020;0;1020;6664;26584
Agulo;5674;857;397;857;6071;7293
La Orotava;57577;4859;0;4859;57577;149511
Santa Brígida;1031;1518;0;1518;1031;69432
Puerto del Rosario;92460;4167;0;4167;92460;183124
Agaete;907;2079;1981;2079;2888;21136
San Nicolás de Tolentino;198;2041;0;2041;198;40115
