Santander;13957;25539;3187;25539;17143;272758
Camaleño;14150;1586;715;1586;14865;15874
Arenas de Iguña;17437;1201;0;1201;17437;19830
Valdeprado del Río;4207;685;95;685;4301;7963
Colindres;4146;655;0;655;4146;19921
Valdáliga;16109;1765;138;1765;16247;23747
Potes;214;1578;461;1578;675;7592
Castañeda;14514;342;117;342;14631;16460
Camargo;58782;2198;5667;2198;64449;113011
Corvera de Toranzo;19758;434;788;434;20545;22959
Entrambasaguas;542;3031;0;3031;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;11202;628;1716;628;12918;30284
Piélagos;0;2639;3164;2639;3164;130379
Penagos;7178;1083;184;1083;7362;13629
Liérganes;4387;1155;0;1155;4387;12681
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35321;1401;1930;1401;37251;45417
Alfoz de Lloredo;5371;680;376;680;5747;42323
Miera;1454;1166;0;1166;1454;5109
Tresviso;39;112;0;112;39;1078
Liendo;15623;271;1664;271;17287;17674
Selaya;2988;283;0;283;2988;7579
Los Tojos;3762;412;48;412;3810;3810
Castro-Urdiales;18442;8802;3388;8802;21830;92352
Vega de Pas;1472;759;61;759;1533;3404
Laredo;15323;3472;234;3472;15557;49652
Ampuero;4086;272;1543;272;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;636;0;636;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;2974;1043;0;1043;2974;53562
Tudanca;4383;184;643;184;5026;5376
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;12242;746;13;746;12255;17891
Polanco;14416;650;3208;650;17624;24740
Meruelo;89;385;0;385;89;16575
San Vicente de la Barquera;7320;926;641;926;7961;16775
Vega de Liébana;4314;935;381;935;4694;18826
Mazcuerras;18105;443;678;443;18783;21528
Luena;4816;505;0;505;4816;5815
Cabezón de Liébana;7359;342;897;342;8256;13506
Rasines;1241;257;145;257;1387;1988
San Roque de Riomiera;85;1262;0;1262;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;38935;1281;1615;1281;40549;49114
Bárcena de Cicero;11410;731;1868;731;13278;26412
Santa Cruz de Bezana;25666;1148;11135;1148;36801;66361
Puente Viesgo;14446;1033;0;1033;14446;25862
Molledo;14809;1126;0;1126;14809;18142
Arredondo;4157;416;175;416;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;3833;604;753;604;4585;8615
Villacarriedo;9329;332;0;332;9329;14418
Hermandad de Campoo de Suso;13051;1916;74;1916;13124;26804
Limpias;2715;114;1193;114;3908;6112
Peñarrubia;6550;307;0;307;6550;8252
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7756;447;141;447;7897;15487
Guriezo;10843;742;133;742;10976;12788
Valdeolea;5331;636;0;636;5331;18691
Val de San Vicente;18661;1179;393;1179;19054;28687
Arnuero;8790;715;910;715;9699;35465
Hazas de Cesto;8;350;0;350;8;14869
Villaescusa;24377;874;427;874;24804;30521
Comillas;16976;808;1395;808;18371;26596
Santillana del Mar;23376;1270;4575;1270;27951;33102
Santa María de Cayón;13072;2158;444;2158;13516;37733
Solórzano;198;286;0;286;198;6553
Escalante;65;253;0;253;65;4327
Suances;21317;1300;3497;1300;24814;62433
Campoo de Enmedio;10999;1056;460;1056;11458;30364
Los Corrales de Buelna;491;8603;0;8603;491;48277
Cillorigo de Liébana;8315;678;0;678;8315;9499
Santiurde de Toranzo;13292;363;76;363;13368;19793
Voto;13083;526;966;526;14049;20936
Santoña;4373;512;966;512;5338;26573
Pesaguero;6019;230;1776;230;7795;9840
Polaciones;2896;288;914;288;3810;5803
Saro;1148;75;0;75;1148;1672
Valderredible;1024;1964;0;1964;1024;36587
Medio Cudeyo;1811;3449;281;3449;2093;35809
El Astillero;13974;948;1477;948;15451;31777
Rionansa;3971;673;184;673;4156;19728
Cabuérniga;10218;616;0;616;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1924;0;1924;1252;24956
Noja;5137;1577;576;1577;5713;30267
Reinosa;4768;966;1413;966;6181;32701
Ribamontán al Mar;22744;3653;55;3653;22798;46318
Villafufre;12141;194;0;194;12141;13502
San Felices de Buelna;20280;970;0;970;20280;20924
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;7958;907;942;907;8900;30028
Cartes;12564;466;1014;466;13578;17237
Torrelavega;1315;24594;0;24594;1315;127936
Ruiloba;9498;293;1314;293;10812;14405
Argoños;7637;334;4046;334;11684;23929
Riotuerto;3139;2215;164;2215;3303;18088
Ribamontán al Monte;12460;534;452;534;12912;17470
