Palau-sator;0;585;0;585;0;3271
Riner;508;459;0;459;508;1576
el Prat de Llobregat;328;9950;0;9950;328;70368
Sant Esteve de Palautordera;439;269;0;269;439;16225
Verdú;3036;687;0;687;3036;6559
Vilafant;120;1193;0;1193;120;28760
Regencós;0;91;0;91;0;1840
Massanes;1072;198;0;198;1072;10647
Sant Miquel de Campmajor;0;750;0;750;0;1101
Fígols i Alinyà;0;409;0;409;0;3438
Olesa de Bonesvalls;0;331;0;331;0;27478
Navàs;129;1116;0;1116;129;22088
Gavà;249;2014;0;2014;249;71095
Lleida;2763;10308;38;10308;2802;229529
Vilaür;0;311;0;311;0;1995
Banyoles;205;4932;570;4932;775;65120
Campelles;552;124;0;124;552;2084
el Brull;42;718;0;718;42;1106
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;118;0;118;27;7788
Riu de Cerdanya;676;152;0;152;676;1946
Naut Aran;8337;3069;599;3069;8936;25300
Torrent;0;262;0;262;0;2557
Montagut i Oix;657;834;0;834;657;5026
Preixana;1226;210;0;210;1226;4166
Das;2716;245;0;245;2716;7382
Torrelavit;0;310;0;310;0;6163
Santa Bàrbara;1024;984;0;984;1024;33320
Capellades;0;217;0;217;0;14824
Alpens;603;121;863;121;1466;3388
Sant Pere de Torelló;1654;907;0;907;1654;13571
Alfarràs;3729;1195;0;1195;3729;11606
Solsona;3706;2723;0;2723;3706;34618
Nalec;316;142;0;142;316;1762
Tordera;6049;2205;131;2205;6181;98398
Cubelles;52;1331;0;1331;52;75299
Lluçà;0;364;0;364;0;1057
Pontons;0;338;0;338;0;6910
Vilanova i la Geltrú;31;21797;0;21797;31;149981
Santa Oliva;29;395;0;395;29;23915
Matadepera;0;2159;0;2159;0;88054
Granollers;4807;8941;30;8941;4836;94722
Sant Quirze del Vallès;3087;1827;266;1827;3353;91292
Alella;1330;702;1318;702;2648;55760
Salomó;0;108;0;108;0;4753
Sant Feliu de Guíxols;1335;10450;325;10450;1660;87426
Fontanals de Cerdanya;1570;566;150;566;1720;14287
Salt;0;1341;0;1341;0;31035
Valls;3339;1512;0;1512;3339;84759
Montferri;327;184;0;184;327;3618
Vilabertran;0;59;0;59;0;3115
Sant Ferriol;0;592;0;592;0;193
la Pobla de Massaluca;391;146;0;146;391;2409
Castell-Platja d'Aro;1915;6203;0;6203;1915;108838
Torroja del Priorat;652;93;0;93;652;2136
Planoles;652;285;0;285;652;5471
Talarn;19;733;0;733;19;7093
Montoliu de Lleida;382;98;0;98;382;4939
Vilaplana;0;389;0;389;0;2305
Susqueda;0;271;0;271;0;225
Clariana de Cardener;0;433;0;433;0;293
la Morera de Montsant;1044;691;0;691;1044;2045
Montferrer i Castellbò;3333;847;0;847;3333;18064
Sant Esteve de la Sarga;0;691;0;691;0;2846
Santa Coloma de Farners;0;3217;0;3217;0;53134
Prat de Comte;0;116;0;116;0;1909
Tavèrnoles;213;225;0;225;213;2014
l'Albiol;1045;143;0;143;1045;6189
Granera;0;298;0;298;0;1465
Solivella;289;347;0;347;289;4619
Jafre;305;110;0;110;305;3913
Santa Pau;489;1569;77;1569;565;6856
el Bruc;0;1085;0;1085;0;21272
Pinell de Solsonès;200;475;0;475;200;617
Sant Boi de Lluçanès;1132;248;1273;248;2406;6716
Aiguamúrcia;2412;541;148;541;2559;17143
Seva;1045;893;0;893;1045;54605
Santa Maria de Merlès;84;386;0;386;84;243
Font-rubí;0;528;0;528;0;8328
Caldes de Malavella;7790;992;0;992;7790;74807
Crespià;53;226;30;226;83;2589
Vidreres;8206;763;0;763;8206;72353
es Bòrdes;210;274;0;274;210;3365
Ogassa;0;310;0;310;0;2650
Canejan;381;762;0;762;381;983
Alins;0;1577;11;1577;11;4352
Vinyols i els Arcs;1359;778;0;778;1359;10619
Biosca;0;832;0;832;0;2516
Farrera;3;426;0;426;3;2182
Sant Pere Pescador;79;1338;0;1338;79;17107
Montblanc;4857;3499;149;3499;5006;35105
la Coma i la Pedra;6069;743;0;743;6069;11537
Roda de Ter;3639;215;0;215;3639;20870
La Guingueta d'Àneu;1779;930;1149;930;2927;5961
Puigverd d'Agramunt;388;250;0;250;388;2581
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;1195;96;371;96;1566;3353
Flix;4646;1234;0;1234;4646;21691
Vilallonga del Camp;239;156;13;156;253;9436
Cadaqués;0;2842;0;2842;0;30099
Sant Aniol de Finestres;233;647;154;647;388;1621
Torroella de Fluvià;0;519;0;519;0;7123
Gualta;145;261;0;261;145;4222
Passanant i Belltall;0;642;0;642;0;3169
el Cogul;0;611;0;611;0;2147
les Franqueses del Vallès;6681;1622;0;1622;6681;65001
Canyelles;15;604;0;604;15;53042
Santa Eulàlia de Ronçana;1217;412;94;412;1311;52059
Torre-serona;19;190;0;190;19;6505
Fulleda;898;136;0;136;898;1935
la Bisbal del Penedès;250;622;0;622;250;57868
l'Espluga Calba;870;173;0;173;870;3397
Capolat;0;304;0;304;0;141
Garrigàs;0;495;0;495;0;3279
Ivorra;476;241;0;241;476;1312
Vilajuïga;0;1031;0;1031;0;8258
Tona;2252;716;175;716;2427;36943
Mura;0;1489;0;1489;0;3839
Pals;1336;1574;244;1574;1580;40155
la Jonquera;0;1545;0;1545;0;18781
la Torre de Claramunt;0;319;0;319;0;42171
Sant Adrià de Besòs;0;5913;0;5913;0;28259
Sant Mori;0;273;0;273;0;1992
la Pobla de Cérvoles;158;818;0;818;158;2313
Nulles;393;104;34;104;427;3870
Terrassa;1254;11339;0;11339;1254;341557
Riudecanyes;2733;315;0;315;2733;12884
Pont de Molins;0;272;0;272;0;3881
Saldes;316;788;0;788;316;3864
Martorell;974;1864;0;1864;974;45385
Cassà de la Selva;2769;766;0;766;2769;36985
Sant Feliu de Codines;1092;534;15;534;1107;25818
el Pla de Santa Maria;2677;622;41;622;2718;26829
Ullastret;0;151;0;151;0;3476
Vinebre;458;225;0;225;458;3539
Montellà i Martinet;2839;377;0;377;2839;6710
Torroella de Montgrí;505;5961;0;5961;505;72038
Almatret;1297;782;0;782;1297;3400
Sudanell;464;151;112;151;576;6930
Sant Joan Despí;94;2173;0;2173;94;35724
la Vall de Bianya;3828;750;0;750;3828;5868
Molló;877;752;0;752;877;6809
Aiguafreda;447;487;54;487;501;14577
Móra la Nova;1613;435;0;435;1613;13837
