Lezo;5370;1198;48;1198;5418;17200
Barrundia;6771;3070;0;3070;6771;24252
Gipuzkoa eta Arabako Partzuergo Orokorra;0;463;0;463;0;0
Ibarra;2369;615;0;615;2369;5473
Ibarrangelu;1471;860;0;860;1471;1471
Itsasondo;0;458;0;458;0;985
Basauri;7580;1741;66;1741;7645;42137
Leza;2346;318;0;318;2346;2346
Sestao;826;1713;264;1713;1090;21658
Lekeitio;5382;776;175;776;5557;12680
Arraia-Maeztu;11423;3005;1391;3005;12814;14915
Bidania-Goiatz;550;399;0;399;550;1872
Zizurkil;2142;712;174;712;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9140;3010;295;3010;9435;43477
Kortezubi;300;728;285;728;585;585
Zegama;234;1400;98;1400;332;3288
Peñacerrada-Urizaharra;5626;908;0;908;5626;5834
Zarautz;8497;2190;0;2190;8497;33315
Aulesti;1064;530;0;530;1064;1822
Mendexa;171;248;0;248;171;782
Gatika;864;1023;0;1023;864;3363
Arakaldo;3472;213;0;213;3472;3472
Deba;2626;1685;0;1685;2626;8071
Arratzua-Ubarrundia;3803;2295;0;2295;3803;14071
Gamiz-Fika;3755;1295;0;1295;3755;4622
San Millán / Donemiliaga;4177;2521;56;2521;4233;23499
Erandio;6763;2959;475;2959;7237;32109
Zigoitia;5644;4594;0;4594;5644;31975
Olaberria;796;578;0;578;796;1613
Ortuella;1896;1777;21;1777;1916;19484
Andoain;4140;2451;734;2451;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1145;0;1145;8688;11740
Valle de Arana/Harana;1064;747;0;747;1064;6090
Campezo / Kanpezu;5738;1446;104;1446;5841;8169
Irun;12324;9016;1073;9016;13397;72147
Iruña Oka/Iruña de Oca;5142;3335;0;3335;5142;34529
Laguardia;6096;2147;172;2147;6268;10847
Hondarribia/Fontarrabie;15597;4246;622;4246;16218;33945
Azkoitia;5242;1530;72;1530;5314;16860
Lizartza;840;188;0;188;840;1320
Laukiz;4419;418;239;418;4658;4658
Samaniego;1946;283;0;283;1946;2129
Urduña / Orduña;12040;1194;1270;1194;13310;16795
Villabuena de Álava/Eskuernaga;2816;320;0;320;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7510;365;1610;365;9120;9645
Larraul;0;253;33;253;33;829
Bergara;4457;2261;0;2261;4457;21865
Bermeo;5775;3664;1034;3664;6808;19063
Aia;2110;1782;161;1782;2271;5263
Lantarón;4121;1696;386;1696;4507;19608
Mañaria;196;497;177;497;374;1324
Okondo;872;1066;487;1066;1359;2324
Munitibar-Arbatzegi Gerrikaitz;1050;570;324;570;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;220;0;220;0;0
Garai;542;240;0;240;542;542
Mutriku;1318;1451;48;1451;1367;7955
Beasain;2960;1275;0;1275;2960;16386
Ordizia;1231;693;0;693;1231;13369
Igorre;4529;1450;0;1450;4529;8671
Labastida/Bastida;12153;1454;151;1454;12303;14663
Sondika;6618;1375;0;1375;6618;17639
Karrantza Harana / Valle de Carranza;2415;2104;2018;2104;4433;11232
Oyón/Oion;3289;1230;364;1230;3654;13639
Pasaia;2260;1118;531;1118;2791;13195
Ubide;2353;196;48;196;2401;2401
Errenteria;7403;3456;85;3456;7488;36029
Gorliz;8837;1791;0;1791;8837;18488
Ataun;63;1401;236;1401;299;915
Enirio-Aralarko Mankomunitatea;0;1466;0;1466;0;0
Portugalete;2198;2553;783;2553;2981;35625
Elgoibar;4955;2138;0;2138;4955;18148
Lemoa;8074;705;761;705;8835;8835
Alonsotegi;538;898;136;898;674;5533
Villabona-Amasa;736;1031;0;1031;736;3404
Legutio;3421;2407;0;2407;3421;16733
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;2550;235;0;235;2550;2550
Plentzia;3473;971;78;971;3552;13014
Morga;956;715;507;715;1463;1463
Moreda de Álava;387;362;499;362;886;1828
Ribera Alta;15302;2344;374;2344;15676;18652
Urnieta;4185;1518;0;1518;4185;10445
Kuartango/Cuartango;13461;1140;468;1140;13930;13930
Aramaio;4382;2383;0;2383;4382;4851
Orozko;2490;2346;2105;2346;4595;10265
Larrabetzu;822;1074;0;1074;822;5310
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;252;0;252;192;1449
Trucios-Turtzioz;2325;388;1006;388;3330;4862
Maruri-Jatabe;3035;957;0;957;3035;3035
Lasarte-Oria;6847;1166;916;1166;7763;20432
Muskiz;7897;2409;470;2409;8368;19312
Amurrio;29068;4116;208;4116;29275;34827
Parzonería de Badaya/Badaiako partzuergoa;0;110;0;110;0;0
Galdakao;19348;3269;520;3269;19867;49198
Leaburu;300;220;0;220;300;568
Galdames;1544;959;0;959;1544;6859
Murueta;863;324;0;324;863;863
Gabiria;46;512;108;512;154;1418
Zamudio;13933;2092;0;2092;13933;22433
Orexa;458;157;0;157;458;965
Ziortza-Bolibar;727;350;0;350;727;727
Artzentales;580;830;305;830;884;975
Usurbil;12227;1512;82;1512;12309;23433
Forua;1174;577;0;577;1174;2552
Orio;2061;711;498;711;2559;11284
Zuya/Zuia;4016;3231;0;3231;4016;34583
Elburgo/Burgelu;839;1056;0;1056;839;8916
Agurain/Salvatierra;1469;1623;134;1623;1603;17091
Ermua;3311;564;412;564;3723;10855
Arrankudiaga;4772;836;281;836;5053;5219
Balmaseda;2335;858;443;858;2779;10928
Fruiz;1754;502;74;502;1828;1828
