Palas de Rei;48117;1963;518;1963;48635;50707
O Vicedo;9200;1394;0;1394;9200;11616
Redondela;95685;2581;550;2581;96236;131567
Pontecesures;13611;204;131;204;13742;19041
Dumbría;21111;1100;1109;1100;22220;22220
Mondariz;72903;2683;13343;2683;86246;89197
Vilanova de Arousa;49885;929;5696;929;55581;61958
Guntín;24497;501;359;501;24856;26137
O Barco de Valdeorras;25797;3642;467;3642;26263;57905
Monterrei;29779;578;0;578;29779;32724
Santiago de Compostela;70415;19798;6528;19798;76942;270456
O Páramo;20001;415;122;415;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33432;1170;676;1170;34108;49814
O Porriño;54438;5557;965;5557;55403;78760
A Mezquita;11995;534;221;534;12217;16436
Frades;8243;2442;79;2442;8322;20018
Vilamarín;24178;420;517;420;24695;24695
Malpica de Bergantiños;53706;1766;2675;1766;56381;62845
Barro;28813;578;113;578;28925;29029
Baltar;18730;473;0;473;18730;20854
Sada;27326;8421;4420;8421;31746;73301
Boimorto;7374;662;0;662;7374;7374
O Incio;36005;699;0;699;36005;36862
Castroverde;52442;912;0;912;52442;54335
Paradela;31647;627;85;627;31732;31893
Begonte;18245;903;91;903;18336;20490
Irixoa;5645;1294;568;1294;6213;6675
A Guarda;25606;2052;0;2052;25606;46849
A Gudiña;14158;851;0;851;14158;20232
A Teixeira;7588;136;0;136;7588;8683
Fisterra;13846;1331;6802;1331;20648;28806
Entrimo;19388;372;0;372;19388;19449
Vilar de Barrio;20035;403;102;403;20137;22953
Alfoz;17299;618;905;618;18204;18204
Oroso;11685;1584;481;1584;12166;20848
Ribas de Sil;14367;487;616;487;14983;16295
Laza;28384;787;653;787;29038;32907
Trazo;8497;1096;433;1096;8930;9758
Riós;35013;798;39;798;35052;35052
Bande;29068;570;0;570;29068;30430
Pol;40993;1171;29;1171;41022;41816
Montederramo;19385;568;0;568;19385;19449
Triacastela;13429;288;0;288;13429;13429
Viveiro;7792;7668;992;7668;8784;20091
As Pontes de García Rodríguez;15039;3841;170;3841;15209;44587
Coles;36181;590;0;590;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;6867;314;181;314;7049;7715
A Pobra do Brollón;32430;830;0;830;32430;34084
Toques;12085;445;0;445;12085;12085
Beade;5681;45;0;45;5681;5681
Piñor;17496;474;0;474;17496;17496
Carballo;65590;2969;972;2969;66562;121654
Vigo;136927;14189;28952;14189;165879;551459
Carballedo;48654;825;0;825;48654;48654
A Pobra de Trives;26958;604;608;604;27566;33388
Gondomar;38592;1022;5396;1022;43988;46655
Cangas;44751;2155;20406;2155;65157;103396
Sarria;70215;2744;125;2744;70340;94143
Cerceda;2859;2627;194;2627;3053;16877
Valga;32393;622;0;622;32393;32393
Xunqueira de Ambía;18690;558;0;558;18690;20185
Vilar de Santos;13350;186;0;186;13350;14274
Teo;14854;6635;3127;6635;17981;31529
Cabanas;19520;2355;942;2355;20461;24344
San Cibrao das Viñas;32968;1664;73;1664;33041;35107
Muras;1695;697;0;697;1695;2099
A Pontenova;47488;974;0;974;47488;47488
Monfero;18866;1190;0;1190;18866;18866
Verea;26691;345;0;345;26691;26691
Rubiá;20735;617;0;617;20735;24771
A Pastoriza;73357;1304;0;1304;73357;76782
Miño;16785;5168;1404;5168;18189;38716
Coirós;6310;1907;7747;1907;14057;14882
Ribadumia;53986;815;5953;815;59938;60350
Navia de Suarna;44054;765;2122;765;46175;47820
Porqueira;18359;290;0;290;18359;19768
Pontevedra;145965;4500;4339;4500;150303;223538
San Xoán de Río;16591;330;0;330;16591;16942
Laxe;21630;1295;1337;1295;22967;31405
Sanxenxo;80272;2113;569;2113;80840;87196
Sobrado;22142;907;1462;907;23604;23604
Melón;21413;486;180;486;21593;21593
Samos;21735;1072;0;1072;21735;22277
Foz;16250;1745;0;1745;16250;36518
Fornelos de Montes;22880;609;1767;609;24648;25060
A Coruña;2043120;335991;202080;335991;2245200;4001611
Lobios;29560;994;954;994;30514;30514
Verín;45678;1258;974;1258;46653;71647
Ares;402;7315;0;7315;402;37105
As Somozas;3501;1562;0;1562;3501;3501
Vilariño de Conso;13469;355;0;355;13469;15338
Castro de Rei;57432;1534;0;1534;57432;58943
Meira;17494;336;0;336;17494;20474
Culleredo;13673;7640;10368;7640;24041;77445
Lugo;159414;23664;376;23664;159790;340409
Cabana de Bergantiños;51957;1087;1079;1087;53037;53523
Paderne de Allariz;23381;516;95;516;23476;23476
Allariz;18736;13207;1283;13207;20019;30151
A Illa de Arousa;2270;348;431;348;2700;12008
Betanzos;15992;4579;520;4579;16511;35847
Boqueixón;8768;1013;399;1013;9167;9167
Gomesende;17616;238;0;238;17616;17616
Arzúa;16601;2761;0;2761;16601;24912
Cortegada;21273;319;0;319;21273;24303
Moaña;44798;905;31749;905;76546;85479
Val do Dubra;19761;1252;409;1252;20169;23167
Lobeira;18821;303;0;303;18821;19566
Brión;21325;1634;911;1634;22236;27302
Lourenzá;22352;706;0;706;22352;24978
Tui;52598;3686;2129;3686;54727;69257
Esgos;16471;384;0;384;16471;16471
Dozón;16242;342;162;342;16403;16403
Poio;30776;3518;0;3518;30776;102801
Paderne;15123;2048;1588;2048;16711;22574
Baiona;20375;1207;1071;1207;21446;55934
Moeche;1973;2021;161;2021;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;134051;5816;1621;5816;135672;152349
O Pereiro de Aguiar;47805;1439;914;1439;48720;50755
Narón;9415;16951;4748;16951;14164;92756
Soutomaior;17395;469;1185;469;18580;26018
Rianxo;57481;1714;251;1714;57732;64259
Castro Caldelas;20804;596;38;596;20842;28651
Bueu;22525;5447;29777;5447;52302;65196
O Saviñao;61117;1094;0;1094;61117;68120
Vedra;30165;2461;4563;2461;34727;35678
Vilardevós;35502;584;103;584;35605;37569
Petín;7169;233;739;233;7908;12882
Cervantes;43614;1285;385;1285;43999;44270
Vimianzo;63111;1847;1103;1847;64214;69361
Sandiás;15143;412;0;412;15143;15329
Láncara;40459;836;195;836;40654;45199
