La Unión;20142;1710;108;1710;20249;75667
Ricote;535;305;0;305;535;7372
Librilla;6324;1374;0;1374;6324;24915
Cartagena;160908;38028;4119;38028;165027;760949
Blanca;758;621;73;621;831;14827
Cehegín;36302;1206;681;1206;36983;87635
Las Torres de Cotillas;22127;1608;579;1608;22706;123498
Puerto Lumbreras;5911;1766;261;1766;6172;57446
Totana;45101;1757;86;1757;45186;95586
Beniel;10873;597;0;597;10873;26964
Abarán;8455;776;0;776;8455;33039
Molina de Segura;129136;4036;418;4036;129554;344668
Alcantarilla;21847;1519;151;1519;21998;80825
Mula;12071;1491;186;1491;12258;61178
Yecla;61028;3365;790;3365;61818;106869
Ceutí;2222;1100;24;1100;2246;62430
Santomera;11586;769;0;769;11586;36027
Albudeite;764;276;127;276;891;9645
Los Alcázares;20844;2209;220;2209;21064;152176
Abanilla;23529;1253;38;1253;23567;52564
Fuente Álamo de Murcia;105451;2589;0;2589;105451;156457
Fortuna;25783;1240;0;1240;25783;66292
Ojós;228;622;0;622;228;2878
Caravaca de la Cruz;61221;1354;8;1354;61229;78810
Águilas;56718;4251;0;4251;56718;138589
Murcia;649862;32450;4601;32450;654463;1435412
Torre Pacheco;79724;17681;3029;17681;82753;285124
Alhama de Murcia;49778;2834;399;2834;50177;126119
Mazarrón;75431;3691;0;3691;75431;162049
Alguazas;9983;480;0;480;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;18346;726;151;726;18497;64285
San Javier;59962;7212;851;7212;60813;199709
Jumilla;22330;2813;2063;2813;24393;63336
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1818;261;0;261;1818;13746
Lorca;82675;17984;977;17984;83652;208480
Lorquí;15886;820;108;820;15994;70410
San Pedro del Pinatar;26594;2297;883;2297;27477;148871
Ulea;365;334;0;334;365;4668
Calasparra;21273;1067;100;1067;21373;67998
Moratalla;25510;6392;0;6392;25510;45232
Cieza;9387;1522;428;1522;9815;41956
Archena;6351;1110;2103;1110;8454;68630
Aledo;2514;293;0;293;2514;11252
