Algorfa;2203;846;0;846;2203;44456
Vilanova d'Alcolea;0;417;0;417;0;4906
Llíria;96036;2971;546;2971;96582;135315
el Camp de Mirra / Campo de Mirra;2073;142;0;142;2073;5432
l'Alfàs del Pi;86479;1563;0;1563;86479;115398
Bolulla;2458;331;0;331;2458;4026
Benicarló;41680;1049;5277;1049;46956;78739
Geldo;170;56;0;56;170;3569
Sot de Ferrer;1813;200;0;200;1813;6201
Carrícola;107;178;0;178;107;613
Argelita;280;102;21;102;300;1839
Almoines;1023;106;0;106;1023;6647
Algímia d'Alfara;5542;174;0;174;5542;7649
Almenara;5203;790;0;790;5203;39853
la Torre de les Maçanes / Torremanzanas;1769;242;0;242;1769;7893
Castellfort;375;64;0;64;375;2397
Cortes de Pallás;4546;1571;773;1571;5319;7919
Loriguilla;15385;193;0;193;15385;26426
Chelva;2641;4083;66;4083;2707;10699
Petrés;2593;77;261;77;2854;5878
Zarra;0;99;0;99;0;3467
Xeraco;3383;1300;115;1300;3499;29470
Massalfassar;1778;991;0;991;1778;8828
l'Alqueria d'Asnar;655;54;0;54;655;3296
Bejís;106;148;0;148;106;3889
Canet d'en Berenguer;1856;628;0;628;1856;23717
Xodos / Chodos;0;288;0;288;0;2395
Llanera de Ranes;598;112;0;112;598;7526
Sollana;5504;668;48;668;5552;23837
Castielfabib;3034;911;0;911;3034;7771
Beniarbeig;1841;1765;0;1765;1841;12569
Aielo de Rugat;101;403;0;403;101;1069
Pilar de la Horadada;6727;6171;673;6171;7400;219498
Matet;0;113;106;113;106;2241
Castelló de Rugat;2469;1631;0;1631;2469;9415
Sueca;11479;1809;0;1809;11479;83945
Godella;10341;735;1181;735;11522;46343
Olocau;21537;385;917;385;22455;33737
Guadasséquies;79;216;0;216;79;4573
Mutxamel;17273;1872;3103;1872;20377;117318
Titaguas;0;211;0;211;0;7533
Orxeta;5401;175;0;175;5401;9202
Alginet;11484;637;0;637;11484;48574
Beniardá;370;334;0;334;370;1503
la Serratella;0;66;0;66;0;1576
Alcàntera de Xúquer;175;83;0;83;175;5579
Alboraia / Alboraya;2053;1398;0;1398;2053;34548
Navajas;388;1088;0;1088;388;8291
Orpesa / Oropesa del Mar;12440;1955;1664;1955;14104;98523
Salem;0;483;0;483;0;2388
l'Olleria;0;353;0;353;0;19559
Benimodo;705;131;0;131;705;10176
Bufali;1112;78;0;78;1112;1981
Sumacàrcer;528;345;0;345;528;8615
Xirivella;10487;1520;0;1520;10487;47784
Xixona / Jijona;8082;1196;0;1196;8082;19382
Jérica;3178;746;0;746;3178;10758
Museros;5030;535;0;535;5030;16680
Chiva;80616;6190;0;6190;80616;137920
Benagéber;219;311;553;311;772;2401
Pinet;495;216;0;216;495;1192
Higueras;581;175;0;175;581;2271
Eslida;0;296;0;296;0;6668
Massalavés;286;150;0;150;286;7715
Favara;740;244;0;244;740;10502
l'Alqueria de la Comtessa;4443;210;0;210;4443;9808
Benlloc;0;3651;0;3651;0;5991
el Ràfol d'Almúnia;678;855;3842;855;4520;7705
Cofrentes;1086;944;0;944;1086;6936
Catí;786;330;501;330;1287;5491
Caudete de las Fuentes;1586;325;0;325;1586;10623
Algueña;477;219;0;219;477;17007
la Romana;2961;362;0;362;2961;19039
Xàtiva;33204;2262;263;2262;33467;86329
la Pobla de Vallbona;76150;1430;0;1430;76150;145186
Zucaina;1542;387;0;387;1542;4742
Quartell;8344;121;0;121;8344;12213
Algemesí;7467;1117;0;1117;7467;63495
Montroi / Montroy;14923;220;0;220;14923;21929
Enguera;1446;1258;509;1258;1956;15783
Llutxent;531;737;79;737;610;8731
Benassal;2108;427;0;427;2108;10004
Domeño;1615;372;0;372;1615;10016
la Pobla de Farnals;3638;1171;0;1171;3638;18888
Tavernes de la Valldigna;656;1684;0;1684;656;44742
Villar del Arzobispo;6595;367;67;367;6662;24149
