Llanera;25950;3092;0;3092;25950;53485
Valdés;120412;3555;1073;3555;121485;136181
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16161;2919;315;2919;16476;20185
Villaviciosa;29029;3842;0;3842;29029;44386
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2447;743;1233;743;3680;4730
Siero;43420;12128;1343;12128;44763;91909
Cudillero;57058;2054;2531;2054;59589;60488
Ribadesella;22248;2895;46;2895;22294;37928
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12527;27998;1427;27998;13953;354082
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;332;0;332;11090;11615
Piloña;25184;2762;939;2762;26123;31815
Cangas del Narcea;133731;3283;1728;3283;135459;145001
Mieres;44031;4900;160;4900;44191;70254
Ponga;7617;1190;514;1190;8131;12821
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;988;0;988;12085;12085
Lena;46672;5146;1411;5146;48083;59173
Quirós;28520;4749;200;4749;28720;28720
Bimenes;5439;4332;0;4332;5439;5439
Tineo;91330;2061;82;2061;91412;95126
Peñamellera Alta;12371;739;467;739;12838;12838
Pravia;13152;946;0;946;13152;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;11346;5417;150;5417;11496;14384
Riosa;4811;471;953;471;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30134;1071;0;1071;30134;42808
Llangréu/Langreo;23940;13996;294;13996;24234;91994
Teverga;29176;809;1069;809;30246;30929
Cabranes;7159;497;628;497;7787;7787
Vegadeo;27628;880;2896;880;30525;35374
Coaña;20831;919;0;919;20831;20831
Taramundi;14007;1894;423;1894;14431;16207
Corvera de Asturias;15905;1358;0;1358;15905;38463
Castrillón;46645;3299;378;3299;47023;82197
Nava;20730;801;408;801;21138;27689
Ibias;38580;1308;333;1308;38913;38913
Salas;25108;1870;2042;1870;27150;36137
Gozón;24760;1860;33;1860;24793;42322
Soto del Barco;15445;675;0;675;15445;25221
San Tirso de Abres;9130;408;55;408;9186;9584
Caso;21340;2324;578;2324;21919;25330
Llanes;52773;9713;2566;9713;55339;77841
Colunga;28826;4710;540;4710;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;415;619;415;18754;18754
Ribadedeva;9240;723;435;723;9674;10188
Amieva;7083;655;1547;655;8630;8630
Somiedo;33692;2195;366;2195;34058;35371
Parres;9637;1000;504;1000;10141;15384
Onís;8124;1961;0;1961;8124;8124
Carreño;12282;2037;140;2037;12422;28984
Grandas de Salime;20533;722;0;722;20533;23420
Castropol;35640;1311;0;1311;35640;46429
Proaza;16019;436;140;436;16160;16826
Aller;21575;3888;213;3888;21788;31949
Boal;9012;1256;0;1256;9012;10952
Grau/Grado;28671;2190;366;2190;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;593;1076;593;17812;17812
El Franco;9978;604;0;604;9978;17271
Villanueva de Oscos;6916;345;0;345;6916;6916
Las Regueras;6011;670;0;670;6011;6011
Peñamellera Baja;11476;640;0;640;11476;11476
Samartín del Rei Aurelio;22882;2219;192;2219;23074;42624
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;11289;789;1326;789;12615;14589
Allande;40929;1403;34;1403;40963;42412
Laviana;24242;2593;0;2593;24242;33872
Muros de Nalón;6615;1508;0;1508;6615;15644
Avilés;29470;6106;2246;6106;31717;105931
Oviedo;76999;24451;2883;24451;79882;241021
Caravia;4007;821;0;821;4007;5128
