Sant Llorenç des Cardassar;10790;3373;99;3373;10889;72149
Sencelles;525;443;0;443;525;6933
Binissalem;1146;573;0;573;1146;22661
Llubí;5797;421;0;421;5797;14277
Es Mercadal;42164;4123;0;4123;42164;60467
Escorca;4128;1500;0;1500;4128;6019
Alaior;6226;4062;0;4062;6226;49907
Esporles;16119;1491;0;1491;16119;33657
Algaida;3311;1588;409;1588;3720;23363
Sóller;3813;7669;0;7669;3813;42338
Artà;6225;2049;0;2049;6225;52893
Deià;1022;1266;0;1266;1022;5227
Andratx;6823;5580;0;5580;6823;84866
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2795;1302;0;1302;2795;10264
Llucmajor;11818;7194;0;7194;11818;165492
Santa Eugènia;2749;362;0;362;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13336;26958;466;26958;13802;92342
Marratxí;28895;4746;83;4746;28978;187433
Lloseta;2718;335;0;335;2718;14900
Sant Antoni de Portmany;127131;8729;66;8729;127197;170362
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2988;250;2988;31589;50744
Petra;999;928;0;928;999;14398
Ciutadella;17149;21610;19;21610;17167;135941
Santanyí;27064;20654;420;20654;27484;130642
Campos;6426;3017;0;3017;6426;69669
Palma;83401;21831;391;21831;83793;706536
Son Servera;8798;1981;185;1981;8984;48759
Ariany;378;316;0;316;378;9353
Alcúdia;12808;4619;113;4619;12921;95041
Santa Margalida;6994;2618;0;2618;6994;75424
Selva;2283;982;0;982;2283;14423
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15778;15908;920;15908;16698;265207
Manacor;33889;18956;0;18956;33889;202844
Sant Lluís;2420;17344;0;17344;2420;70214
Capdepera;8001;4221;0;4221;8001;98424
Santa María del Camí;128;8648;0;8648;128;17671
Campanet;1665;519;0;519;1665;9614
Maria de la Salut;1445;394;0;394;1445;13230
Costitx;2436;234;0;234;2436;5141
Alaró;715;5212;0;5212;715;16239
Fornalutx;216;1306;142;1306;357;1373
Pollença;16278;13583;1382;13583;17660;82070
Sant Joan;2362;575;0;575;2362;11987
Puigpunyent;3867;695;0;695;3867;14557
Mancor de la Vall;787;237;0;237;787;5960
Felanitx;21350;4683;141;4683;21491;91375
Valldemossa;11046;2343;117;2343;11163;19698
Estellencs;2324;222;0;222;2324;4379
Sa Pobla;8544;1312;0;1312;8544;51701
Búger;236;187;0;187;236;4891
Montuïri;4293;723;0;723;4293;12211
Inca;7198;1786;0;1786;7198;64397
Santa Eulalia del Río;243503;6770;0;6770;243503;321624
Muro;3732;2294;0;2294;3732;41099
Sineu;4363;727;80;727;4443;19453
Banyalbufar;0;919;0;919;0;6247
Bunyola;3861;1738;0;1738;3861;40506
Ferreries;6541;2226;0;2226;6541;17134
Eivissa;16263;4235;28;4235;16291;78245
Porreres;1792;965;163;965;1956;15653
Sant Josep de sa Talaia;132844;8938;632;8938;133476;230280
Es Castell;61;7311;0;7311;61;28859
Consell;1441;363;0;363;1441;10738
