La Victoria de Acentejo;1656;882;0;882;1656;25236
Gáldar;1557;2733;89;2733;1646;96924
San Cristóbal de La Laguna;56387;16521;674;16521;57061;389446
Tejeda;572;1844;0;1844;572;12099
Los Silos;852;7079;0;7079;852;20628
Los Llanos de Aridane;17993;4730;0;4730;17993;64764
Garafía;12677;3502;0;3502;12677;14496
Agüimes;3114;6954;541;6954;3654;129540
Los Realejos;29862;4688;0;4688;29862;96928
Antigua;4431;2976;0;2976;4431;101845
Yaiza;3969;10774;25083;10774;29052;183321
Puntallana;7987;1573;0;1573;7987;13057
Tijarafe;14280;2725;0;2725;14280;26309
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1049;0;1049;4561;42806
Tinajo;733;1503;0;1503;733;49466
Ingenio;553;2519;78;2519;631;100971
Arucas;1470;2651;0;2651;1470;91304
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4992;0;4992;12363;65754
Santiago del Teide;3062;9280;0;9280;3062;30836
Santa Cruz de Tenerife;25842;26128;25;26128;25866;359046
Telde;2623;6974;158;6974;2782;263619
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1095;0;1095;640;50401
Güímar;12975;4857;0;4857;12975;58033
Frontera;1666;5775;74;5775;1740;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50258;10384;395;10384;50653;207613
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;6090;1958;0;1958;6090;24786
Fuencaliente de la Palma;8461;1650;0;1650;8461;17643
Teguise;1673;9799;2030;9799;3703;172354
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5734;0;5734;1965;84891
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2964;2745;2964;14070;18507
Breña Baja;7767;3942;367;3942;8134;30719
Haría;323;2090;0;2090;323;47298
Santa Lucía de Tirajana;5492;2715;0;2715;5492;127564
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1233;0;1233;6982;18044
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25114;2613;0;2613;25114;31947
Adeje;34748;11569;154;11569;34901;139747
Firgas;289;828;0;828;289;32837
Granadilla de Abona;32500;8249;6678;8249;39178;147737
El Pinar de El Hierro;7489;3107;0;3107;7489;18123
Pájara;3696;10578;1074;10578;4771;66158
Buenavista del Norte;6876;9568;1060;9568;7935;24665
Santa Úrsula;3656;6401;0;6401;3656;58559
El Paso;13555;2727;0;2727;13555;49159
Valverde;10044;9134;107;9134;10151;42768
Guía de Isora;9684;19031;0;19031;9684;62245
San Juan de la Rambla;7131;1318;0;1318;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1267;0;1267;234;35370
Breña Alta;18134;2112;0;2112;18134;44290
Icod de los Vinos;56266;3062;0;3062;56266;104482
Alajeró;11700;1450;614;1450;12313;16638
San Sebastián de la Gomera;16888;2811;1510;2811;18398;32793
Tacoronte;16903;1530;0;1530;16903;90628
Valleseco;191;848;0;848;191;18864
La Oliva;39489;7170;529;7170;40018;222965
Puerto de la Cruz;5983;4851;0;4851;5983;65640
Arafo;5428;6879;0;6879;5428;28057
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3983;0;3983;4853;17495
Arico;14219;4359;0;4359;14219;58033
El Sauzal;6937;1185;0;1185;6937;38280
Vilaflor;3114;1813;0;1813;3114;8582
Fasnia;3544;1141;0;1141;3544;13853
Barlovento;9717;1168;0;1168;9717;13730
Vega de San Mateo;1333;1648;0;1648;1333;26966
San Bartolomé;1115;2398;2110;2398;3225;67966
Las Palmas de Gran Canaria;19557;31467;559;31467;20116;530902
Arrecife;4605;3013;0;3013;4605;125894
Tías;3624;3974;2057;3974;5681;123914
Santa Cruz de la Palma;5389;1466;0;1466;5389;25702
San Bartolomé de Tirajana;6812;31902;472;31902;7284;191396
La Matanza de Acentejo;6664;1034;0;1034;6664;26584
Agulo;5674;857;397;857;6071;7293
La Orotava;58253;5059;0;5059;58253;150688
Santa Brígida;1031;1561;0;1561;1031;69432
Puerto del Rosario;92460;4232;0;4232;92460;183124
Agaete;906;2079;1981;2079;2888;21136
San Nicolás de Tolentino;198;2042;0;2042;198;40115
