Fuentelapeña;190;244;0;244;190;8857
Villárdiga;1449;33;0;33;1449;1449
Entrala;1213;53;0;53;1213;1728
Arcos de la Polvorosa;2835;35;0;35;2835;2835
Friera de Valverde;4500;43;0;43;4500;4500
Faramontanos de Tábara;0;107;0;107;0;8297
El Maderal;2678;88;0;88;2678;3209
Torregamones;1264;183;0;183;1264;6743
Viñas;2503;29;0;29;2503;2503
Villafáfila;8812;153;0;153;8812;8967
Santa Clara de Avedillo;3185;50;0;50;3185;3550
Santovenia;7727;195;0;195;7727;8725
Santa Cristina de la Polvorosa;422;373;0;373;422;10145
Manganeses de la Polvorosa;0;223;0;223;0;9247
Rabanales;6892;240;84;240;6976;9984
Mayalde;1418;85;0;85;1418;2945
Carbellino;415;150;0;150;415;7015
Villaseco del Pan;0;117;0;117;0;6908
Jambrina;2574;29;0;29;2574;2574
Bretó;4831;89;0;89;4831;4831
Gallegos del Pan;2449;27;0;27;2449;2449
Muelas del Pan;1656;435;0;435;1656;17336
Castrogonzalo;560;316;0;316;560;9844
Matilla de Arzón;2969;57;0;57;2969;2969
Burganes de Valverde;3541;132;0;132;3541;12041
Cazurra;1730;33;0;33;1730;1730
Porto;1917;261;0;261;1917;5059
Asturianos;5486;258;0;258;5486;10457
Fresno de Sayago;0;58;0;58;0;5434
Requejo;363;222;0;222;363;3829
Villaralbo;608;265;528;265;1135;16663
Villadepera;1214;88;0;88;1214;7408
Rábano de Aliste;2981;93;0;93;2981;2981
Justel;3207;40;0;40;3207;3207
Valdescorriel;4445;60;0;60;4445;4445
Pinilla de Toro;5305;57;0;57;5305;5305
Villamayor de Campos;6294;87;0;87;6294;6294
Palacios de Sanabria;5996;251;0;251;5996;11173
Videmala;0;64;0;64;0;4404
Peleas de Abajo;2427;29;0;29;2427;2427
Arrabalde;5783;63;0;63;5783;5783
Villabuena del Puente;12881;63;0;63;12881;12881
Otero de Bodas;3998;120;0;120;3998;3998
Pedralba de la Pradería;7536;149;0;149;7536;8546
Coreses;5257;339;0;339;5257;14341
Fuentesaúco;657;373;0;373;657;14978
Villavendimio;3151;28;0;28;3151;3151
Montamarta;0;204;0;204;0;9157
Vadillo de la Guareña;1708;109;0;109;1708;6229
Cerecinos de Campos;3495;181;0;181;3495;7827
Coomonte;2999;42;0;42;2999;3151
Palacios del Pan;4007;115;0;115;4007;4007
Fermoselle;0;292;0;292;0;12443
Manganeses de la Lampreana;1105;270;0;270;1105;12873
Fuente Encalada;2914;45;0;45;2914;3391
Santa María de la Vega;3922;19;0;19;3922;3922
Valcabado;2165;78;0;78;2165;2165
Villabrázaro;10349;253;0;253;10349;11950
Fresno de la Polvorosa;1940;19;0;19;1940;1940
San Vicente de la Cabeza;9120;97;0;97;9120;9120
Algodre;2160;32;0;32;2160;2508
Villalpando;2390;1717;162;1717;2552;11094
Pereruela;2002;416;0;416;2002;14949
Roales;1898;126;0;126;1898;6853
Alcañices;3545;348;0;348;3545;13028
Torres del Carrizal;2954;24;0;24;2954;2954
Gema;4797;62;0;62;4797;4797
Morales del Vino;15794;444;565;444;16358;23622
Alcubilla de Nogales;633;49;705;49;1338;4103
Molezuelas de la Carballeda;3988;46;0;46;3988;3988
Manzanal del Barco;0;92;0;92;0;4642
La Hiniesta;0;126;0;126;0;3266
Manzanal de Arriba;7882;549;0;549;7882;10295
Villageriz;1631;17;0;17;1631;1631
Quiruelas de Vidriales;5255;221;0;221;5255;8611
Vezdemarbán;6450;48;0;48;6450;6450
Castroverde de Campos;2533;128;0;128;2533;6832
Cubillos;0;141;0;141;0;4881
Fuentespreadas;0;84;0;84;0;4089
Castrillo de la Guareña;1915;88;0;88;1915;1915
Tapioles;3261;50;0;50;3261;3261
