Etxalar;0;1451;0;1451;0;3809
Arellano;942;41;1974;41;2916;2916
Orbaitzeta;66;488;0;488;66;3068
Lana;0;233;110;233;110;5668
Oco;1539;32;0;32;1539;1539
Zubieta;0;613;0;613;0;1954
Burlada/Burlata;1796;815;118;815;1914;20127
Mues;1926;66;0;66;1926;1926
Sangüesa/Zangoza;1135;927;0;927;1135;16470
Izagaondoa;0;297;0;297;0;4925
Sarriés/Sartze;100;98;0;98;100;924
Orbara;336;49;0;49;336;1075
Baztan;4004;8822;221;8822;4225;42852
Fontellas;460;311;0;311;460;7723
Genevilla;0;36;95;36;95;1960
Urraul Bajo;26;253;0;253;26;8262
Améscoa Baja;154;515;36;515;191;11877
Metauten;2332;192;2508;192;4839;4839
Oteiza;3603;154;1948;154;5552;6356
Aibar/Oibar;264;249;0;249;264;7712
Sada;313;61;0;61;313;3232
Aranarache;0;31;0;31;0;1470
Igantzi;187;762;0;762;187;3839
Sartaguda;404;409;14;409;418;11145
Ituren;0;776;317;776;317;3153
Urdazubi/Urdax;731;502;86;502;816;2800
Valle de Ollo/Ollaran;209;412;61;412;271;7616
Ablitas;308;372;0;372;308;14575
Mañeru;1903;139;0;139;1903;3117
San Adrián;25716;367;384;367;26099;26182
Irurtzun;0;191;0;191;0;5902
Funes;14230;429;0;429;14230;14477
Jaurrieta;176;119;0;119;176;2358
Eslava;0;89;0;89;0;3890
Esparza de Salazar;83;44;56;44;140;2004
Castillonuevo;0;95;49;95;49;551
Isaba/Izaba;99;536;0;536;99;3050
Andosilla;10611;304;0;304;10611;10611
Peralta;11018;681;0;681;11018;22349
Oroz-Betelu;8;101;0;101;8;2919
Lekunberri;1676;764;0;764;1676;12767
Goizueta;3;1220;132;1220;134;2500
Pitillas;0;166;0;166;0;6419
Irañeta;0;161;0;161;0;2639
Larraun;17;1573;42;1573;59;15648
Ujué / Uxue;0;263;63;263;63;4657
Piedramillera;37;39;0;39;37;1707
Orísoain;131;57;0;57;131;1147
Erro;451;1184;1413;1184;1864;14403
Mendigorría;5611;163;0;163;5611;6542
Urroz;0;121;0;121;0;3420
Lantz;24;169;0;169;24;1556
Dicastillo;799;124;2427;124;3226;3226
Puente la Reina/Gares;463;486;0;486;463;12326
Zabalza;0;100;0;100;0;3587
Cirauqui;4667;375;0;375;4667;5426
Arróniz;6746;174;0;174;6746;6746
Obanos;471;253;0;253;471;13421
Murillo el Fruto;82;173;0;173;82;7043
Abaurrepea/Abaurrea Baja;0;72;0;72;0;846
Torralba del Río;163;136;71;136;234;2729
Buñuel;1239;446;0;446;1239;18075
Lakuntza;0;182;0;182;0;5589
Doneztebe/Santesteban;311;579;0;579;311;5382
Bidaurreta;0;80;69;80;69;1630
Etxarri-Aranatz;841;500;0;500;841;13000
Vidángoz/Bidankoze;0;49;0;49;0;1703
Tiebas-Muruarte de Reta;381;222;0;222;381;5492
El Busto;72;25;0;25;72;1890
Lónguida/Longida;1715;320;0;320;1715;6544
Aranguren;2683;2248;391;2248;3074;40059
Etxauri;490;147;0;147;490;5579
Tulebras;0;29;0;29;0;2393
Tudela;16032;3984;0;3984;16032;79166
Leatxe/Leache;0;23;0;23;0;1641
Iturmendi;1184;107;0;107;1184;4008
Olóriz;142;291;0;291;142;5051
Artajona;8689;428;0;428;8689;9959
Luzaide/Valcarlos;143;327;0;327;143;1256
Oronz;0;27;0;27;0;894
Añorbe;16;155;0;155;16;4524
Izalzu/Itzaltzu;0;66;0;66;0;432
Barillas;44;158;0;158;44;3485
Ezkurra;0;312;45;312;45;1777
Lodosa;299;566;0;566;299;18089
Cáseda;26;230;1927;230;1953;11474
Urrotz;0;218;0;218;0;736
Bakaiku;0;96;0;96;0;2722
Gallués/Galoze;484;74;133;74;617;1886
Unzué;0;161;0;161;0;4039
Abáigar;222;49;0;49;222;1835
Garde;202;198;0;198;202;1770
Sesma;107;171;0;171;107;10419
Liédena;790;195;0;195;790;5069
Uterga;0;72;0;72;0;2003
Aberin;2188;56;180;56;2368;2368
Bera;368;1943;0;1943;368;8442
Valtierra;352;594;51;594;403;15452
Navascués;274;214;301;214;576;4032
