Algorfa;1113;853;0;853;1113;44566
Vilanova d'Alcolea;0;417;0;417;0;4906
Llíria;2388;3043;381;3043;2768;121325
el Camp de Mirra / Campo de Mirra;2073;142;0;142;2073;5432
l'Alfàs del Pi;86479;1563;0;1563;86479;115398
Bolulla;2458;331;0;331;2458;4026
Benicarló;899;1069;0;1069;899;71338
Geldo;170;56;0;56;170;3569
Sot de Ferrer;1813;200;0;200;1813;6201
Carrícola;107;178;0;178;107;613
Argelita;280;102;21;102;300;1839
Almoines;638;106;0;106;638;6647
Algímia d'Alfara;0;179;0;179;0;6726
Almenara;5203;790;0;790;5203;39853
la Torre de les Maçanes / Torremanzanas;1769;242;0;242;1769;7893
Castellfort;375;64;0;64;375;2397
Cortes de Pallás;0;1570;0;1570;0;5972
Loriguilla;15385;193;0;193;15385;26426
Chelva;2641;4084;66;4084;2707;10699
Petrés;2593;77;261;77;2854;5878
Zarra;0;99;0;99;0;3467
Xeraco;0;1313;115;1313;115;26864
Massalfassar;1778;991;0;991;1778;8828
l'Alqueria d'Asnar;655;54;0;54;655;3296
Bejís;106;148;0;148;106;3889
Canet d'en Berenguer;1856;628;0;628;1856;23717
Xodos / Chodos;0;288;0;288;0;2395
Llanera de Ranes;598;112;0;112;598;7526
Sollana;611;673;0;673;611;22591
Castielfabib;3034;911;0;911;3034;7771
Beniarbeig;1841;1765;0;1765;1841;12569
Aielo de Rugat;101;403;0;403;101;1069
Pilar de la Horadada;6727;6171;673;6171;7400;219498
Matet;0;113;106;113;106;2241
Castelló de Rugat;2469;1631;0;1631;2469;9415
Sueca;1186;1811;0;1811;1186;82032
Godella;10341;737;1181;737;11522;46343
Olocau;0;410;0;410;0;33333
Guadasséquies;79;216;0;216;79;4573
Mutxamel;17193;1881;3103;1881;20296;117238
Titaguas;0;210;0;210;0;7531
Orxeta;5401;175;0;175;5401;9202
Alginet;11484;637;0;637;11484;48574
Beniardá;370;334;0;334;370;1503
la Serratella;0;66;0;66;0;1576
Alcàntera de Xúquer;175;83;0;83;175;5579
Alboraia / Alboraya;1592;1400;0;1400;1592;34515
Navajas;388;1091;0;1091;388;8291
Orpesa / Oropesa del Mar;12440;1955;1664;1955;14104;98523
Salem;0;483;0;483;0;2388
l'Olleria;0;353;0;353;0;19559
Benimodo;705;131;0;131;705;10176
Bufali;1112;78;0;78;1112;1981
Sumacàrcer;528;345;0;345;528;8615
Xirivella;10487;1520;0;1520;10487;47784
Xixona / Jijona;8082;1290;0;1290;8082;19382
Jérica;3178;756;0;756;3178;10758
Museros;5030;535;0;535;5030;16680
Chiva;4859;6241;0;6241;4859;114496
Benagéber;219;311;553;311;772;2401
Pinet;0;216;0;216;0;1156
Higueras;581;175;0;175;581;2271
Eslida;0;296;0;296;0;6668
Massalavés;286;150;0;150;286;7715
Favara;0;241;0;241;0;10559
l'Alqueria de la Comtessa;4443;210;0;210;4443;9808
Benlloc;0;3652;0;3652;0;5991
el Ràfol d'Almúnia;678;855;3842;855;4520;7705
Cofrentes;1086;944;0;944;1086;6936
Catí;786;330;501;330;1287;5491
Caudete de las Fuentes;1586;326;0;326;1586;10623
Algueña;477;219;0;219;477;17007
la Romana;2961;364;0;364;2961;19039
Xàtiva;33204;2263;263;2263;33467;86329
la Pobla de Vallbona;75997;1439;0;1439;75997;145180
Zucaina;1542;387;0;387;1542;4742
Quartell;5774;121;0;121;5774;12213
Algemesí;3815;1143;0;1143;3815;62954
Montroi / Montroy;104;221;0;221;104;21219
Enguera;988;1258;0;1258;988;15264
Llutxent;325;737;79;737;404;8577
Benassal;2108;427;0;427;2108;10004
Domeño;79;373;0;373;79;8729
la Pobla de Farnals;3638;1237;0;1237;3638;18990
Tavernes de la Valldigna;0;1776;0;1776;0;44246
Villar del Arzobispo;6595;375;67;375;6662;24149
Benferri;282;244;0;244;282;21593
Catral;35292;1035;124;1035;35416;60414
l'Alcora;5799;1333;75;1333;5874;42464
Beneixama;3812;314;0;314;3812;13790
Agres;17;1043;0;1043;17;1852
Peníscola / Peñíscola;24986;2139;2746;2139;27732;84036
la Llosa de Ranes;652;142;0;142;652;13207
Bèlgida;258;231;0;231;258;4991
Olocau del Rey;992;111;0;111;992;2176
Dénia;73214;25198;2318;25198;75533;218650
la Vilavella;0;241;0;241;0;12174
Benejúzar;1933;578;0;578;1933;24326
Fontanars dels Alforins;2615;302;0;302;2615;8211
Sella;1524;1075;198;1075;1722;4565
el Fondó de les Neus / Hondón de las Nieves;3006;404;0;404;3006;23823
Alfara de la Baronia;416;100;0;100;416;4348
El Toro;1654;202;0;202;1654;5380
Torás;4660;71;0;71;4660;7782
Gestalgar;2175;107;267;107;2442;8283
Herbés;0;37;0;37;0;1334
Almàssera;170;254;0;254;170;9049
San Fulgencio;12544;8056;0;8056;12544;75799
Pedreguer;17987;7223;0;7223;17987;53644
Orihuela;107635;18373;17579;18373;125215;573375
Villahermosa del Río;0;540;282;540;282;4520
Alpuente;44;583;0;583;44;9177
Senyera;981;83;0;83;981;6213
Zorita del Maestrazgo;555;74;0;74;555;3558
Daimús;7803;795;181;795;7984;32192
Gavarda;513;429;0;429;513;9895
Castelló de la Plana;56562;10885;763;10885;57325;324747
Càlig;845;139;0;139;845;8985
Alfafara;139;685;0;685;139;2242
Algimia de Almonacid;131;221;0;221;131;3528
Andilla;130;189;0;189;130;3234
Vallibona;294;132;0;132;294;1910
Beniarrés;1778;1420;0;1420;1778;3150
Crevillent;45713;3106;165;3106;45878;103225
Paterna;15091;4667;388;4667;15479;249385
Almiserà;1380;135;0;135;1380;3032
el Campello;9236;1488;1202;1488;10437;116496
Alzira;3710;8028;351;8028;4061;107564
Bicorp;254;540;0;540;254;2874
Benimuslem;124;122;36;122;160;4001
Figueroles;80;181;27;181;107;4605
Bellreguard;4094;293;42;293;4136;22696
Salinas;8529;293;0;293;8529;17239
Catarroja;1645;742;111;742;1756;43004
Cañada;3049;279;0;279;3049;10820
Benifaió;16661;632;0;632;16661;36187
Torrebaja;620;197;0;197;620;4135
Elda;16689;3467;0;3467;16689;103845
Culla;1011;368;269;368;1279;3389
Altea;109917;2614;66;2614;109983;147086
Rafelguaraf;177;406;0;406;177;7677
Aras de los Olmos;924;420;0;420;924;5459
Otos;564;167;0;167;564;1314
Pavías;716;166;0;166;716;1319
la Pobla Tornesa;95;366;0;366;95;8959
Daya Vieja;746;175;0;175;746;6928
Benilloba;0;355;0;355;0;4376
Sierra Engarcerán;677;412;0;412;677;8637
Alcàsser;4337;336;0;336;4337;25857
Camporrobles;1695;260;0;260;1695;15574
Santa Magdalena de Pulpis;0;325;0;325;0;4692
el Castell de Guadalest;1426;392;0;392;1426;2094
Famorca;70;115;0;115;70;502
Ibi;11771;1292;0;1292;11771;59352
Albocàsser;2836;270;0;270;2836;7438
Sellent;289;79;0;79;289;2800
Benissuera;93;144;0;144;93;1538
Riba-roja de Túria;110557;1836;74;1836;110631;200235
Callosa d'en Sarrià;21174;1572;0;1572;21174;31366
Càrcer;1429;141;0;141;1429;10562
Tormos;738;608;0;608;738;2274
Torralba del Pinar;175;209;100;209;274;1142
Sagra;441;770;0;770;441;2577
Villores;177;28;0;28;177;2045
Millares;83;655;0;655;83;2684
Cortes de Arenoso;2769;125;82;125;2851;5643
Castellonet de la Conquesta;0;191;0;191;0;1468
Portell de Morella;631;91;0;91;631;2642
Vilamarxant;586;1137;0;1137;586;62453
Puçol;12848;1473;142;1473;12990;52978
Guardamar del Segura;3535;4884;300;4884;3835;101595
Sax;1769;1998;0;1998;1769;28047
Xilxes / Chilches;438;392;31;392;469;26217
Quart de Poblet;12091;1086;0;1086;12091;39907
Tibi;12868;494;0;494;12868;18155
Aspe;14888;4473;364;4473;15252;71730
Macastre;0;400;0;400;0;11224
Vall de Almonacid;0;162;0;162;0;3732
Albalat dels Sorells;4775;149;0;149;4775;13849
La Yesa;63;81;0;81;63;2634
Fuenterrobles;30;197;0;197;30;8926
Benissa;70703;4993;0;4993;70703;129851
Ares del Maestrat;631;275;0;275;631;4078
Moncada;8025;990;367;990;8391;66023
Foios;4863;183;0;183;4863;19635
Vallat;0;190;0;190;0;1103
Albal;17501;427;0;427;17501;46335
la Vall d'Alcalà;96;482;0;482;96;1242
