La Unión;20142;1711;108;1711;20249;75667
Ricote;535;305;0;305;535;7372
Librilla;6324;1375;0;1375;6324;24915
Cartagena;160703;38152;4119;38152;164822;760610
Blanca;758;621;73;621;831;14827
Cehegín;36084;1229;681;1229;36765;87524
Las Torres de Cotillas;22127;1608;579;1608;22706;123498
Puerto Lumbreras;5911;1785;155;1785;6065;57340
Totana;45101;1779;86;1779;45186;95586
Beniel;4518;610;0;610;4518;27485
Abarán;8455;779;0;779;8455;33039
Molina de Segura;126945;4074;418;4074;127363;347937
Alcantarilla;21847;1519;151;1519;21998;80825
Mula;12071;1491;186;1491;12258;61178
Yecla;60038;3413;790;3413;60827;106884
Ceutí;2222;1100;24;1100;2246;62430
Santomera;558;826;0;826;558;38181
Albudeite;764;276;127;276;891;9645
Los Alcázares;608;2262;64;2262;672;145083
Abanilla;23529;1253;38;1253;23567;52564
Fuente Álamo de Murcia;105451;2590;0;2590;105451;156457
Fortuna;25783;1240;0;1240;25783;66292
Ojós;228;622;0;622;228;2878
Caravaca de la Cruz;57314;1377;8;1377;57321;78897
Águilas;60131;4278;0;4278;60131;142002
Murcia;631984;33970;4976;33970;636960;1436997
Torre Pacheco;43843;17743;1995;17743;45838;284531
Alhama de Murcia;49778;2838;399;2838;50177;126119
Mazarrón;75333;3744;0;3744;75333;162437
Alguazas;9983;480;0;480;9983;30105
Pliego;1374;515;0;515;1374;20565
Bullas;18346;726;151;726;18497;64285
San Javier;41367;7355;851;7355;42218;193617
Jumilla;22330;2814;2063;2814;24393;63336
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;2708;262;0;262;2708;14636
Lorca;82675;18121;977;18121;83652;208480
Lorquí;15886;820;108;820;15994;70410
San Pedro del Pinatar;20045;2307;883;2307;20927;146150
Ulea;365;334;0;334;365;4668
Calasparra;21273;1067;100;1067;21373;67998
Moratalla;25510;6418;0;6418;25510;45232
Cieza;6617;1528;428;1528;7045;42178
Archena;6351;1115;2103;1115;8454;68630
Aledo;2514;298;0;298;2514;11252
