Llanera;25950;3092;0;3092;25950;53485
Valdés;120412;3556;1073;3556;121485;134695
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16161;2919;315;2919;16476;20185
Villaviciosa;28870;3925;0;3925;28870;44960
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2374;742;1233;742;3607;4658
Siero;43420;12130;1343;12130;44763;91909
Cudillero;57058;2062;2531;2062;59589;60488
Ribadesella;22248;2895;46;2895;22294;37928
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12140;28432;1427;28432;13567;353864
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;332;0;332;11090;11615
Piloña;25184;2762;939;2762;26123;31815
Cangas del Narcea;133731;3283;1728;3283;135459;145001
Mieres;44029;4908;160;4908;44190;70257
Ponga;7617;1188;514;1188;8131;12821
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;988;0;988;12085;12085
Lena;46672;5147;1411;5147;48083;59173
Quirós;28520;4748;200;4748;28720;28720
Bimenes;5439;4332;0;4332;5439;5439
Tineo;90579;2098;82;2098;90661;94375
Peñamellera Alta;8879;1450;0;1450;8879;9071
Pravia;13152;946;0;946;13152;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;10175;5606;150;5606;10324;13167
Riosa;4811;471;953;471;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30134;1071;0;1071;30134;42808
Llangréu/Langreo;23940;13996;294;13996;24234;91994
Teverga;29176;816;1069;816;30246;30929
Cabranes;7159;497;628;497;7787;7787
Vegadeo;27628;880;2896;880;30525;35374
Coaña;20831;919;0;919;20831;20831
Taramundi;14157;1925;423;1925;14580;16357
Corvera de Asturias;15905;1358;0;1358;15905;38463
Castrillón;46638;3311;378;3311;47016;82190
Nava;20728;909;408;909;21136;27687
Ibias;38580;1308;333;1308;38913;38913
Salas;25108;1870;2042;1870;27150;36137
Gozón;23636;1879;33;1879;23670;41199
Soto del Barco;15638;710;0;710;15638;25412
San Tirso de Abres;9559;437;0;437;9559;9956
Caso;21340;2324;578;2324;21919;25330
Llanes;52973;9718;2566;9718;55539;78042
Colunga;28826;4710;540;4710;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;415;619;415;18754;18754
Ribadedeva;9240;721;435;721;9674;10188
Amieva;7083;655;1547;655;8630;8630
Somiedo;33692;2200;366;2200;34058;35371
Parres;9637;1001;504;1001;10141;15384
Onís;8124;1961;0;1961;8124;8124
Carreño;12282;2043;140;2043;12422;28985
Grandas de Salime;20533;722;0;722;20533;23420
Castropol;35640;1311;0;1311;35640;46429
Proaza;15957;437;140;437;16098;16764
Aller;21575;3901;213;3901;21788;31949
Boal;9012;1256;0;1256;9012;10952
Grau/Grado;28671;2189;366;2189;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;593;1076;593;17812;17812
El Franco;9978;604;0;604;9978;17271
Villanueva de Oscos;6916;345;0;345;6916;6916
Las Regueras;6011;670;0;670;6011;6011
Peñamellera Baja;11476;643;0;643;11476;11476
Samartín del Rei Aurelio;22882;2219;192;2219;23074;42624
Noreña;1151;1313;172;1313;1323;17671
Belmonte de Miranda;11830;795;1326;795;13156;15129
Allande;41009;1413;34;1413;41044;42493
Laviana;24242;2595;0;2595;24242;33872
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;29763;6147;2246;6147;32010;106388
Oviedo;76999;24459;2883;24459;79882;241024
Caravia;4007;820;0;820;4007;5128
